Country,Date,search_index
United Kingdom,2020-01-26,77.0
United Kingdom,2020-02-02,78.0
United Kingdom,2020-02-09,80.0
United Kingdom,2020-02-16,73.0
United Kingdom,2020-02-23,71.0
United Kingdom,2020-03-01,65.0
United Kingdom,2020-03-08,59.0
United Kingdom,2020-03-15,43.0
United Kingdom,2020-03-22,51.0
United Kingdom,2020-03-29,66.0
United Kingdom,2020-04-05,63.0
United Kingdom,2020-04-12,74.0
United Kingdom,2020-04-19,69.0
United Kingdom,2020-04-26,76.0
United Kingdom,2020-05-03,79.0
United Kingdom,2020-05-10,81.0
United Kingdom,2020-05-17,72.0
United Kingdom,2020-05-24,67.0
United Kingdom,2020-05-31,73.0
United Kingdom,2020-06-07,74.0
United Kingdom,2020-06-14,68.0
United Kingdom,2020-06-21,68.0
United Kingdom,2020-06-28,76.0
United Kingdom,2020-07-05,73.0
United Kingdom,2020-07-12,73.0
United Kingdom,2020-07-19,71.0
United Kingdom,2020-07-26,64.0
United Kingdom,2020-08-02,64.0
United Kingdom,2020-08-09,68.0
United Kingdom,2020-08-16,68.0
United Kingdom,2020-08-23,66.0
United Kingdom,2020-08-30,66.0
United Kingdom,2020-09-06,63.0
United Kingdom,2020-09-13,66.0
United Kingdom,2020-09-20,64.0
United Kingdom,2020-09-27,61.0
United Kingdom,2020-10-04,65.0
United Kingdom,2020-10-11,68.0
United Kingdom,2020-10-18,71.0
United Kingdom,2020-10-25,69.0
United Kingdom,2020-11-01,66.0
United Kingdom,2020-11-08,80.0
United Kingdom,2020-11-15,100.0
United Kingdom,2020-11-22,84.0
United Kingdom,2020-11-29,77.0
United Kingdom,2020-12-06,72.0
United Kingdom,2020-12-13,70.0
United Kingdom,2020-12-20,76.0
United Kingdom,2020-12-27,93.0
United Kingdom,2021-01-03,79.0
United Kingdom,2021-01-10,82.0
United Kingdom,2021-01-17,89.0
United Kingdom,2021-01-24,85.0
United Kingdom,2021-01-31,81.0
United Kingdom,2021-02-07,83.0
United Kingdom,2021-02-14,88.0
United Kingdom,2021-02-21,82.0
United Kingdom,2021-02-28,77.0
United Kingdom,2021-03-07,84.0
United Kingdom,2021-03-14,78.0
United Kingdom,2021-03-21,72.0
United Kingdom,2021-03-28,72.0
United Kingdom,2021-04-04,90.0
United Kingdom,2021-04-11,75.0
United Kingdom,2021-04-18,63.0
United Kingdom,2021-04-25,61.0
United Kingdom,2021-05-02,71.0
United Kingdom,2021-05-09,65.0
United Kingdom,2021-05-16,65.0
United Kingdom,2021-05-23,66.0
United Kingdom,2021-05-30,73.0
United Kingdom,2021-06-06,59.0
United Kingdom,2021-06-13,59.0
United Kingdom,2021-06-20,71.0
United Kingdom,2021-06-27,68.0
United Kingdom,2021-07-04,63.0
United Kingdom,2021-07-11,61.0
United Kingdom,2021-07-18,57.0
United Kingdom,2021-07-25,66.0
United Kingdom,2021-08-01,66.0
United Kingdom,2021-08-08,61.0
United Kingdom,2021-08-15,64.0
United Kingdom,2021-08-22,61.0
United Kingdom,2021-08-29,71.0
United Kingdom,2021-09-05,68.0
United Kingdom,2021-09-12,64.0
United Kingdom,2021-09-19,66.0
United Kingdom,2021-09-26,70.0
United Kingdom,2021-10-03,65.0
United Kingdom,2021-10-10,68.0
United Kingdom,2021-10-17,65.0
United Kingdom,2021-10-24,66.0
United Kingdom,2021-10-31,63.0
United Kingdom,2021-11-07,62.0
United Kingdom,2021-11-14,64.0
United Kingdom,2021-11-21,56.0
United Kingdom,2021-11-28,53.0
United Kingdom,2021-12-05,59.0
United Kingdom,2021-12-12,55.0
United Kingdom,2021-12-19,57.0
United Kingdom,2021-12-26,76.0
United Kingdom,2022-01-02,69.0
United Kingdom,2022-01-09,67.0
United Kingdom,2022-01-16,67.0
United Kingdom,2022-01-23,65.0
United Kingdom,2022-01-30,65.0
United Kingdom,2022-02-06,67.0
United Kingdom,2022-02-13,69.0
United Kingdom,2022-02-20,66.0
United Kingdom,2022-02-27,66.0
United Kingdom,2022-03-06,60.0
United Kingdom,2022-03-13,57.0
United Kingdom,2022-03-20,56.0
United Kingdom,2022-03-27,73.0
United Kingdom,2022-04-03,75.0
United Kingdom,2022-04-10,70.0
