Country,Date,search_index
United States,2020-01-26,99.0
United States,2020-02-02,97.0
United States,2020-02-09,98.0
United States,2020-02-16,96.0
United States,2020-02-23,87.0
United States,2020-03-01,83.0
United States,2020-03-08,74.0
United States,2020-03-15,70.0
United States,2020-03-22,79.0
United States,2020-03-29,83.0
United States,2020-04-05,85.0
United States,2020-04-12,92.0
United States,2020-04-19,86.0
United States,2020-04-26,88.0
United States,2020-05-03,86.0
United States,2020-05-10,85.0
United States,2020-05-17,82.0
United States,2020-05-24,83.0
United States,2020-05-31,76.0
United States,2020-06-07,84.0
United States,2020-06-14,88.0
United States,2020-06-21,85.0
United States,2020-06-28,87.0
United States,2020-07-05,87.0
United States,2020-07-12,89.0
United States,2020-07-19,91.0
United States,2020-07-26,87.0
United States,2020-08-02,82.0
United States,2020-08-09,91.0
United States,2020-08-16,85.0
United States,2020-08-23,84.0
United States,2020-08-30,83.0
United States,2020-09-06,85.0
United States,2020-09-13,84.0
United States,2020-09-20,84.0
United States,2020-09-27,81.0
United States,2020-10-04,93.0
United States,2020-10-11,91.0
United States,2020-10-18,96.0
United States,2020-10-25,93.0
United States,2020-11-01,76.0
United States,2020-11-08,89.0
United States,2020-11-15,92.0
United States,2020-11-22,86.0
United States,2020-11-29,83.0
United States,2020-12-06,85.0
United States,2020-12-13,83.0
United States,2020-12-20,85.0
United States,2020-12-27,94.0
United States,2021-01-03,84.0
United States,2021-01-10,83.0
United States,2021-01-17,97.0
United States,2021-01-24,89.0
United States,2021-01-31,90.0
United States,2021-02-07,96.0
United States,2021-02-14,94.0
United States,2021-02-21,90.0
United States,2021-02-28,90.0
United States,2021-03-07,88.0
United States,2021-03-14,87.0
United States,2021-03-21,80.0
United States,2021-03-28,82.0
United States,2021-04-04,87.0
United States,2021-04-11,84.0
United States,2021-04-18,89.0
United States,2021-04-25,79.0
United States,2021-05-02,84.0
United States,2021-05-09,83.0
United States,2021-05-16,89.0
United States,2021-05-23,91.0
United States,2021-05-30,83.0
United States,2021-06-06,86.0
United States,2021-06-13,85.0
United States,2021-06-20,84.0
United States,2021-06-27,83.0
United States,2021-07-04,83.0
United States,2021-07-11,84.0
United States,2021-07-18,85.0
United States,2021-07-25,82.0
United States,2021-08-01,80.0
United States,2021-08-08,81.0
United States,2021-08-15,81.0
United States,2021-08-22,81.0
United States,2021-08-29,79.0
United States,2021-09-05,81.0
United States,2021-09-12,79.0
United States,2021-09-19,82.0
United States,2021-09-26,86.0
United States,2021-10-03,80.0
United States,2021-10-10,87.0
United States,2021-10-17,85.0
United States,2021-10-24,83.0
United States,2021-10-31,81.0
United States,2021-11-07,85.0
United States,2021-11-14,84.0
United States,2021-11-21,79.0
United States,2021-11-28,79.0
United States,2021-12-05,81.0
United States,2021-12-12,78.0
United States,2021-12-19,83.0
United States,2021-12-26,90.0
United States,2022-01-02,90.0
United States,2022-01-09,90.0
United States,2022-01-16,86.0
United States,2022-01-23,87.0
United States,2022-01-30,94.0
United States,2022-02-06,94.0
United States,2022-02-13,95.0
United States,2022-02-20,94.0
United States,2022-02-27,83.0
United States,2022-03-06,83.0
United States,2022-03-13,81.0
United States,2022-03-20,86.0
United States,2022-03-27,98.0
United States,2022-04-03,100.0
United States,2022-04-10,95.0
