Category: All categories

Week,mask: (Australia)
2020-01-26,29
2020-02-02,13
2020-02-09,10
2020-02-16,8
2020-02-23,13
2020-03-01,14
2020-03-08,15
2020-03-15,20
2020-03-22,27
2020-03-29,25
2020-04-05,17
2020-04-12,12
2020-04-19,11
2020-04-26,10
2020-05-03,10
2020-05-10,9
2020-05-17,10
2020-05-24,8
2020-05-31,8
2020-06-07,7
2020-06-14,7
2020-06-21,8
2020-06-28,10
2020-07-05,20
2020-07-12,32
2020-07-19,100
2020-07-26,55
2020-08-02,47
2020-08-09,25
2020-08-16,15
2020-08-23,15
2020-08-30,14
2020-09-06,12
2020-09-13,11
2020-09-20,10
2020-09-27,11
2020-10-04,11
2020-10-11,11
2020-10-18,11
2020-10-25,11
2020-11-01,8
2020-11-08,8
2020-11-15,12
2020-11-22,10
2020-11-29,9
2020-12-06,10
2020-12-13,8
2020-12-20,9
2020-12-27,14
2021-01-03,24
2021-01-10,20
2021-01-17,15
2021-01-24,11
2021-01-31,27
2021-02-07,14
2021-02-14,9
2021-02-21,8
2021-02-28,8
2021-03-07,7
2021-03-14,7
2021-03-21,9
2021-03-28,19
2021-04-04,12
2021-04-11,11
2021-04-18,7
2021-04-25,9
2021-05-02,11
2021-05-09,9
2021-05-16,7
2021-05-23,10
2021-05-30,8
2021-06-06,7
2021-06-13,8
2021-06-20,14
2021-06-27,31
2021-07-04,20
2021-07-11,19
2021-07-18,17
2021-07-25,19
2021-08-01,17
2021-08-08,17
2021-08-15,19
2021-08-22,18
2021-08-29,14
2021-09-05,13
2021-09-12,13
2021-09-19,14
2021-09-26,13
2021-10-03,14
2021-10-10,15
2021-10-17,14
2021-10-24,13
2021-10-31,11
2021-11-07,13
2021-11-14,12
2021-11-21,10
2021-11-28,9
2021-12-05,9
2021-12-12,17
2021-12-19,19
2021-12-26,16
2022-01-02,23
2022-01-09,27
2022-01-16,26
2022-01-23,19
2022-01-30,16
2022-02-06,14
2022-02-13,15
2022-02-20,19
2022-02-27,15
2022-03-06,11
2022-03-13,10
2022-03-20,10
2022-03-27,9
2022-04-03,9
2022-04-10,9
