Category: All categories

Week,mask: (Belgium)
2020-01-26,35
2020-02-02,31
2020-02-09,26
2020-02-16,27
2020-02-23,51
2020-03-01,42
2020-03-08,44
2020-03-15,77
2020-03-22,59
2020-03-29,69
2020-04-05,68
2020-04-12,76
2020-04-19,76
2020-04-26,98
2020-05-03,86
2020-05-10,72
2020-05-17,51
2020-05-24,46
2020-05-31,38
2020-06-07,41
2020-06-14,36
2020-06-21,37
2020-06-28,34
2020-07-05,47
2020-07-12,54
2020-07-19,63
2020-07-26,77
2020-08-02,53
2020-08-09,43
2020-08-16,43
2020-08-23,50
2020-08-30,50
2020-09-06,47
2020-09-13,50
2020-09-20,53
2020-09-27,49
2020-10-04,54
2020-10-11,68
2020-10-18,100
2020-10-25,87
2020-11-01,86
2020-11-08,73
2020-11-15,64
2020-11-22,78
2020-11-29,69
2020-12-06,36
2020-12-13,43
2020-12-20,48
2020-12-27,35
2021-01-03,31
2021-01-10,36
2021-01-17,39
2021-01-24,39
2021-01-31,41
2021-02-07,36
2021-02-14,35
2021-02-21,34
2021-02-28,37
2021-03-07,36
2021-03-14,31
2021-03-21,38
2021-03-28,38
2021-04-04,34
2021-04-11,31
2021-04-18,31
2021-04-25,30
2021-05-02,30
2021-05-09,30
2021-05-16,29
2021-05-23,33
2021-05-30,31
2021-06-06,27
2021-06-13,25
2021-06-20,28
2021-06-27,27
2021-07-04,25
2021-07-11,23
2021-07-18,30
2021-07-25,29
2021-08-01,26
2021-08-08,24
2021-08-15,28
2021-08-22,32
2021-08-29,26
2021-09-05,18
2021-09-12,22
2021-09-19,29
2021-09-26,31
2021-10-03,31
2021-10-10,25
2021-10-17,27
2021-10-24,40
2021-10-31,34
2021-11-07,26
2021-11-14,29
2021-11-21,27
2021-11-28,32
2021-12-05,30
2021-12-12,29
2021-12-19,37
2021-12-26,32
2022-01-02,36
2022-01-09,41
2022-01-16,44
2022-01-23,43
2022-01-30,44
2022-02-06,37
2022-02-13,40
2022-02-20,34
2022-02-27,34
2022-03-06,34
2022-03-13,40
2022-03-20,34
2022-03-27,49
2022-04-03,54
2022-04-10,48
