Category: All categories

Week,mask: (Germany)
2020-01-26,36
2020-02-02,30
2020-02-09,26
2020-02-16,28
2020-02-23,44
2020-03-01,36
2020-03-08,46
2020-03-15,51
2020-03-22,62
2020-03-29,81
2020-04-05,62
2020-04-12,66
2020-04-19,100
2020-04-26,98
2020-05-03,51
2020-05-10,47
2020-05-17,37
2020-05-24,40
2020-05-31,36
2020-06-07,34
2020-06-14,32
2020-06-21,33
2020-06-28,33
2020-07-05,35
2020-07-12,46
2020-07-19,39
2020-07-26,34
2020-08-02,38
2020-08-09,39
2020-08-16,38
2020-08-23,39
2020-08-30,38
2020-09-06,36
2020-09-13,37
2020-09-20,36
2020-09-27,36
2020-10-04,37
2020-10-11,41
2020-10-18,58
2020-10-25,53
2020-11-01,45
2020-11-08,49
2020-11-15,51
2020-11-22,60
2020-11-29,35
2020-12-06,37
2020-12-13,39
2020-12-20,34
2020-12-27,30
2021-01-03,33
2021-01-10,47
2021-01-17,65
2021-01-24,46
2021-01-31,35
2021-02-07,35
2021-02-14,39
2021-02-21,37
2021-02-28,36
2021-03-07,36
2021-03-14,37
2021-03-21,40
2021-03-28,34
2021-04-04,34
2021-04-11,34
2021-04-18,31
2021-04-25,32
2021-05-02,32
2021-05-09,32
2021-05-16,55
2021-05-23,32
2021-05-30,29
2021-06-06,26
2021-06-13,25
2021-06-20,26
2021-06-27,27
2021-07-04,25
2021-07-11,24
2021-07-18,26
2021-07-25,25
2021-08-01,27
2021-08-08,24
2021-08-15,26
2021-08-22,29
2021-08-29,26
2021-09-05,25
2021-09-12,27
2021-09-19,27
2021-09-26,25
2021-10-03,28
2021-10-10,31
2021-10-17,35
2021-10-24,39
2021-10-31,35
2021-11-07,37
2021-11-14,37
2021-11-21,35
2021-11-28,32
2021-12-05,31
2021-12-12,29
2021-12-19,29
2021-12-26,32
2022-01-02,33
2022-01-09,35
2022-01-16,38
2022-01-23,33
2022-01-30,33
2022-02-06,32
2022-02-13,30
2022-02-20,27
2022-02-27,33
2022-03-06,32
2022-03-13,33
2022-03-20,33
2022-03-27,34
2022-04-03,31
2022-04-10,32
