Category: All categories

Week,mask: (Japan)
2020-01-26,67
2020-02-02,55
2020-02-09,41
2020-02-16,36
2020-02-23,57
2020-03-01,44
2020-03-08,42
2020-03-15,41
2020-03-22,45
2020-03-29,70
2020-04-05,77
2020-04-12,62
2020-04-19,70
2020-04-26,59
2020-05-03,49
2020-05-10,45
2020-05-17,44
2020-05-24,53
2020-05-31,50
2020-06-07,47
2020-06-14,58
2020-06-21,54
2020-06-28,100
2020-07-05,53
2020-07-12,49
2020-07-19,48
2020-07-26,44
2020-08-02,42
2020-08-09,44
2020-08-16,40
2020-08-23,38
2020-08-30,37
2020-09-06,37
2020-09-13,37
2020-09-20,30
2020-09-27,31
2020-10-04,32
2020-10-11,30
2020-10-18,30
2020-10-25,30
2020-11-01,23
2020-11-08,31
2020-11-15,30
2020-11-22,26
2020-11-29,30
2020-12-06,31
2020-12-13,30
2020-12-20,31
2020-12-27,20
2021-01-03,29
2021-01-10,30
2021-01-17,32
2021-01-24,29
2021-01-31,28
2021-02-07,25
2021-02-14,27
2021-02-21,31
2021-02-28,30
2021-03-07,27
2021-03-14,25
2021-03-21,21
2021-03-28,22
2021-04-04,27
2021-04-11,22
2021-04-18,24
2021-04-25,22
2021-05-02,22
2021-05-09,29
2021-05-16,29
2021-05-23,25
2021-05-30,28
2021-06-06,24
2021-06-13,26
2021-06-20,29
2021-06-27,25
2021-07-04,27
2021-07-11,22
2021-07-18,23
2021-07-25,22
2021-08-01,23
2021-08-08,25
2021-08-15,25
2021-08-22,29
2021-08-29,26
2021-09-05,25
2021-09-12,24
2021-09-19,22
2021-09-26,21
2021-10-03,21
2021-10-10,22
2021-10-17,25
2021-10-24,28
2021-10-31,22
2021-11-07,22
2021-11-14,19
2021-11-21,24
2021-11-28,25
2021-12-05,22
2021-12-12,22
2021-12-19,22
2021-12-26,19
2022-01-02,25
2022-01-09,25
2022-01-16,24
2022-01-23,27
2022-01-30,27
2022-02-06,25
2022-02-13,24
2022-02-20,21
2022-02-27,22
2022-03-06,20
2022-03-13,19
2022-03-20,21
2022-03-27,22
2022-04-03,17
2022-04-10,17
