Category: All categories

Week,mask: (Switzerland)
2020-01-26,52
2020-02-02,38
2020-02-09,29
2020-02-16,33
2020-02-23,76
2020-03-01,48
2020-03-08,49
2020-03-15,55
2020-03-22,57
2020-03-29,69
2020-04-05,64
2020-04-12,77
2020-04-19,78
2020-04-26,78
2020-05-03,64
2020-05-10,57
2020-05-17,55
2020-05-24,37
2020-05-31,36
2020-06-07,35
2020-06-14,38
2020-06-21,34
2020-06-28,85
2020-07-05,74
2020-07-12,69
2020-07-19,58
2020-07-26,54
2020-08-02,62
2020-08-09,55
2020-08-16,57
2020-08-23,73
2020-08-30,75
2020-09-06,53
2020-09-13,55
2020-09-20,52
2020-09-27,44
2020-10-04,56
2020-10-11,84
2020-10-18,100
2020-10-25,99
2020-11-01,80
2020-11-08,75
2020-11-15,70
2020-11-22,77
2020-11-29,59
2020-12-06,54
2020-12-13,54
2020-12-20,44
2020-12-27,35
2021-01-03,43
2021-01-10,55
2021-01-17,63
2021-01-24,58
2021-01-31,52
2021-02-07,43
2021-02-14,46
2021-02-21,33
2021-02-28,35
2021-03-07,37
2021-03-14,35
2021-03-21,40
2021-03-28,36
2021-04-04,39
2021-04-11,31
2021-04-18,37
2021-04-25,35
2021-05-02,33
2021-05-09,30
2021-05-16,34
2021-05-23,33
2021-05-30,30
2021-06-06,30
2021-06-13,30
2021-06-20,27
2021-06-27,27
2021-07-04,33
2021-07-11,25
2021-07-18,28
2021-07-25,29
2021-08-01,23
2021-08-08,29
2021-08-15,30
2021-08-22,32
2021-08-29,26
2021-09-05,31
2021-09-12,28
2021-09-19,28
2021-09-26,30
2021-10-03,29
2021-10-10,28
2021-10-17,31
2021-10-24,44
2021-10-31,28
2021-11-07,31
2021-11-14,29
2021-11-21,31
2021-11-28,30
2021-12-05,39
2021-12-12,37
2021-12-19,37
2021-12-26,37
2022-01-02,38
2022-01-09,43
2022-01-16,41
2022-01-23,32
2022-01-30,36
2022-02-06,31
2022-02-13,33
2022-02-20,32
2022-02-27,27
2022-03-06,32
2022-03-13,28
2022-03-20,29
2022-03-27,35
2022-04-03,35
2022-04-10,46
