Category: All categories

Week,mask: (Turkey)
2020-01-26,56
2020-02-02,54
2020-02-09,55
2020-02-16,54
2020-02-23,73
2020-03-01,61
2020-03-08,100
2020-03-15,76
2020-03-22,76
2020-03-29,92
2020-04-05,97
2020-04-12,67
2020-04-19,65
2020-04-26,63
2020-05-03,71
2020-05-10,69
2020-05-17,70
2020-05-24,68
2020-05-31,68
2020-06-07,58
2020-06-14,61
2020-06-21,59
2020-06-28,59
2020-07-05,58
2020-07-12,56
2020-07-19,58
2020-07-26,53
2020-08-02,53
2020-08-09,58
2020-08-16,61
2020-08-23,62
2020-08-30,56
2020-09-06,60
2020-09-13,62
2020-09-20,61
2020-09-27,59
2020-10-04,53
2020-10-11,53
2020-10-18,53
2020-10-25,54
2020-11-01,46
2020-11-08,47
2020-11-15,50
2020-11-22,47
2020-11-29,47
2020-12-06,45
2020-12-13,42
2020-12-20,51
2020-12-27,45
2021-01-03,43
2021-01-10,47
2021-01-17,42
2021-01-24,50
2021-01-31,49
2021-02-07,49
2021-02-14,44
2021-02-21,52
2021-02-28,50
2021-03-07,51
2021-03-14,49
2021-03-21,50
2021-03-28,58
2021-04-04,55
2021-04-11,53
2021-04-18,56
2021-04-25,47
2021-05-02,50
2021-05-09,54
2021-05-16,54
2021-05-23,48
2021-05-30,40
2021-06-06,42
2021-06-13,48
2021-06-20,64
2021-06-27,45
2021-07-04,47
2021-07-11,55
2021-07-18,55
2021-07-25,42
2021-08-01,46
2021-08-08,45
2021-08-15,48
2021-08-22,53
2021-08-29,50
2021-09-05,48
2021-09-12,50
2021-09-19,46
2021-09-26,42
2021-10-03,47
2021-10-10,44
2021-10-17,52
2021-10-24,49
2021-10-31,52
2021-11-07,45
2021-11-14,40
2021-11-21,33
2021-11-28,38
2021-12-05,37
2021-12-12,34
2021-12-19,31
2021-12-26,41
2022-01-02,43
2022-01-09,38
2022-01-16,38
2022-01-23,37
2022-01-30,35
2022-02-06,50
2022-02-13,40
2022-02-20,36
2022-02-27,35
2022-03-06,33
2022-03-13,35
2022-03-20,31
2022-03-27,31
2022-04-03,34
2022-04-10,44
