Category: All categories

Week,mask: (United Kingdom)
2020-01-26,20
2020-02-02,15
2020-02-09,15
2020-02-16,10
2020-02-23,24
2020-03-01,23
2020-03-08,23
2020-03-15,29
2020-03-22,35
2020-03-29,40
2020-04-05,31
2020-04-12,36
2020-04-19,38
2020-04-26,42
2020-05-03,36
2020-05-10,53
2020-05-17,33
2020-05-24,26
2020-05-31,40
2020-06-07,40
2020-06-14,36
2020-06-21,29
2020-06-28,33
2020-07-05,44
2020-07-12,100
2020-07-19,86
2020-07-26,55
2020-08-02,43
2020-08-09,35
2020-08-16,30
2020-08-23,33
2020-08-30,31
2020-09-06,29
2020-09-13,29
2020-09-20,40
2020-09-27,33
2020-10-04,30
2020-10-11,29
2020-10-18,27
2020-10-25,30
2020-11-01,26
2020-11-08,22
2020-11-15,20
2020-11-22,18
2020-11-29,19
2020-12-06,19
2020-12-13,18
2020-12-20,17
2020-12-27,18
2021-01-03,21
2021-01-10,24
2021-01-17,25
2021-01-24,22
2021-01-31,21
2021-02-07,19
2021-02-14,17
2021-02-21,17
2021-02-28,17
2021-03-07,16
2021-03-14,15
2021-03-21,14
2021-03-28,13
2021-04-04,13
2021-04-11,14
2021-04-18,14
2021-04-25,14
2021-05-02,14
2021-05-09,15
2021-05-16,16
2021-05-23,13
2021-05-30,13
2021-06-06,13
2021-06-13,14
2021-06-20,13
2021-06-27,16
2021-07-04,14
2021-07-11,14
2021-07-18,17
2021-07-25,11
2021-08-01,11
2021-08-08,10
2021-08-15,10
2021-08-22,10
2021-08-29,10
2021-09-05,10
2021-09-12,10
2021-09-19,10
2021-09-26,11
2021-10-03,12
2021-10-10,13
2021-10-17,17
2021-10-24,19
2021-10-31,12
2021-11-07,10
2021-11-14,10
2021-11-21,11
2021-11-28,25
2021-12-05,18
2021-12-12,18
2021-12-19,14
2021-12-26,16
2022-01-02,18
2022-01-09,14
2022-01-16,15
2022-01-23,17
2022-01-30,11
2022-02-06,11
2022-02-13,10
2022-02-20,10
2022-02-27,11
2022-03-06,10
2022-03-13,10
2022-03-20,10
2022-03-27,10
2022-04-03,9
2022-04-10,10
