Category: All categories

Week,mask: (Iran)
2020-01-26,41
2020-02-02,46
2020-02-09,40
2020-02-16,69
2020-02-23,95
2020-03-01,87
2020-03-08,75
2020-03-15,84
2020-03-22,100
2020-03-29,94
2020-04-05,88
2020-04-12,89
2020-04-19,72
2020-04-26,62
2020-05-03,52
2020-05-10,51
2020-05-17,41
2020-05-24,43
2020-05-31,53
2020-06-07,55
2020-06-14,48
2020-06-21,43
2020-06-28,69
2020-07-05,80
2020-07-12,81
2020-07-19,76
2020-07-26,57
2020-08-02,62
2020-08-09,67
2020-08-16,48
2020-08-23,69
2020-08-30,53
2020-09-06,48
2020-09-13,47
2020-09-20,36
2020-09-27,43
2020-10-04,50
2020-10-11,48
2020-10-18,40
2020-10-25,56
2020-11-01,42
2020-11-08,40
2020-11-15,53
2020-11-22,46
2020-11-29,47
2020-12-06,41
2020-12-13,43
2020-12-20,46
2020-12-27,44
2021-01-03,40
2021-01-10,43
2021-01-17,45
2021-01-24,52
2021-01-31,40
2021-02-07,42
2021-02-14,73
2021-02-21,63
2021-02-28,60
2021-03-07,55
2021-03-14,56
2021-03-21,69
2021-03-28,62
2021-04-04,70
2021-04-11,64
2021-04-18,53
2021-04-25,57
2021-05-02,61
2021-05-09,53
2021-05-16,45
2021-05-23,48
2021-05-30,55
2021-06-06,47
2021-06-13,52
2021-06-20,50
2021-06-27,57
2021-07-04,53
2021-07-11,50
2021-07-18,49
2021-07-25,46
2021-08-01,59
2021-08-08,53
2021-08-15,57
2021-08-22,64
2021-08-29,49
2021-09-05,44
2021-09-12,45
2021-09-19,47
2021-09-26,42
2021-10-03,42
2021-10-10,51
2021-10-17,37
2021-10-24,37
2021-10-31,46
2021-11-07,33
2021-11-14,39
2021-11-21,47
2021-11-28,40
2021-12-05,45
2021-12-12,33
2021-12-19,38
2021-12-26,40
2022-01-02,37
2022-01-09,40
2022-01-16,37
2022-01-23,37
2022-01-30,32
2022-02-06,45
2022-02-13,32
2022-02-20,38
2022-02-27,42
2022-03-06,32
2022-03-13,37
2022-03-20,64
2022-03-27,54
2022-04-03,43
2022-04-10,48
