Country,Date,search_index
Canada,2020-01-26,55.0
Canada,2020-02-02,24.0
Canada,2020-02-09,19.0
Canada,2020-02-16,18.0
Canada,2020-02-23,28.0
Canada,2020-03-01,26.0
Canada,2020-03-08,34.0
Canada,2020-03-15,51.0
Canada,2020-03-22,62.0
Canada,2020-03-29,93.0
Canada,2020-04-05,100.0
Canada,2020-04-12,66.0
Canada,2020-04-19,62.0
Canada,2020-04-26,60.0
Canada,2020-05-03,61.0
Canada,2020-05-10,59.0
Canada,2020-05-17,66.0
Canada,2020-05-24,53.0
Canada,2020-05-31,41.0
Canada,2020-06-07,37.0
Canada,2020-06-14,36.0
Canada,2020-06-21,35.0
Canada,2020-06-28,49.0
Canada,2020-07-05,67.0
Canada,2020-07-12,74.0
Canada,2020-07-19,75.0
Canada,2020-07-26,72.0
Canada,2020-08-02,67.0
Canada,2020-08-09,64.0
Canada,2020-08-16,59.0
Canada,2020-08-23,57.0
Canada,2020-08-30,55.0
Canada,2020-09-06,50.0
Canada,2020-09-13,50.0
Canada,2020-09-20,40.0
Canada,2020-09-27,40.0
Canada,2020-10-04,39.0
Canada,2020-10-11,31.0
Canada,2020-10-18,34.0
Canada,2020-10-25,39.0
Canada,2020-11-01,33.0
Canada,2020-11-08,34.0
Canada,2020-11-15,43.0
Canada,2020-11-22,43.0
Canada,2020-11-29,32.0
Canada,2020-12-06,29.0
Canada,2020-12-13,28.0
Canada,2020-12-20,23.0
Canada,2020-12-27,24.0
Canada,2021-01-03,24.0
Canada,2021-01-10,26.0
Canada,2021-01-17,25.0
Canada,2021-01-24,28.0
Canada,2021-01-31,26.0
Canada,2021-02-07,26.0
Canada,2021-02-14,24.0
Canada,2021-02-21,24.0
Canada,2021-02-28,24.0
Canada,2021-03-07,23.0
Canada,2021-03-14,22.0
Canada,2021-03-21,23.0
Canada,2021-03-28,26.0
Canada,2021-04-04,31.0
Canada,2021-04-11,23.0
Canada,2021-04-18,22.0
Canada,2021-04-25,23.0
Canada,2021-05-02,21.0
Canada,2021-05-09,21.0
Canada,2021-05-16,21.0
Canada,2021-05-23,18.0
Canada,2021-05-30,17.0
Canada,2021-06-06,18.0
Canada,2021-06-13,18.0
Canada,2021-06-20,21.0
Canada,2021-06-27,25.0
Canada,2021-07-04,25.0
Canada,2021-07-11,19.0
Canada,2021-07-18,17.0
Canada,2021-07-25,20.0
Canada,2021-08-01,20.0
Canada,2021-08-08,20.0
Canada,2021-08-15,21.0
Canada,2021-08-22,28.0
Canada,2021-08-29,27.0
Canada,2021-09-05,23.0
Canada,2021-09-12,23.0
Canada,2021-09-19,21.0
Canada,2021-09-26,21.0
Canada,2021-10-03,22.0
Canada,2021-10-10,21.0
Canada,2021-10-17,24.0
Canada,2021-10-24,26.0
Canada,2021-10-31,21.0
Canada,2021-11-07,18.0
Canada,2021-11-14,18.0
Canada,2021-11-21,20.0
Canada,2021-11-28,20.0
Canada,2021-12-05,19.0
Canada,2021-12-12,24.0
Canada,2021-12-19,35.0
Canada,2021-12-26,31.0
Canada,2022-01-02,37.0
Canada,2022-01-09,36.0
Canada,2022-01-16,28.0
Canada,2022-01-23,23.0
Canada,2022-01-30,22.0
Canada,2022-02-06,23.0
Canada,2022-02-13,22.0
Canada,2022-02-20,21.0
Canada,2022-02-27,31.0
Canada,2022-03-06,48.0
Canada,2022-03-13,26.0
Canada,2022-03-20,29.0
Canada,2022-03-27,18.0
Canada,2022-04-03,18.0
Canada,2022-04-10,18.0
