Country,Date,search_index
Japan,2020-01-26,67.0
Japan,2020-02-02,55.0
Japan,2020-02-09,41.0
Japan,2020-02-16,36.0
Japan,2020-02-23,57.0
Japan,2020-03-01,44.0
Japan,2020-03-08,42.0
Japan,2020-03-15,41.0
Japan,2020-03-22,45.0
Japan,2020-03-29,70.0
Japan,2020-04-05,77.0
Japan,2020-04-12,62.0
Japan,2020-04-19,70.0
Japan,2020-04-26,59.0
Japan,2020-05-03,49.0
Japan,2020-05-10,45.0
Japan,2020-05-17,44.0
Japan,2020-05-24,53.0
Japan,2020-05-31,50.0
Japan,2020-06-07,47.0
Japan,2020-06-14,58.0
Japan,2020-06-21,54.0
Japan,2020-06-28,100.0
Japan,2020-07-05,53.0
Japan,2020-07-12,49.0
Japan,2020-07-19,48.0
Japan,2020-07-26,44.0
Japan,2020-08-02,42.0
Japan,2020-08-09,44.0
Japan,2020-08-16,40.0
Japan,2020-08-23,38.0
Japan,2020-08-30,37.0
Japan,2020-09-06,37.0
Japan,2020-09-13,37.0
Japan,2020-09-20,30.0
Japan,2020-09-27,31.0
Japan,2020-10-04,32.0
Japan,2020-10-11,30.0
Japan,2020-10-18,30.0
Japan,2020-10-25,30.0
Japan,2020-11-01,23.0
Japan,2020-11-08,31.0
Japan,2020-11-15,30.0
Japan,2020-11-22,26.0
Japan,2020-11-29,30.0
Japan,2020-12-06,31.0
Japan,2020-12-13,30.0
Japan,2020-12-20,31.0
Japan,2020-12-27,20.0
Japan,2021-01-03,29.0
Japan,2021-01-10,30.0
Japan,2021-01-17,32.0
Japan,2021-01-24,29.0
Japan,2021-01-31,28.0
Japan,2021-02-07,25.0
Japan,2021-02-14,27.0
Japan,2021-02-21,31.0
Japan,2021-02-28,30.0
Japan,2021-03-07,27.0
Japan,2021-03-14,25.0
Japan,2021-03-21,21.0
Japan,2021-03-28,22.0
Japan,2021-04-04,27.0
Japan,2021-04-11,22.0
Japan,2021-04-18,24.0
Japan,2021-04-25,22.0
Japan,2021-05-02,22.0
Japan,2021-05-09,29.0
Japan,2021-05-16,29.0
Japan,2021-05-23,25.0
Japan,2021-05-30,28.0
Japan,2021-06-06,24.0
Japan,2021-06-13,26.0
Japan,2021-06-20,29.0
Japan,2021-06-27,25.0
Japan,2021-07-04,27.0
Japan,2021-07-11,22.0
Japan,2021-07-18,23.0
Japan,2021-07-25,22.0
Japan,2021-08-01,23.0
Japan,2021-08-08,25.0
Japan,2021-08-15,25.0
Japan,2021-08-22,29.0
Japan,2021-08-29,26.0
Japan,2021-09-05,25.0
Japan,2021-09-12,24.0
Japan,2021-09-19,22.0
Japan,2021-09-26,21.0
Japan,2021-10-03,21.0
Japan,2021-10-10,22.0
Japan,2021-10-17,25.0
Japan,2021-10-24,28.0
Japan,2021-10-31,22.0
Japan,2021-11-07,22.0
Japan,2021-11-14,19.0
Japan,2021-11-21,24.0
Japan,2021-11-28,25.0
Japan,2021-12-05,22.0
Japan,2021-12-12,22.0
Japan,2021-12-19,22.0
Japan,2021-12-26,19.0
Japan,2022-01-02,25.0
Japan,2022-01-09,25.0
Japan,2022-01-16,24.0
Japan,2022-01-23,27.0
Japan,2022-01-30,27.0
Japan,2022-02-06,25.0
Japan,2022-02-13,24.0
Japan,2022-02-20,21.0
Japan,2022-02-27,22.0
Japan,2022-03-06,20.0
Japan,2022-03-13,19.0
Japan,2022-03-20,21.0
Japan,2022-03-27,22.0
Japan,2022-04-03,17.0
Japan,2022-04-10,17.0
