Country,Date,search_index
Saudi Arabia,2020-01-26,33.0
Saudi Arabia,2020-02-02,30.0
Saudi Arabia,2020-02-09,23.0
Saudi Arabia,2020-02-16,19.0
Saudi Arabia,2020-02-23,44.0
Saudi Arabia,2020-03-01,47.0
Saudi Arabia,2020-03-08,53.0
Saudi Arabia,2020-03-15,47.0
Saudi Arabia,2020-03-22,46.0
Saudi Arabia,2020-03-29,37.0
Saudi Arabia,2020-04-05,37.0
Saudi Arabia,2020-04-12,29.0
Saudi Arabia,2020-04-19,27.0
Saudi Arabia,2020-04-26,35.0
Saudi Arabia,2020-05-03,36.0
Saudi Arabia,2020-05-10,37.0
Saudi Arabia,2020-05-17,46.0
Saudi Arabia,2020-05-24,67.0
Saudi Arabia,2020-05-31,100.0
Saudi Arabia,2020-06-07,68.0
Saudi Arabia,2020-06-14,54.0
Saudi Arabia,2020-06-21,51.0
Saudi Arabia,2020-06-28,44.0
Saudi Arabia,2020-07-05,43.0
Saudi Arabia,2020-07-12,40.0
Saudi Arabia,2020-07-19,34.0
Saudi Arabia,2020-07-26,34.0
Saudi Arabia,2020-08-02,33.0
Saudi Arabia,2020-08-09,31.0
Saudi Arabia,2020-08-16,24.0
Saudi Arabia,2020-08-23,22.0
Saudi Arabia,2020-08-30,20.0
Saudi Arabia,2020-09-06,17.0
Saudi Arabia,2020-09-13,15.0
Saudi Arabia,2020-09-20,19.0
Saudi Arabia,2020-09-27,18.0
Saudi Arabia,2020-10-04,18.0
Saudi Arabia,2020-10-11,18.0
Saudi Arabia,2020-10-18,16.0
Saudi Arabia,2020-10-25,19.0
Saudi Arabia,2020-11-01,17.0
Saudi Arabia,2020-11-08,18.0
Saudi Arabia,2020-11-15,18.0
Saudi Arabia,2020-11-22,15.0
Saudi Arabia,2020-11-29,19.0
Saudi Arabia,2020-12-06,17.0
Saudi Arabia,2020-12-13,19.0
Saudi Arabia,2020-12-20,17.0
Saudi Arabia,2020-12-27,18.0
Saudi Arabia,2021-01-03,29.0
Saudi Arabia,2021-01-10,24.0
Saudi Arabia,2021-01-17,20.0
Saudi Arabia,2021-01-24,19.0
Saudi Arabia,2021-01-31,19.0
Saudi Arabia,2021-02-07,22.0
Saudi Arabia,2021-02-14,21.0
Saudi Arabia,2021-02-21,20.0
Saudi Arabia,2021-02-28,19.0
Saudi Arabia,2021-03-07,17.0
Saudi Arabia,2021-03-14,15.0
Saudi Arabia,2021-03-21,18.0
Saudi Arabia,2021-03-28,17.0
Saudi Arabia,2021-04-04,18.0
Saudi Arabia,2021-04-11,14.0
Saudi Arabia,2021-04-18,19.0
Saudi Arabia,2021-04-25,20.0
Saudi Arabia,2021-05-02,24.0
Saudi Arabia,2021-05-09,26.0
Saudi Arabia,2021-05-16,22.0
Saudi Arabia,2021-05-23,20.0
Saudi Arabia,2021-05-30,22.0
Saudi Arabia,2021-06-06,21.0
Saudi Arabia,2021-06-13,17.0
Saudi Arabia,2021-06-20,18.0
Saudi Arabia,2021-06-27,18.0
Saudi Arabia,2021-07-04,18.0
Saudi Arabia,2021-07-11,20.0
Saudi Arabia,2021-07-18,20.0
Saudi Arabia,2021-07-25,17.0
Saudi Arabia,2021-08-01,22.0
Saudi Arabia,2021-08-08,16.0
Saudi Arabia,2021-08-15,19.0
Saudi Arabia,2021-08-22,22.0
Saudi Arabia,2021-08-29,17.0
Saudi Arabia,2021-09-05,16.0
Saudi Arabia,2021-09-12,14.0
Saudi Arabia,2021-09-19,15.0
Saudi Arabia,2021-09-26,16.0
Saudi Arabia,2021-10-03,14.0
Saudi Arabia,2021-10-10,19.0
Saudi Arabia,2021-10-17,18.0
Saudi Arabia,2021-10-24,14.0
Saudi Arabia,2021-10-31,13.0
Saudi Arabia,2021-11-07,13.0
Saudi Arabia,2021-11-14,13.0
Saudi Arabia,2021-11-21,12.0
Saudi Arabia,2021-11-28,16.0
Saudi Arabia,2021-12-05,14.0
Saudi Arabia,2021-12-12,15.0
Saudi Arabia,2021-12-19,15.0
Saudi Arabia,2021-12-26,14.0
Saudi Arabia,2022-01-02,19.0
Saudi Arabia,2022-01-09,19.0
Saudi Arabia,2022-01-16,18.0
Saudi Arabia,2022-01-23,18.0
Saudi Arabia,2022-01-30,19.0
Saudi Arabia,2022-02-06,14.0
Saudi Arabia,2022-02-13,14.0
Saudi Arabia,2022-02-20,14.0
Saudi Arabia,2022-02-27,16.0
Saudi Arabia,2022-03-06,17.0
Saudi Arabia,2022-03-13,13.0
Saudi Arabia,2022-03-20,11.0
Saudi Arabia,2022-03-27,13.0
Saudi Arabia,2022-04-03,11.0
Saudi Arabia,2022-04-10,13.0
