Country,Date,search_index
Spain,2020-01-26,7.0
Spain,2020-02-02,7.0
Spain,2020-02-09,7.0
Spain,2020-02-16,8.0
Spain,2020-02-23,12.0
Spain,2020-03-01,8.0
Spain,2020-03-08,9.0
Spain,2020-03-15,12.0
Spain,2020-03-22,11.0
Spain,2020-03-29,12.0
Spain,2020-04-05,15.0
Spain,2020-04-12,17.0
Spain,2020-04-19,16.0
Spain,2020-04-26,18.0
Spain,2020-05-03,16.0
Spain,2020-05-10,16.0
Spain,2020-05-17,19.0
Spain,2020-05-24,15.0
Spain,2020-05-31,12.0
Spain,2020-06-07,12.0
Spain,2020-06-14,11.0
Spain,2020-06-21,11.0
Spain,2020-06-28,12.0
Spain,2020-07-05,13.0
Spain,2020-07-12,20.0
Spain,2020-07-19,18.0
Spain,2020-07-26,16.0
Spain,2020-08-02,16.0
Spain,2020-08-09,14.0
Spain,2020-08-16,14.0
Spain,2020-08-23,18.0
Spain,2020-08-30,17.0
Spain,2020-09-06,20.0
Spain,2020-09-13,17.0
Spain,2020-09-20,17.0
Spain,2020-09-27,14.0
Spain,2020-10-04,14.0
Spain,2020-10-11,15.0
Spain,2020-10-18,15.0
Spain,2020-10-25,15.0
Spain,2020-11-01,49.0
Spain,2020-11-08,62.0
Spain,2020-11-15,57.0
Spain,2020-11-22,49.0
Spain,2020-11-29,55.0
Spain,2020-12-06,55.0
Spain,2020-12-13,62.0
Spain,2020-12-20,100.0
Spain,2020-12-27,27.0
Spain,2021-01-03,13.0
Spain,2021-01-10,11.0
Spain,2021-01-17,13.0
Spain,2021-01-24,13.0
Spain,2021-01-31,14.0
Spain,2021-02-07,13.0
Spain,2021-02-14,12.0
Spain,2021-02-21,11.0
Spain,2021-02-28,9.0
Spain,2021-03-07,10.0
Spain,2021-03-14,9.0
Spain,2021-03-21,10.0
Spain,2021-03-28,10.0
Spain,2021-04-04,10.0
Spain,2021-04-11,11.0
Spain,2021-04-18,10.0
Spain,2021-04-25,11.0
Spain,2021-05-02,12.0
Spain,2021-05-09,13.0
Spain,2021-05-16,20.0
Spain,2021-05-23,44.0
Spain,2021-05-30,48.0
Spain,2021-06-06,52.0
Spain,2021-06-13,47.0
Spain,2021-06-20,45.0
Spain,2021-06-27,43.0
Spain,2021-07-04,44.0
Spain,2021-07-11,46.0
Spain,2021-07-18,43.0
Spain,2021-07-25,80.0
Spain,2021-08-01,15.0
Spain,2021-08-08,11.0
Spain,2021-08-15,9.0
Spain,2021-08-22,9.0
Spain,2021-08-29,8.0
Spain,2021-09-05,8.0
Spain,2021-09-12,7.0
Spain,2021-09-19,8.0
Spain,2021-09-26,8.0
Spain,2021-10-03,7.0
Spain,2021-10-10,8.0
Spain,2021-10-17,10.0
Spain,2021-10-24,10.0
Spain,2021-10-31,8.0
Spain,2021-11-07,7.0
Spain,2021-11-14,8.0
Spain,2021-11-21,8.0
Spain,2021-11-28,8.0
Spain,2021-12-05,8.0
Spain,2021-12-12,8.0
Spain,2021-12-19,10.0
Spain,2021-12-26,18.0
Spain,2022-01-02,9.0
Spain,2022-01-09,11.0
Spain,2022-01-16,9.0
Spain,2022-01-23,10.0
Spain,2022-01-30,9.0
Spain,2022-02-06,9.0
Spain,2022-02-13,9.0
Spain,2022-02-20,9.0
Spain,2022-02-27,9.0
Spain,2022-03-06,9.0
Spain,2022-03-13,10.0
Spain,2022-03-20,8.0
Spain,2022-03-27,8.0
Spain,2022-04-03,8.0
Spain,2022-04-10,8.0
