Country,Date,search_index
United Arab Emirates,2020-01-26,100.0
United Arab Emirates,2020-02-02,38.0
United Arab Emirates,2020-02-09,21.0
United Arab Emirates,2020-02-16,18.0
United Arab Emirates,2020-02-23,31.0
United Arab Emirates,2020-03-01,47.0
United Arab Emirates,2020-03-08,45.0
United Arab Emirates,2020-03-15,50.0
United Arab Emirates,2020-03-22,68.0
United Arab Emirates,2020-03-29,74.0
United Arab Emirates,2020-04-05,55.0
United Arab Emirates,2020-04-12,41.0
United Arab Emirates,2020-04-19,42.0
United Arab Emirates,2020-04-26,46.0
United Arab Emirates,2020-05-03,43.0
United Arab Emirates,2020-05-10,43.0
United Arab Emirates,2020-05-17,51.0
United Arab Emirates,2020-05-24,51.0
United Arab Emirates,2020-05-31,50.0
United Arab Emirates,2020-06-07,48.0
United Arab Emirates,2020-06-14,45.0
United Arab Emirates,2020-06-21,44.0
United Arab Emirates,2020-06-28,48.0
United Arab Emirates,2020-07-05,44.0
United Arab Emirates,2020-07-12,38.0
United Arab Emirates,2020-07-19,37.0
United Arab Emirates,2020-07-26,36.0
United Arab Emirates,2020-08-02,33.0
United Arab Emirates,2020-08-09,32.0
United Arab Emirates,2020-08-16,35.0
United Arab Emirates,2020-08-23,32.0
United Arab Emirates,2020-08-30,31.0
United Arab Emirates,2020-09-06,27.0
United Arab Emirates,2020-09-13,28.0
United Arab Emirates,2020-09-20,26.0
United Arab Emirates,2020-09-27,28.0
United Arab Emirates,2020-10-04,27.0
United Arab Emirates,2020-10-11,26.0
United Arab Emirates,2020-10-18,26.0
United Arab Emirates,2020-10-25,25.0
United Arab Emirates,2020-11-01,22.0
United Arab Emirates,2020-11-08,22.0
United Arab Emirates,2020-11-15,22.0
United Arab Emirates,2020-11-22,22.0
United Arab Emirates,2020-11-29,22.0
United Arab Emirates,2020-12-06,20.0
United Arab Emirates,2020-12-13,22.0
United Arab Emirates,2020-12-20,20.0
United Arab Emirates,2020-12-27,17.0
United Arab Emirates,2021-01-03,19.0
United Arab Emirates,2021-01-10,20.0
United Arab Emirates,2021-01-17,24.0
United Arab Emirates,2021-01-24,24.0
United Arab Emirates,2021-01-31,21.0
United Arab Emirates,2021-02-07,21.0
United Arab Emirates,2021-02-14,22.0
United Arab Emirates,2021-02-21,20.0
United Arab Emirates,2021-02-28,20.0
United Arab Emirates,2021-03-07,21.0
United Arab Emirates,2021-03-14,17.0
United Arab Emirates,2021-03-21,18.0
United Arab Emirates,2021-03-28,20.0
United Arab Emirates,2021-04-04,21.0
United Arab Emirates,2021-04-11,17.0
United Arab Emirates,2021-04-18,20.0
United Arab Emirates,2021-04-25,21.0
United Arab Emirates,2021-05-02,20.0
United Arab Emirates,2021-05-09,21.0
United Arab Emirates,2021-05-16,19.0
United Arab Emirates,2021-05-23,21.0
United Arab Emirates,2021-05-30,20.0
United Arab Emirates,2021-06-06,21.0
United Arab Emirates,2021-06-13,18.0
United Arab Emirates,2021-06-20,18.0
United Arab Emirates,2021-06-27,18.0
United Arab Emirates,2021-07-04,21.0
United Arab Emirates,2021-07-11,17.0
United Arab Emirates,2021-07-18,17.0
United Arab Emirates,2021-07-25,16.0
United Arab Emirates,2021-08-01,18.0
United Arab Emirates,2021-08-08,18.0
United Arab Emirates,2021-08-15,17.0
United Arab Emirates,2021-08-22,19.0
United Arab Emirates,2021-08-29,16.0
United Arab Emirates,2021-09-05,18.0
United Arab Emirates,2021-09-12,18.0
United Arab Emirates,2021-09-19,24.0
United Arab Emirates,2021-09-26,18.0
United Arab Emirates,2021-10-03,17.0
United Arab Emirates,2021-10-10,16.0
United Arab Emirates,2021-10-17,18.0
United Arab Emirates,2021-10-24,16.0
United Arab Emirates,2021-10-31,14.0
United Arab Emirates,2021-11-07,14.0
United Arab Emirates,2021-11-14,13.0
United Arab Emirates,2021-11-21,15.0
United Arab Emirates,2021-11-28,13.0
United Arab Emirates,2021-12-05,15.0
United Arab Emirates,2021-12-12,12.0
United Arab Emirates,2021-12-19,14.0
United Arab Emirates,2021-12-26,14.0
United Arab Emirates,2022-01-02,16.0
United Arab Emirates,2022-01-09,20.0
United Arab Emirates,2022-01-16,17.0
United Arab Emirates,2022-01-23,16.0
United Arab Emirates,2022-01-30,15.0
United Arab Emirates,2022-02-06,14.0
United Arab Emirates,2022-02-13,14.0
United Arab Emirates,2022-02-20,21.0
United Arab Emirates,2022-02-27,22.0
United Arab Emirates,2022-03-06,14.0
United Arab Emirates,2022-03-13,13.0
United Arab Emirates,2022-03-20,12.0
United Arab Emirates,2022-03-27,11.0
United Arab Emirates,2022-04-03,11.0
United Arab Emirates,2022-04-10,12.0
