Country,Date,search_index
United States,2020-01-26,18.0
United States,2020-02-02,14.0
United States,2020-02-09,12.0
United States,2020-02-16,12.0
United States,2020-02-23,30.0
United States,2020-03-01,21.0
United States,2020-03-08,22.0
United States,2020-03-15,34.0
United States,2020-03-22,46.0
United States,2020-03-29,95.0
United States,2020-04-05,100.0
United States,2020-04-12,68.0
United States,2020-04-19,66.0
United States,2020-04-26,57.0
United States,2020-05-03,52.0
United States,2020-05-10,47.0
United States,2020-05-17,46.0
United States,2020-05-24,41.0
United States,2020-05-31,30.0
United States,2020-06-07,30.0
United States,2020-06-14,39.0
United States,2020-06-21,52.0
United States,2020-06-28,57.0
United States,2020-07-05,53.0
United States,2020-07-12,61.0
United States,2020-07-19,57.0
United States,2020-07-26,48.0
United States,2020-08-02,41.0
United States,2020-08-09,39.0
United States,2020-08-16,34.0
United States,2020-08-23,31.0
United States,2020-08-30,29.0
United States,2020-09-06,28.0
United States,2020-09-13,29.0
United States,2020-09-20,28.0
United States,2020-09-27,27.0
United States,2020-10-04,29.0
United States,2020-10-11,27.0
United States,2020-10-18,28.0
United States,2020-10-25,30.0
United States,2020-11-01,19.0
United States,2020-11-08,24.0
United States,2020-11-15,27.0
United States,2020-11-22,24.0
United States,2020-11-29,23.0
United States,2020-12-06,23.0
United States,2020-12-13,21.0
United States,2020-12-20,18.0
United States,2020-12-27,20.0
United States,2021-01-03,20.0
United States,2021-01-10,20.0
United States,2021-01-17,24.0
United States,2021-01-24,26.0
United States,2021-01-31,22.0
United States,2021-02-07,22.0
United States,2021-02-14,18.0
United States,2021-02-21,20.0
United States,2021-02-28,28.0
United States,2021-03-07,21.0
United States,2021-03-14,18.0
United States,2021-03-21,19.0
United States,2021-03-28,19.0
United States,2021-04-04,19.0
United States,2021-04-11,19.0
United States,2021-04-18,18.0
United States,2021-04-25,23.0
United States,2021-05-02,19.0
United States,2021-05-09,34.0
United States,2021-05-16,29.0
United States,2021-05-23,21.0
United States,2021-05-30,18.0
United States,2021-06-06,16.0
United States,2021-06-13,18.0
United States,2021-06-20,14.0
United States,2021-06-27,15.0
United States,2021-07-04,12.0
United States,2021-07-11,15.0
United States,2021-07-18,17.0
United States,2021-07-25,30.0
United States,2021-08-01,29.0
United States,2021-08-08,28.0
United States,2021-08-15,27.0
United States,2021-08-22,24.0
United States,2021-08-29,20.0
United States,2021-09-05,19.0
United States,2021-09-12,18.0
United States,2021-09-19,17.0
United States,2021-09-26,17.0
United States,2021-10-03,16.0
United States,2021-10-10,18.0
United States,2021-10-17,20.0
United States,2021-10-24,22.0
United States,2021-10-31,17.0
United States,2021-11-07,14.0
United States,2021-11-14,14.0
United States,2021-11-21,14.0
United States,2021-11-28,14.0
United States,2021-12-05,14.0
United States,2021-12-12,18.0
United States,2021-12-19,18.0
United States,2021-12-26,20.0
United States,2022-01-02,24.0
United States,2022-01-09,29.0
United States,2022-01-16,24.0
United States,2022-01-23,21.0
United States,2022-01-30,18.0
United States,2022-02-06,26.0
United States,2022-02-13,23.0
United States,2022-02-20,19.0
United States,2022-02-27,23.0
United States,2022-03-06,16.0
United States,2022-03-13,13.0
United States,2022-03-20,12.0
United States,2022-03-27,11.0
United States,2022-04-03,11.0
United States,2022-04-10,13.0
