Country,Date,search_index
Vietnam,2020-01-26,100.0
Vietnam,2020-02-02,73.0
Vietnam,2020-02-09,56.0
Vietnam,2020-02-16,45.0
Vietnam,2020-02-23,54.0
Vietnam,2020-03-01,50.0
Vietnam,2020-03-08,61.0
Vietnam,2020-03-15,70.0
Vietnam,2020-03-22,54.0
Vietnam,2020-03-29,59.0
Vietnam,2020-04-05,61.0
Vietnam,2020-04-12,60.0
Vietnam,2020-04-19,60.0
Vietnam,2020-04-26,59.0
Vietnam,2020-05-03,50.0
Vietnam,2020-05-10,46.0
Vietnam,2020-05-17,45.0
Vietnam,2020-05-24,39.0
Vietnam,2020-05-31,43.0
Vietnam,2020-06-07,36.0
Vietnam,2020-06-14,39.0
Vietnam,2020-06-21,40.0
Vietnam,2020-06-28,38.0
Vietnam,2020-07-05,42.0
Vietnam,2020-07-12,37.0
Vietnam,2020-07-19,40.0
Vietnam,2020-07-26,61.0
Vietnam,2020-08-02,49.0
Vietnam,2020-08-09,42.0
Vietnam,2020-08-16,43.0
Vietnam,2020-08-23,41.0
Vietnam,2020-08-30,36.0
Vietnam,2020-09-06,35.0
Vietnam,2020-09-13,34.0
Vietnam,2020-09-20,29.0
Vietnam,2020-09-27,31.0
Vietnam,2020-10-04,30.0
Vietnam,2020-10-11,28.0
Vietnam,2020-10-18,30.0
Vietnam,2020-10-25,29.0
Vietnam,2020-11-01,25.0
Vietnam,2020-11-08,29.0
Vietnam,2020-11-15,29.0
Vietnam,2020-11-22,26.0
Vietnam,2020-11-29,35.0
Vietnam,2020-12-06,27.0
Vietnam,2020-12-13,25.0
Vietnam,2020-12-20,27.0
Vietnam,2020-12-27,25.0
Vietnam,2021-01-03,28.0
Vietnam,2021-01-10,27.0
Vietnam,2021-01-17,26.0
Vietnam,2021-01-24,29.0
Vietnam,2021-01-31,29.0
Vietnam,2021-02-07,24.0
Vietnam,2021-02-14,27.0
Vietnam,2021-02-21,29.0
Vietnam,2021-02-28,29.0
Vietnam,2021-03-07,28.0
Vietnam,2021-03-14,28.0
Vietnam,2021-03-21,26.0
Vietnam,2021-03-28,28.0
Vietnam,2021-04-04,26.0
Vietnam,2021-04-11,26.0
Vietnam,2021-04-18,28.0
Vietnam,2021-04-25,27.0
Vietnam,2021-05-02,30.0
Vietnam,2021-05-09,29.0
Vietnam,2021-05-16,30.0
Vietnam,2021-05-23,30.0
Vietnam,2021-05-30,34.0
Vietnam,2021-06-06,29.0
Vietnam,2021-06-13,30.0
Vietnam,2021-06-20,32.0
Vietnam,2021-06-27,35.0
Vietnam,2021-07-04,32.0
Vietnam,2021-07-11,30.0
Vietnam,2021-07-18,36.0
Vietnam,2021-07-25,33.0
Vietnam,2021-08-01,30.0
Vietnam,2021-08-08,31.0
Vietnam,2021-08-15,31.0
Vietnam,2021-08-22,29.0
Vietnam,2021-08-29,29.0
Vietnam,2021-09-05,26.0
Vietnam,2021-09-12,27.0
Vietnam,2021-09-19,25.0
Vietnam,2021-09-26,27.0
Vietnam,2021-10-03,29.0
Vietnam,2021-10-10,25.0
Vietnam,2021-10-17,30.0
Vietnam,2021-10-24,27.0
Vietnam,2021-10-31,27.0
Vietnam,2021-11-07,28.0
Vietnam,2021-11-14,28.0
Vietnam,2021-11-21,27.0
Vietnam,2021-11-28,27.0
Vietnam,2021-12-05,25.0
Vietnam,2021-12-12,24.0
Vietnam,2021-12-19,24.0
Vietnam,2021-12-26,23.0
Vietnam,2022-01-02,24.0
Vietnam,2022-01-09,23.0
Vietnam,2022-01-16,20.0
Vietnam,2022-01-23,19.0
Vietnam,2022-01-30,17.0
Vietnam,2022-02-06,21.0
Vietnam,2022-02-13,19.0
Vietnam,2022-02-20,22.0
Vietnam,2022-02-27,24.0
Vietnam,2022-03-06,21.0
Vietnam,2022-03-13,23.0
Vietnam,2022-03-20,20.0
Vietnam,2022-03-27,20.0
Vietnam,2022-04-03,21.0
Vietnam,2022-04-10,19.0
