Category: All categories

Week,medical treatment: (Hong Kong)
2020-01-26,41
2020-02-02,68
2020-02-09,65
2020-02-16,49
2020-02-23,30
2020-03-01,61
2020-03-08,30
2020-03-15,30
2020-03-22,59
2020-03-29,87
2020-04-05,30
2020-04-12,15
2020-04-19,87
2020-04-26,30
2020-05-03,0
2020-05-10,30
2020-05-17,30
2020-05-24,15
2020-05-31,43
2020-06-07,72
2020-06-14,45
2020-06-21,31
2020-06-28,16
2020-07-05,0
2020-07-12,30
2020-07-19,45
2020-07-26,45
2020-08-02,15
2020-08-09,30
2020-08-16,29
2020-08-23,58
2020-08-30,29
2020-09-06,57
2020-09-13,14
2020-09-20,44
2020-09-27,85
2020-10-04,81
2020-10-11,68
2020-10-18,52
2020-10-25,35
2020-11-01,16
2020-11-08,17
2020-11-15,69
2020-11-22,84
2020-11-29,35
2020-12-06,34
2020-12-13,34
2020-12-20,19
2020-12-27,55
2021-01-03,34
2021-01-10,0
2021-01-17,17
2021-01-24,17
2021-01-31,35
2021-02-07,0
2021-02-14,18
2021-02-21,17
2021-02-28,100
2021-03-07,17
2021-03-14,16
2021-03-21,34
2021-03-28,36
2021-04-04,36
2021-04-11,68
2021-04-18,34
2021-04-25,34
2021-05-02,0
2021-05-09,0
2021-05-16,17
2021-05-23,17
2021-05-30,17
2021-06-06,51
2021-06-13,0
2021-06-20,35
2021-06-27,18
2021-07-04,17
2021-07-11,17
2021-07-18,18
2021-07-25,50
2021-08-01,0
2021-08-08,17
2021-08-15,53
2021-08-22,60
2021-08-29,37
2021-09-05,18
2021-09-12,37
2021-09-19,38
2021-09-26,38
2021-10-03,18
2021-10-10,37
2021-10-17,19
2021-10-24,94
2021-10-31,75
2021-11-07,76
2021-11-14,56
2021-11-21,0
2021-11-28,37
2021-12-05,0
2021-12-12,19
2021-12-19,20
2021-12-26,41
2022-01-02,0
2022-01-09,75
2022-01-16,0
2022-01-23,18
2022-01-30,47
2022-02-06,19
2022-02-13,36
2022-02-20,18
2022-02-27,18
2022-03-06,19
2022-03-13,36
2022-03-20,37
2022-03-27,55
2022-04-03,17
2022-04-10,54
