Category: All categories

Week,medical treatment: (Mexico)
2020-01-26,21
2020-02-02,41
2020-02-09,20
2020-02-16,39
2020-02-23,38
2020-03-01,0
2020-03-08,58
2020-03-15,100
2020-03-22,72
2020-03-29,18
2020-04-05,0
2020-04-12,40
2020-04-19,84
2020-04-26,53
2020-05-03,34
2020-05-10,35
2020-05-17,17
2020-05-24,50
2020-05-31,33
2020-06-07,54
2020-06-14,38
2020-06-21,38
2020-06-28,19
2020-07-05,41
2020-07-12,42
2020-07-19,43
2020-07-26,42
2020-08-02,42
2020-08-09,0
2020-08-16,20
2020-08-23,0
2020-08-30,36
2020-09-06,35
2020-09-13,18
2020-09-20,17
2020-09-27,0
2020-10-04,18
2020-10-11,55
2020-10-18,75
2020-10-25,37
2020-11-01,18
2020-11-08,54
2020-11-15,19
2020-11-22,18
2020-11-29,19
2020-12-06,38
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,86
2021-01-10,38
2021-01-17,77
2021-01-24,56
2021-01-31,38
2021-02-07,19
2021-02-14,38
2021-02-21,36
2021-02-28,74
2021-03-07,57
2021-03-14,37
2021-03-21,57
2021-03-28,46
2021-04-04,65
2021-04-11,0
2021-04-18,57
2021-04-25,38
2021-05-02,0
2021-05-09,19
2021-05-16,0
2021-05-23,76
2021-05-30,19
2021-06-06,0
2021-06-13,0
2021-06-20,20
2021-06-27,82
2021-07-04,0
2021-07-11,0
2021-07-18,68
2021-07-25,0
2021-08-01,0
2021-08-08,21
2021-08-15,21
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,22
2021-09-26,42
2021-10-03,0
2021-10-10,65
2021-10-17,84
2021-10-24,0
2021-10-31,23
2021-11-07,21
2021-11-14,21
2021-11-21,21
2021-11-28,63
2021-12-05,22
2021-12-12,23
2021-12-19,27
2021-12-26,54
2022-01-02,0
2022-01-09,21
2022-01-16,21
2022-01-23,20
2022-01-30,21
2022-02-06,87
2022-02-13,21
2022-02-20,21
2022-02-27,21
2022-03-06,0
2022-03-13,0
2022-03-20,22
2022-03-27,0
2022-04-03,18
2022-04-10,0
