Category: All categories

Week,medical treatment: (Netherlands)
2020-01-26,0
2020-02-02,79
2020-02-09,19
2020-02-16,59
2020-02-23,0
2020-03-01,58
2020-03-08,37
2020-03-15,56
2020-03-22,18
2020-03-29,35
2020-04-05,19
2020-04-12,19
2020-04-19,37
2020-04-26,36
2020-05-03,0
2020-05-10,18
2020-05-17,37
2020-05-24,35
2020-05-31,17
2020-06-07,0
2020-06-14,18
2020-06-21,37
2020-06-28,0
2020-07-05,37
2020-07-12,0
2020-07-19,40
2020-07-26,61
2020-08-02,21
2020-08-09,20
2020-08-16,38
2020-08-23,19
2020-08-30,38
2020-09-06,19
2020-09-13,20
2020-09-20,38
2020-09-27,38
2020-10-04,19
2020-10-11,0
2020-10-18,62
2020-10-25,20
2020-11-01,19
2020-11-08,41
2020-11-15,0
2020-11-22,59
2020-11-29,20
2020-12-06,0
2020-12-13,20
2020-12-20,22
2020-12-27,0
2021-01-03,39
2021-01-10,19
2021-01-17,19
2021-01-24,20
2021-01-31,20
2021-02-07,41
2021-02-14,20
2021-02-21,41
2021-02-28,39
2021-03-07,19
2021-03-14,0
2021-03-21,19
2021-03-28,20
2021-04-04,39
2021-04-11,0
2021-04-18,61
2021-04-25,21
2021-05-02,20
2021-05-09,20
2021-05-16,57
2021-05-23,20
2021-05-30,42
2021-06-06,83
2021-06-13,0
2021-06-20,20
2021-06-27,0
2021-07-04,20
2021-07-11,21
2021-07-18,23
2021-07-25,22
2021-08-01,23
2021-08-08,0
2021-08-15,0
2021-08-22,24
2021-08-29,0
2021-09-05,24
2021-09-12,0
2021-09-19,0
2021-09-26,22
2021-10-03,23
2021-10-10,23
2021-10-17,0
2021-10-24,23
2021-10-31,46
2021-11-07,23
2021-11-14,67
2021-11-21,0
2021-11-28,22
2021-12-05,45
2021-12-12,23
2021-12-19,0
2021-12-26,27
2022-01-02,0
2022-01-09,48
2022-01-16,48
2022-01-23,73
2022-01-30,74
2022-02-06,25
2022-02-13,0
2022-02-20,25
2022-02-27,0
2022-03-06,0
2022-03-13,49
2022-03-20,100
2022-03-27,0
2022-04-03,45
2022-04-10,50
