Category: All categories

Week,medical treatment: (Saudi Arabia)
2020-01-26,69
2020-02-02,68
2020-02-09,80
2020-02-16,40
2020-02-23,91
2020-03-01,26
2020-03-08,63
2020-03-15,65
2020-03-22,25
2020-03-29,48
2020-04-05,93
2020-04-12,92
2020-04-19,49
2020-04-26,38
2020-05-03,100
2020-05-10,73
2020-05-17,39
2020-05-24,40
2020-05-31,38
2020-06-07,50
2020-06-14,78
2020-06-21,39
2020-06-28,40
2020-07-05,26
2020-07-12,53
2020-07-19,54
2020-07-26,45
2020-08-02,59
2020-08-09,41
2020-08-16,13
2020-08-23,36
2020-08-30,11
2020-09-06,79
2020-09-13,71
2020-09-20,22
2020-09-27,83
2020-10-04,62
2020-10-11,63
2020-10-18,41
2020-10-25,62
2020-11-01,50
2020-11-08,86
2020-11-15,43
2020-11-22,63
2020-11-29,21
2020-12-06,11
2020-12-13,99
2020-12-20,34
2020-12-27,38
2021-01-03,55
2021-01-10,96
2021-01-17,46
2021-01-24,44
2021-01-31,74
2021-02-07,41
2021-02-14,64
2021-02-21,73
2021-02-28,21
2021-03-07,22
2021-03-14,64
2021-03-21,68
2021-03-28,22
2021-04-04,89
2021-04-11,58
2021-04-18,58
2021-04-25,35
2021-05-02,39
2021-05-09,74
2021-05-16,55
2021-05-23,66
2021-05-30,53
2021-06-06,13
2021-06-13,13
2021-06-20,66
2021-06-27,66
2021-07-04,52
2021-07-11,27
2021-07-18,80
2021-07-25,14
2021-08-01,13
2021-08-08,13
2021-08-15,52
2021-08-22,0
2021-08-29,12
2021-09-05,69
2021-09-12,34
2021-09-19,25
2021-09-26,56
2021-10-03,44
2021-10-10,59
2021-10-17,74
2021-10-24,22
2021-10-31,46
2021-11-07,36
2021-11-14,48
2021-11-21,37
2021-11-28,69
2021-12-05,25
2021-12-12,73
2021-12-19,49
2021-12-26,48
2022-01-02,23
2022-01-09,13
2022-01-16,24
2022-01-23,37
2022-01-30,0
2022-02-06,12
2022-02-13,49
2022-02-20,27
2022-02-27,38
2022-03-06,76
2022-03-13,27
2022-03-20,51
2022-03-27,48
2022-04-03,57
2022-04-10,23
