Category: All categories

Week,medical treatment: (United Kingdom)
2020-01-26,75
2020-02-02,66
2020-02-09,69
2020-02-16,64
2020-02-23,70
2020-03-01,62
2020-03-08,85
2020-03-15,54
2020-03-22,57
2020-03-29,42
2020-04-05,64
2020-04-12,43
2020-04-19,55
2020-04-26,42
2020-05-03,64
2020-05-10,46
2020-05-17,50
2020-05-24,47
2020-05-31,48
2020-06-07,52
2020-06-14,62
2020-06-21,54
2020-06-28,57
2020-07-05,59
2020-07-12,64
2020-07-19,72
2020-07-26,42
2020-08-02,50
2020-08-09,63
2020-08-16,72
2020-08-23,61
2020-08-30,61
2020-09-06,49
2020-09-13,70
2020-09-20,70
2020-09-27,68
2020-10-04,53
2020-10-11,67
2020-10-18,65
2020-10-25,64
2020-11-01,66
2020-11-08,65
2020-11-15,54
2020-11-22,71
2020-11-29,69
2020-12-06,67
2020-12-13,55
2020-12-20,54
2020-12-27,57
2021-01-03,84
2021-01-10,63
2021-01-17,66
2021-01-24,64
2021-01-31,70
2021-02-07,73
2021-02-14,74
2021-02-21,67
2021-02-28,74
2021-03-07,69
2021-03-14,66
2021-03-21,70
2021-03-28,72
2021-04-04,63
2021-04-11,70
2021-04-18,73
2021-04-25,62
2021-05-02,81
2021-05-09,72
2021-05-16,82
2021-05-23,71
2021-05-30,65
2021-06-06,75
2021-06-13,68
2021-06-20,55
2021-06-27,55
2021-07-04,71
2021-07-11,61
2021-07-18,71
2021-07-25,81
2021-08-01,92
2021-08-08,67
2021-08-15,70
2021-08-22,64
2021-08-29,60
2021-09-05,47
2021-09-12,69
2021-09-19,87
2021-09-26,76
2021-10-03,80
2021-10-10,79
2021-10-17,74
2021-10-24,56
2021-10-31,76
2021-11-07,76
2021-11-14,88
2021-11-21,83
2021-11-28,71
2021-12-05,74
2021-12-12,72
2021-12-19,62
2021-12-26,51
2022-01-02,79
2022-01-09,78
2022-01-16,71
2022-01-23,86
2022-01-30,77
2022-02-06,83
2022-02-13,73
2022-02-20,92
2022-02-27,83
2022-03-06,82
2022-03-13,82
2022-03-20,85
2022-03-27,87
2022-04-03,66
2022-04-10,100
