Country,Date,search_index
Brazil,2020-01-26,18.0
Brazil,2020-02-02,35.0
Brazil,2020-02-09,34.0
Brazil,2020-02-16,0.0
Brazil,2020-02-23,54.0
Brazil,2020-03-01,16.0
Brazil,2020-03-08,49.0
Brazil,2020-03-15,49.0
Brazil,2020-03-22,47.0
Brazil,2020-03-29,61.0
Brazil,2020-04-05,31.0
Brazil,2020-04-12,46.0
Brazil,2020-04-19,15.0
Brazil,2020-04-26,15.0
Brazil,2020-05-03,0.0
Brazil,2020-05-10,45.0
Brazil,2020-05-17,44.0
Brazil,2020-05-24,31.0
Brazil,2020-05-31,73.0
Brazil,2020-06-07,15.0
Brazil,2020-06-14,15.0
Brazil,2020-06-21,93.0
Brazil,2020-06-28,30.0
Brazil,2020-07-05,16.0
Brazil,2020-07-12,16.0
Brazil,2020-07-19,16.0
Brazil,2020-07-26,48.0
Brazil,2020-08-02,0.0
Brazil,2020-08-09,47.0
Brazil,2020-08-16,46.0
Brazil,2020-08-23,0.0
Brazil,2020-08-30,46.0
Brazil,2020-09-06,32.0
Brazil,2020-09-13,78.0
Brazil,2020-09-20,48.0
Brazil,2020-09-27,64.0
Brazil,2020-10-04,81.0
Brazil,2020-10-11,18.0
Brazil,2020-10-18,34.0
Brazil,2020-10-25,50.0
Brazil,2020-11-01,0.0
Brazil,2020-11-08,66.0
Brazil,2020-11-15,63.0
Brazil,2020-11-22,16.0
Brazil,2020-11-29,49.0
Brazil,2020-12-06,33.0
Brazil,2020-12-13,51.0
Brazil,2020-12-20,20.0
Brazil,2020-12-27,20.0
Brazil,2021-01-03,17.0
Brazil,2021-01-10,17.0
Brazil,2021-01-17,68.0
Brazil,2021-01-24,0.0
Brazil,2021-01-31,0.0
Brazil,2021-02-07,17.0
Brazil,2021-02-14,53.0
Brazil,2021-02-21,32.0
Brazil,2021-02-28,33.0
Brazil,2021-03-07,33.0
Brazil,2021-03-14,0.0
Brazil,2021-03-21,17.0
Brazil,2021-03-28,51.0
Brazil,2021-04-04,49.0
Brazil,2021-04-11,48.0
Brazil,2021-04-18,16.0
Brazil,2021-04-25,78.0
Brazil,2021-05-02,48.0
Brazil,2021-05-09,83.0
Brazil,2021-05-16,65.0
Brazil,2021-05-23,49.0
Brazil,2021-05-30,17.0
Brazil,2021-06-06,16.0
Brazil,2021-06-13,0.0
Brazil,2021-06-20,49.0
Brazil,2021-06-27,16.0
Brazil,2021-07-04,100.0
Brazil,2021-07-11,0.0
Brazil,2021-07-18,18.0
Brazil,2021-07-25,100.0
Brazil,2021-08-01,65.0
Brazil,2021-08-08,0.0
Brazil,2021-08-15,65.0
Brazil,2021-08-22,35.0
Brazil,2021-08-29,36.0
Brazil,2021-09-05,20.0
Brazil,2021-09-12,38.0
Brazil,2021-09-19,19.0
Brazil,2021-09-26,75.0
Brazil,2021-10-03,38.0
Brazil,2021-10-10,41.0
Brazil,2021-10-17,19.0
Brazil,2021-10-24,37.0
Brazil,2021-10-31,39.0
Brazil,2021-11-07,56.0
Brazil,2021-11-14,37.0
Brazil,2021-11-21,36.0
Brazil,2021-11-28,36.0
Brazil,2021-12-05,0.0
Brazil,2021-12-12,0.0
Brazil,2021-12-19,46.0
Brazil,2021-12-26,23.0
Brazil,2022-01-02,59.0
Brazil,2022-01-09,0.0
Brazil,2022-01-16,19.0
Brazil,2022-01-23,18.0
Brazil,2022-01-30,57.0
Brazil,2022-02-06,37.0
Brazil,2022-02-13,74.0
Brazil,2022-02-20,56.0
Brazil,2022-02-27,0.0
Brazil,2022-03-06,19.0
Brazil,2022-03-13,53.0
Brazil,2022-03-20,36.0
Brazil,2022-03-27,17.0
Brazil,2022-04-03,0.0
Brazil,2022-04-10,18.0
