Country,Date,search_index
France,2020-01-26,23.0
France,2020-02-02,24.0
France,2020-02-09,12.0
France,2020-02-16,24.0
France,2020-02-23,12.0
France,2020-03-01,0.0
France,2020-03-08,34.0
France,2020-03-15,33.0
France,2020-03-22,10.0
France,2020-03-29,11.0
France,2020-04-05,21.0
France,2020-04-12,11.0
France,2020-04-19,21.0
France,2020-04-26,31.0
France,2020-05-03,20.0
France,2020-05-10,11.0
France,2020-05-17,12.0
France,2020-05-24,11.0
France,2020-05-31,10.0
France,2020-06-07,11.0
France,2020-06-14,11.0
France,2020-06-21,0.0
France,2020-06-28,11.0
France,2020-07-05,0.0
France,2020-07-12,12.0
France,2020-07-19,25.0
France,2020-07-26,25.0
France,2020-08-02,25.0
France,2020-08-09,12.0
France,2020-08-16,25.0
France,2020-08-23,12.0
France,2020-08-30,12.0
France,2020-09-06,35.0
France,2020-09-13,12.0
France,2020-09-20,11.0
France,2020-09-27,24.0
France,2020-10-04,0.0
France,2020-10-11,0.0
France,2020-10-18,12.0
France,2020-10-25,0.0
France,2020-11-01,11.0
France,2020-11-08,0.0
France,2020-11-15,11.0
France,2020-11-22,0.0
France,2020-11-29,0.0
France,2020-12-06,0.0
France,2020-12-13,12.0
France,2020-12-20,13.0
France,2020-12-27,13.0
France,2021-01-03,24.0
France,2021-01-10,24.0
France,2021-01-17,0.0
France,2021-01-24,0.0
France,2021-01-31,0.0
France,2021-02-07,12.0
France,2021-02-14,12.0
France,2021-02-21,12.0
France,2021-02-28,25.0
France,2021-03-07,24.0
France,2021-03-14,22.0
France,2021-03-21,24.0
France,2021-03-28,12.0
France,2021-04-04,11.0
France,2021-04-11,12.0
France,2021-04-18,0.0
France,2021-04-25,11.0
France,2021-05-02,0.0
France,2021-05-09,0.0
France,2021-05-16,12.0
France,2021-05-23,0.0
France,2021-05-30,12.0
France,2021-06-06,12.0
France,2021-06-13,24.0
France,2021-06-20,0.0
France,2021-06-27,12.0
France,2021-07-04,25.0
France,2021-07-11,13.0
France,2021-07-18,0.0
France,2021-07-25,13.0
France,2021-08-01,13.0
France,2021-08-08,14.0
France,2021-08-15,13.0
France,2021-08-22,0.0
France,2021-08-29,26.0
France,2021-09-05,27.0
France,2021-09-12,0.0
France,2021-09-19,26.0
France,2021-09-26,39.0
France,2021-10-03,0.0
France,2021-10-10,41.0
France,2021-10-17,27.0
France,2021-10-24,27.0
France,2021-10-31,0.0
France,2021-11-07,27.0
France,2021-11-14,26.0
France,2021-11-21,38.0
France,2021-11-28,13.0
France,2021-12-05,0.0
France,2021-12-12,14.0
France,2021-12-19,16.0
France,2021-12-26,0.0
France,2022-01-02,0.0
France,2022-01-09,14.0
France,2022-01-16,14.0
France,2022-01-23,43.0
France,2022-01-30,0.0
France,2022-02-06,15.0
France,2022-02-13,15.0
France,2022-02-20,45.0
France,2022-02-27,30.0
France,2022-03-06,30.0
France,2022-03-13,15.0
France,2022-03-20,15.0
France,2022-03-27,100.0
France,2022-04-03,13.0
France,2022-04-10,15.0
