Country,Date,search_index
Japan,2020-01-26,26.0
Japan,2020-02-02,26.0
Japan,2020-02-09,13.0
Japan,2020-02-16,52.0
Japan,2020-02-23,26.0
Japan,2020-03-01,38.0
Japan,2020-03-08,61.0
Japan,2020-03-15,13.0
Japan,2020-03-22,62.0
Japan,2020-03-29,24.0
Japan,2020-04-05,12.0
Japan,2020-04-12,11.0
Japan,2020-04-19,45.0
Japan,2020-04-26,22.0
Japan,2020-05-03,0.0
Japan,2020-05-10,23.0
Japan,2020-05-17,34.0
Japan,2020-05-24,23.0
Japan,2020-05-31,69.0
Japan,2020-06-07,35.0
Japan,2020-06-14,36.0
Japan,2020-06-21,37.0
Japan,2020-06-28,36.0
Japan,2020-07-05,48.0
Japan,2020-07-12,37.0
Japan,2020-07-19,38.0
Japan,2020-07-26,13.0
Japan,2020-08-02,37.0
Japan,2020-08-09,50.0
Japan,2020-08-16,25.0
Japan,2020-08-23,38.0
Japan,2020-08-30,26.0
Japan,2020-09-06,0.0
Japan,2020-09-13,51.0
Japan,2020-09-20,13.0
Japan,2020-09-27,27.0
Japan,2020-10-04,54.0
Japan,2020-10-11,28.0
Japan,2020-10-18,0.0
Japan,2020-10-25,100.0
Japan,2020-11-01,56.0
Japan,2020-11-08,14.0
Japan,2020-11-15,41.0
Japan,2020-11-22,14.0
Japan,2020-11-29,14.0
Japan,2020-12-06,28.0
Japan,2020-12-13,14.0
Japan,2020-12-20,100.0
Japan,2020-12-27,27.0
Japan,2021-01-03,0.0
Japan,2021-01-10,41.0
Japan,2021-01-17,27.0
Japan,2021-01-24,41.0
Japan,2021-01-31,28.0
Japan,2021-02-07,54.0
Japan,2021-02-14,0.0
Japan,2021-02-21,14.0
Japan,2021-02-28,55.0
Japan,2021-03-07,0.0
Japan,2021-03-14,14.0
Japan,2021-03-21,60.0
Japan,2021-03-28,15.0
Japan,2021-04-04,30.0
Japan,2021-04-11,59.0
Japan,2021-04-18,45.0
Japan,2021-04-25,0.0
Japan,2021-05-02,29.0
Japan,2021-05-09,15.0
Japan,2021-05-16,14.0
Japan,2021-05-23,15.0
Japan,2021-05-30,0.0
Japan,2021-06-06,58.0
Japan,2021-06-13,29.0
Japan,2021-06-20,29.0
Japan,2021-06-27,29.0
Japan,2021-07-04,14.0
Japan,2021-07-11,58.0
Japan,2021-07-18,15.0
Japan,2021-07-25,28.0
Japan,2021-08-01,28.0
Japan,2021-08-08,27.0
Japan,2021-08-15,14.0
Japan,2021-08-22,16.0
Japan,2021-08-29,29.0
Japan,2021-09-05,29.0
Japan,2021-09-12,28.0
Japan,2021-09-19,0.0
Japan,2021-09-26,43.0
Japan,2021-10-03,30.0
Japan,2021-10-10,30.0
Japan,2021-10-17,15.0
Japan,2021-10-24,15.0
Japan,2021-10-31,74.0
Japan,2021-11-07,90.0
Japan,2021-11-14,44.0
Japan,2021-11-21,45.0
Japan,2021-11-28,15.0
Japan,2021-12-05,30.0
Japan,2021-12-12,74.0
Japan,2021-12-19,15.0
Japan,2021-12-26,15.0
Japan,2022-01-02,29.0
Japan,2022-01-09,42.0
Japan,2022-01-16,14.0
Japan,2022-01-23,27.0
Japan,2022-01-30,0.0
Japan,2022-02-06,14.0
Japan,2022-02-13,28.0
Japan,2022-02-20,0.0
Japan,2022-02-27,14.0
Japan,2022-03-06,28.0
Japan,2022-03-13,0.0
Japan,2022-03-20,28.0
Japan,2022-03-27,14.0
Japan,2022-04-03,37.0
Japan,2022-04-10,67.0
