Country,Date,search_index
Russia,2020-01-26,17.0
Russia,2020-02-02,35.0
Russia,2020-02-09,87.0
Russia,2020-02-16,52.0
Russia,2020-02-23,34.0
Russia,2020-03-01,17.0
Russia,2020-03-08,68.0
Russia,2020-03-15,0.0
Russia,2020-03-22,17.0
Russia,2020-03-29,49.0
Russia,2020-04-05,30.0
Russia,2020-04-12,29.0
Russia,2020-04-19,76.0
Russia,2020-04-26,65.0
Russia,2020-05-03,53.0
Russia,2020-05-10,16.0
Russia,2020-05-17,100.0
Russia,2020-05-24,90.0
Russia,2020-05-31,53.0
Russia,2020-06-07,76.0
Russia,2020-06-14,38.0
Russia,2020-06-21,19.0
Russia,2020-06-28,0.0
Russia,2020-07-05,20.0
Russia,2020-07-12,20.0
Russia,2020-07-19,61.0
Russia,2020-07-26,0.0
Russia,2020-08-02,0.0
Russia,2020-08-09,0.0
Russia,2020-08-16,41.0
Russia,2020-08-23,0.0
Russia,2020-08-30,20.0
Russia,2020-09-06,56.0
Russia,2020-09-13,19.0
Russia,2020-09-20,19.0
Russia,2020-09-27,19.0
Russia,2020-10-04,57.0
Russia,2020-10-11,39.0
Russia,2020-10-18,19.0
Russia,2020-10-25,0.0
Russia,2020-11-01,0.0
Russia,2020-11-08,38.0
Russia,2020-11-15,19.0
Russia,2020-11-22,19.0
Russia,2020-11-29,19.0
Russia,2020-12-06,0.0
Russia,2020-12-13,19.0
Russia,2020-12-20,0.0
Russia,2020-12-27,22.0
Russia,2021-01-03,0.0
Russia,2021-01-10,20.0
Russia,2021-01-17,58.0
Russia,2021-01-24,19.0
Russia,2021-01-31,0.0
Russia,2021-02-07,19.0
Russia,2021-02-14,38.0
Russia,2021-02-21,40.0
Russia,2021-02-28,20.0
Russia,2021-03-07,20.0
Russia,2021-03-14,19.0
Russia,2021-03-21,82.0
Russia,2021-03-28,20.0
Russia,2021-04-04,19.0
Russia,2021-04-11,0.0
Russia,2021-04-18,39.0
Russia,2021-04-25,39.0
Russia,2021-05-02,43.0
Russia,2021-05-09,62.0
Russia,2021-05-16,20.0
Russia,2021-05-23,62.0
Russia,2021-05-30,21.0
Russia,2021-06-06,42.0
Russia,2021-06-13,22.0
Russia,2021-06-20,43.0
Russia,2021-06-27,22.0
Russia,2021-07-04,0.0
Russia,2021-07-11,22.0
Russia,2021-07-18,69.0
Russia,2021-07-25,22.0
Russia,2021-08-01,0.0
Russia,2021-08-08,23.0
Russia,2021-08-15,44.0
Russia,2021-08-22,0.0
Russia,2021-08-29,23.0
Russia,2021-09-05,0.0
Russia,2021-09-12,22.0
Russia,2021-09-19,22.0
Russia,2021-09-26,0.0
Russia,2021-10-03,91.0
Russia,2021-10-10,88.0
Russia,2021-10-17,43.0
Russia,2021-10-24,22.0
Russia,2021-10-31,48.0
Russia,2021-11-07,0.0
Russia,2021-11-14,21.0
Russia,2021-11-21,63.0
Russia,2021-11-28,40.0
Russia,2021-12-05,61.0
Russia,2021-12-12,61.0
Russia,2021-12-19,42.0
Russia,2021-12-26,24.0
Russia,2022-01-02,0.0
Russia,2022-01-09,0.0
Russia,2022-01-16,41.0
Russia,2022-01-23,39.0
Russia,2022-01-30,41.0
Russia,2022-02-06,62.0
Russia,2022-02-13,61.0
Russia,2022-02-20,0.0
Russia,2022-02-27,78.0
Russia,2022-03-06,43.0
Russia,2022-03-13,40.0
Russia,2022-03-20,62.0
Russia,2022-03-27,39.0
Russia,2022-04-03,94.0
Russia,2022-04-10,40.0
