Country,Date,search_index
Singapore,2020-01-26,20.0
Singapore,2020-02-02,55.0
Singapore,2020-02-09,37.0
Singapore,2020-02-16,37.0
Singapore,2020-02-23,30.0
Singapore,2020-03-01,23.0
Singapore,2020-03-08,48.0
Singapore,2020-03-15,65.0
Singapore,2020-03-22,57.0
Singapore,2020-03-29,50.0
Singapore,2020-04-05,17.0
Singapore,2020-04-12,21.0
Singapore,2020-04-19,36.0
Singapore,2020-04-26,54.0
Singapore,2020-05-03,54.0
Singapore,2020-05-10,33.0
Singapore,2020-05-17,45.0
Singapore,2020-05-24,51.0
Singapore,2020-05-31,44.0
Singapore,2020-06-07,16.0
Singapore,2020-06-14,39.0
Singapore,2020-06-21,51.0
Singapore,2020-06-28,34.0
Singapore,2020-07-05,35.0
Singapore,2020-07-12,47.0
Singapore,2020-07-19,47.0
Singapore,2020-07-26,29.0
Singapore,2020-08-02,46.0
Singapore,2020-08-09,12.0
Singapore,2020-08-16,41.0
Singapore,2020-08-23,29.0
Singapore,2020-08-30,58.0
Singapore,2020-09-06,41.0
Singapore,2020-09-13,18.0
Singapore,2020-09-20,30.0
Singapore,2020-09-27,25.0
Singapore,2020-10-04,45.0
Singapore,2020-10-11,34.0
Singapore,2020-10-18,20.0
Singapore,2020-10-25,13.0
Singapore,2020-11-01,73.0
Singapore,2020-11-08,40.0
Singapore,2020-11-15,27.0
Singapore,2020-11-22,40.0
Singapore,2020-11-29,33.0
Singapore,2020-12-06,40.0
Singapore,2020-12-13,33.0
Singapore,2020-12-20,35.0
Singapore,2020-12-27,14.0
Singapore,2021-01-03,47.0
Singapore,2021-01-10,27.0
Singapore,2021-01-17,68.0
Singapore,2021-01-24,34.0
Singapore,2021-01-31,48.0
Singapore,2021-02-07,29.0
Singapore,2021-02-14,41.0
Singapore,2021-02-21,27.0
Singapore,2021-02-28,34.0
Singapore,2021-03-07,62.0
Singapore,2021-03-14,13.0
Singapore,2021-03-21,14.0
Singapore,2021-03-28,55.0
Singapore,2021-04-04,34.0
Singapore,2021-04-11,74.0
Singapore,2021-04-18,67.0
Singapore,2021-04-25,47.0
Singapore,2021-05-02,40.0
Singapore,2021-05-09,42.0
Singapore,2021-05-16,44.0
Singapore,2021-05-23,58.0
Singapore,2021-05-30,39.0
Singapore,2021-06-06,27.0
Singapore,2021-06-13,20.0
Singapore,2021-06-20,67.0
Singapore,2021-06-27,33.0
Singapore,2021-07-04,40.0
Singapore,2021-07-11,76.0
Singapore,2021-07-18,43.0
Singapore,2021-07-25,13.0
Singapore,2021-08-01,34.0
Singapore,2021-08-08,55.0
Singapore,2021-08-15,62.0
Singapore,2021-08-22,46.0
Singapore,2021-08-29,30.0
Singapore,2021-09-05,45.0
Singapore,2021-09-12,30.0
Singapore,2021-09-19,52.0
Singapore,2021-09-26,22.0
Singapore,2021-10-03,37.0
Singapore,2021-10-10,23.0
Singapore,2021-10-17,22.0
Singapore,2021-10-24,52.0
Singapore,2021-10-31,45.0
Singapore,2021-11-07,37.0
Singapore,2021-11-14,53.0
Singapore,2021-11-21,37.0
Singapore,2021-11-28,22.0
Singapore,2021-12-05,15.0
Singapore,2021-12-12,24.0
Singapore,2021-12-19,64.0
Singapore,2021-12-26,24.0
Singapore,2022-01-02,32.0
Singapore,2022-01-09,38.0
Singapore,2022-01-16,47.0
Singapore,2022-01-23,47.0
Singapore,2022-01-30,17.0
Singapore,2022-02-06,87.0
Singapore,2022-02-13,55.0
Singapore,2022-02-20,31.0
Singapore,2022-02-27,15.0
Singapore,2022-03-06,100.0
Singapore,2022-03-13,38.0
Singapore,2022-03-20,38.0
Singapore,2022-03-27,51.0
Singapore,2022-04-03,48.0
Singapore,2022-04-10,44.0
