Country,Date,search_index
United Kingdom,2020-01-26,75.0
United Kingdom,2020-02-02,66.0
United Kingdom,2020-02-09,69.0
United Kingdom,2020-02-16,64.0
United Kingdom,2020-02-23,70.0
United Kingdom,2020-03-01,62.0
United Kingdom,2020-03-08,85.0
United Kingdom,2020-03-15,54.0
United Kingdom,2020-03-22,57.0
United Kingdom,2020-03-29,42.0
United Kingdom,2020-04-05,64.0
United Kingdom,2020-04-12,43.0
United Kingdom,2020-04-19,55.0
United Kingdom,2020-04-26,42.0
United Kingdom,2020-05-03,64.0
United Kingdom,2020-05-10,46.0
United Kingdom,2020-05-17,50.0
United Kingdom,2020-05-24,47.0
United Kingdom,2020-05-31,48.0
United Kingdom,2020-06-07,52.0
United Kingdom,2020-06-14,62.0
United Kingdom,2020-06-21,54.0
United Kingdom,2020-06-28,57.0
United Kingdom,2020-07-05,59.0
United Kingdom,2020-07-12,64.0
United Kingdom,2020-07-19,72.0
United Kingdom,2020-07-26,42.0
United Kingdom,2020-08-02,50.0
United Kingdom,2020-08-09,63.0
United Kingdom,2020-08-16,72.0
United Kingdom,2020-08-23,61.0
United Kingdom,2020-08-30,61.0
United Kingdom,2020-09-06,49.0
United Kingdom,2020-09-13,70.0
United Kingdom,2020-09-20,70.0
United Kingdom,2020-09-27,68.0
United Kingdom,2020-10-04,53.0
United Kingdom,2020-10-11,67.0
United Kingdom,2020-10-18,65.0
United Kingdom,2020-10-25,64.0
United Kingdom,2020-11-01,66.0
United Kingdom,2020-11-08,65.0
United Kingdom,2020-11-15,54.0
United Kingdom,2020-11-22,71.0
United Kingdom,2020-11-29,69.0
United Kingdom,2020-12-06,67.0
United Kingdom,2020-12-13,55.0
United Kingdom,2020-12-20,54.0
United Kingdom,2020-12-27,57.0
United Kingdom,2021-01-03,84.0
United Kingdom,2021-01-10,63.0
United Kingdom,2021-01-17,66.0
United Kingdom,2021-01-24,64.0
United Kingdom,2021-01-31,70.0
United Kingdom,2021-02-07,73.0
United Kingdom,2021-02-14,74.0
United Kingdom,2021-02-21,67.0
United Kingdom,2021-02-28,74.0
United Kingdom,2021-03-07,69.0
United Kingdom,2021-03-14,66.0
United Kingdom,2021-03-21,70.0
United Kingdom,2021-03-28,72.0
United Kingdom,2021-04-04,63.0
United Kingdom,2021-04-11,70.0
United Kingdom,2021-04-18,73.0
United Kingdom,2021-04-25,62.0
United Kingdom,2021-05-02,81.0
United Kingdom,2021-05-09,72.0
United Kingdom,2021-05-16,82.0
United Kingdom,2021-05-23,71.0
United Kingdom,2021-05-30,65.0
United Kingdom,2021-06-06,75.0
United Kingdom,2021-06-13,68.0
United Kingdom,2021-06-20,55.0
United Kingdom,2021-06-27,55.0
United Kingdom,2021-07-04,71.0
United Kingdom,2021-07-11,61.0
United Kingdom,2021-07-18,71.0
United Kingdom,2021-07-25,81.0
United Kingdom,2021-08-01,92.0
United Kingdom,2021-08-08,67.0
United Kingdom,2021-08-15,70.0
United Kingdom,2021-08-22,64.0
United Kingdom,2021-08-29,60.0
United Kingdom,2021-09-05,47.0
United Kingdom,2021-09-12,69.0
United Kingdom,2021-09-19,87.0
United Kingdom,2021-09-26,76.0
United Kingdom,2021-10-03,80.0
United Kingdom,2021-10-10,79.0
United Kingdom,2021-10-17,74.0
United Kingdom,2021-10-24,56.0
United Kingdom,2021-10-31,76.0
United Kingdom,2021-11-07,76.0
United Kingdom,2021-11-14,88.0
United Kingdom,2021-11-21,83.0
United Kingdom,2021-11-28,71.0
United Kingdom,2021-12-05,74.0
United Kingdom,2021-12-12,72.0
United Kingdom,2021-12-19,62.0
United Kingdom,2021-12-26,51.0
United Kingdom,2022-01-02,79.0
United Kingdom,2022-01-09,78.0
United Kingdom,2022-01-16,71.0
United Kingdom,2022-01-23,86.0
United Kingdom,2022-01-30,77.0
United Kingdom,2022-02-06,83.0
United Kingdom,2022-02-13,73.0
United Kingdom,2022-02-20,92.0
United Kingdom,2022-02-27,83.0
United Kingdom,2022-03-06,82.0
United Kingdom,2022-03-13,82.0
United Kingdom,2022-03-20,85.0
United Kingdom,2022-03-27,87.0
United Kingdom,2022-04-03,66.0
United Kingdom,2022-04-10,100.0
