Country,Date,search_index
United States,2020-01-26,91.0
United States,2020-02-02,89.0
United States,2020-02-09,92.0
United States,2020-02-16,88.0
United States,2020-02-23,97.0
United States,2020-03-01,89.0
United States,2020-03-08,79.0
United States,2020-03-15,73.0
United States,2020-03-22,75.0
United States,2020-03-29,78.0
United States,2020-04-05,74.0
United States,2020-04-12,75.0
United States,2020-04-19,82.0
United States,2020-04-26,82.0
United States,2020-05-03,80.0
United States,2020-05-10,73.0
United States,2020-05-17,70.0
United States,2020-05-24,56.0
United States,2020-05-31,61.0
United States,2020-06-07,70.0
United States,2020-06-14,73.0
United States,2020-06-21,73.0
United States,2020-06-28,72.0
United States,2020-07-05,76.0
United States,2020-07-12,96.0
United States,2020-07-19,75.0
United States,2020-07-26,84.0
United States,2020-08-02,65.0
United States,2020-08-09,75.0
United States,2020-08-16,70.0
United States,2020-08-23,72.0
United States,2020-08-30,77.0
United States,2020-09-06,90.0
United States,2020-09-13,89.0
United States,2020-09-20,87.0
United States,2020-09-27,95.0
United States,2020-10-04,100.0
United States,2020-10-11,84.0
United States,2020-10-18,86.0
United States,2020-10-25,89.0
United States,2020-11-01,69.0
United States,2020-11-08,81.0
United States,2020-11-15,82.0
United States,2020-11-22,65.0
United States,2020-11-29,86.0
United States,2020-12-06,91.0
United States,2020-12-13,71.0
United States,2020-12-20,43.0
United States,2020-12-27,51.0
United States,2021-01-03,67.0
United States,2021-01-10,73.0
United States,2021-01-17,75.0
United States,2021-01-24,76.0
United States,2021-01-31,92.0
United States,2021-02-07,81.0
United States,2021-02-14,74.0
United States,2021-02-21,90.0
United States,2021-02-28,84.0
United States,2021-03-07,87.0
United States,2021-03-14,79.0
United States,2021-03-21,84.0
United States,2021-03-28,86.0
United States,2021-04-04,84.0
United States,2021-04-11,90.0
United States,2021-04-18,86.0
United States,2021-04-25,86.0
United States,2021-05-02,85.0
United States,2021-05-09,85.0
United States,2021-05-16,83.0
United States,2021-05-23,77.0
United States,2021-05-30,67.0
United States,2021-06-06,82.0
United States,2021-06-13,82.0
United States,2021-06-20,75.0
United States,2021-06-27,75.0
United States,2021-07-04,61.0
United States,2021-07-11,84.0
United States,2021-07-18,79.0
United States,2021-07-25,73.0
United States,2021-08-01,74.0
United States,2021-08-08,79.0
United States,2021-08-15,79.0
United States,2021-08-22,79.0
United States,2021-08-29,85.0
United States,2021-09-05,90.0
United States,2021-09-12,93.0
United States,2021-09-19,87.0
United States,2021-09-26,90.0
United States,2021-10-03,91.0
United States,2021-10-10,84.0
United States,2021-10-17,92.0
United States,2021-10-24,91.0
United States,2021-10-31,94.0
United States,2021-11-07,97.0
United States,2021-11-14,99.0
United States,2021-11-21,74.0
United States,2021-11-28,94.0
United States,2021-12-05,95.0
United States,2021-12-12,81.0
United States,2021-12-19,61.0
United States,2021-12-26,59.0
United States,2022-01-02,80.0
United States,2022-01-09,89.0
United States,2022-01-16,91.0
United States,2022-01-23,90.0
United States,2022-01-30,91.0
United States,2022-02-06,92.0
United States,2022-02-13,95.0
United States,2022-02-20,81.0
United States,2022-02-27,88.0
United States,2022-03-06,91.0
United States,2022-03-13,96.0
United States,2022-03-20,90.0
United States,2022-03-27,82.0
United States,2022-04-03,91.0
United States,2022-04-10,85.0
