Category: All categories

Week,social distance: (Italy)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,8
2020-03-01,0
2020-03-08,16
2020-03-15,73
2020-03-22,68
2020-03-29,70
2020-04-05,33
2020-04-12,65
2020-04-19,95
2020-04-26,95
2020-05-03,41
2020-05-10,64
2020-05-17,100
2020-05-24,50
2020-05-31,8
2020-06-07,33
2020-06-14,0
2020-06-21,45
2020-06-28,0
2020-07-05,37
2020-07-12,9
2020-07-19,9
2020-07-26,38
2020-08-02,10
2020-08-09,21
2020-08-16,10
2020-08-23,9
2020-08-30,9
2020-09-06,36
2020-09-13,36
2020-09-20,17
2020-09-27,55
2020-10-04,18
2020-10-11,66
2020-10-18,74
2020-10-25,73
2020-11-01,17
2020-11-08,35
2020-11-15,18
2020-11-22,18
2020-11-29,60
2020-12-06,18
2020-12-13,37
2020-12-20,0
2020-12-27,0
2021-01-03,18
2021-01-10,36
2021-01-17,9
2021-01-24,9
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,19
2021-02-28,18
2021-03-07,18
2021-03-14,8
2021-03-21,0
2021-03-28,19
2021-04-04,19
2021-04-11,0
2021-04-18,9
2021-04-25,9
2021-05-02,19
2021-05-09,9
2021-05-16,0
2021-05-23,19
2021-05-30,10
2021-06-06,28
2021-06-13,0
2021-06-20,41
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,11
2021-10-31,11
2021-11-07,0
2021-11-14,0
2021-11-21,11
2021-11-28,0
2021-12-05,11
2021-12-12,0
2021-12-19,15
2021-12-26,0
2022-01-02,0
2022-01-09,12
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,13
2022-02-13,0
2022-02-20,0
2022-02-27,13
2022-03-06,0
2022-03-13,13
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,13
