Category: All categories

Week,social distance: (Mexico)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,8
2020-02-23,0
2020-03-01,0
2020-03-08,8
2020-03-15,100
2020-03-22,38
2020-03-29,83
2020-04-05,52
2020-04-12,17
2020-04-19,14
2020-04-26,22
2020-05-03,29
2020-05-10,7
2020-05-17,36
2020-05-24,7
2020-05-31,21
2020-06-07,15
2020-06-14,24
2020-06-21,24
2020-06-28,24
2020-07-05,0
2020-07-12,18
2020-07-19,9
2020-07-26,0
2020-08-02,9
2020-08-09,8
2020-08-16,16
2020-08-23,15
2020-08-30,7
2020-09-06,29
2020-09-13,15
2020-09-20,21
2020-09-27,0
2020-10-04,0
2020-10-11,23
2020-10-18,8
2020-10-25,15
2020-11-01,23
2020-11-08,7
2020-11-15,0
2020-11-22,8
2020-11-29,16
2020-12-06,16
2020-12-13,0
2020-12-20,10
2020-12-27,10
2021-01-03,0
2021-01-10,0
2021-01-17,16
2021-01-24,8
2021-01-31,0
2021-02-07,23
2021-02-14,0
2021-02-21,0
2021-02-28,8
2021-03-07,0
2021-03-14,8
2021-03-21,16
2021-03-28,0
2021-04-04,0
2021-04-11,8
2021-04-18,8
2021-04-25,0
2021-05-02,8
2021-05-09,8
2021-05-16,8
2021-05-23,16
2021-05-30,8
2021-06-06,8
2021-06-13,8
2021-06-20,0
2021-06-27,0
2021-07-04,9
2021-07-11,0
2021-07-18,9
2021-07-25,9
2021-08-01,0
2021-08-08,0
2021-08-15,9
2021-08-22,0
2021-08-29,9
2021-09-05,18
2021-09-12,9
2021-09-19,18
2021-09-26,17
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,18
2021-10-31,0
2021-11-07,9
2021-11-14,0
2021-11-21,43
2021-11-28,9
2021-12-05,9
2021-12-12,10
2021-12-19,11
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,8
2022-01-30,0
2022-02-06,9
2022-02-13,9
2022-02-20,26
2022-02-27,9
2022-03-06,9
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
