Category: All categories

Week,social distance: (India)
2020-01-26,4
2020-02-02,3
2020-02-09,6
2020-02-16,4
2020-02-23,6
2020-03-01,3
2020-03-08,6
2020-03-15,60
2020-03-22,100
2020-03-29,81
2020-04-05,65
2020-04-12,61
2020-04-19,70
2020-04-26,91
2020-05-03,67
2020-05-10,59
2020-05-17,57
2020-05-24,52
2020-05-31,53
2020-06-07,36
2020-06-14,37
2020-06-21,26
2020-06-28,28
2020-07-05,29
2020-07-12,29
2020-07-19,27
2020-07-26,22
2020-08-02,19
2020-08-09,19
2020-08-16,20
2020-08-23,15
2020-08-30,22
2020-09-06,16
2020-09-13,22
2020-09-20,14
2020-09-27,14
2020-10-04,17
2020-10-11,20
2020-10-18,22
2020-10-25,18
2020-11-01,15
2020-11-08,15
2020-11-15,11
2020-11-22,17
2020-11-29,17
2020-12-06,12
2020-12-13,14
2020-12-20,19
2020-12-27,12
2021-01-03,13
2021-01-10,12
2021-01-17,15
2021-01-24,15
2021-01-31,12
2021-02-07,12
2021-02-14,10
2021-02-21,12
2021-02-28,11
2021-03-07,12
2021-03-14,15
2021-03-21,16
2021-03-28,14
2021-04-04,16
2021-04-11,14
2021-04-18,15
2021-04-25,24
2021-05-02,19
2021-05-09,18
2021-05-16,22
2021-05-23,15
2021-05-30,15
2021-06-06,15
2021-06-13,12
2021-06-20,16
2021-06-27,14
2021-07-04,11
2021-07-11,12
2021-07-18,9
2021-07-25,15
2021-08-01,15
2021-08-08,13
2021-08-15,10
2021-08-22,16
2021-08-29,14
2021-09-05,10
2021-09-12,18
2021-09-19,9
2021-09-26,11
2021-10-03,12
2021-10-10,14
2021-10-17,12
2021-10-24,11
2021-10-31,12
2021-11-07,6
2021-11-14,9
2021-11-21,11
2021-11-28,10
2021-12-05,9
2021-12-12,11
2021-12-19,10
2021-12-26,11
2022-01-02,12
2022-01-09,29
2022-01-16,9
2022-01-23,9
2022-01-30,9
2022-02-06,7
2022-02-13,10
2022-02-20,9
2022-02-27,9
2022-03-06,10
2022-03-13,8
2022-03-20,10
2022-03-27,7
2022-04-03,9
2022-04-10,7
