Country,Date,search_index
United Kingdom,2020-01-26,1.0
United Kingdom,2020-02-02,2.0
United Kingdom,2020-02-09,2.0
United Kingdom,2020-02-16,1.0
United Kingdom,2020-02-23,2.0
United Kingdom,2020-03-01,3.0
United Kingdom,2020-03-08,9.0
United Kingdom,2020-03-15,100.0
United Kingdom,2020-03-22,90.0
United Kingdom,2020-03-29,33.0
United Kingdom,2020-04-05,29.0
United Kingdom,2020-04-12,25.0
United Kingdom,2020-04-19,28.0
United Kingdom,2020-04-26,29.0
United Kingdom,2020-05-03,30.0
United Kingdom,2020-05-10,51.0
United Kingdom,2020-05-17,42.0
United Kingdom,2020-05-24,48.0
United Kingdom,2020-05-31,44.0
United Kingdom,2020-06-07,40.0
United Kingdom,2020-06-14,36.0
United Kingdom,2020-06-21,31.0
United Kingdom,2020-06-28,31.0
United Kingdom,2020-07-05,29.0
United Kingdom,2020-07-12,26.0
United Kingdom,2020-07-19,20.0
United Kingdom,2020-07-26,19.0
United Kingdom,2020-08-02,18.0
United Kingdom,2020-08-09,18.0
United Kingdom,2020-08-16,18.0
United Kingdom,2020-08-23,16.0
United Kingdom,2020-08-30,18.0
United Kingdom,2020-09-06,19.0
United Kingdom,2020-09-13,18.0
United Kingdom,2020-09-20,14.0
United Kingdom,2020-09-27,10.0
United Kingdom,2020-10-04,12.0
United Kingdom,2020-10-11,12.0
United Kingdom,2020-10-18,12.0
United Kingdom,2020-10-25,12.0
United Kingdom,2020-11-01,8.0
United Kingdom,2020-11-08,9.0
United Kingdom,2020-11-15,8.0
United Kingdom,2020-11-22,6.0
United Kingdom,2020-11-29,9.0
United Kingdom,2020-12-06,5.0
United Kingdom,2020-12-13,8.0
United Kingdom,2020-12-20,6.0
United Kingdom,2020-12-27,8.0
United Kingdom,2021-01-03,6.0
United Kingdom,2021-01-10,8.0
United Kingdom,2021-01-17,8.0
United Kingdom,2021-01-24,4.0
United Kingdom,2021-01-31,6.0
United Kingdom,2021-02-07,4.0
United Kingdom,2021-02-14,5.0
United Kingdom,2021-02-21,7.0
United Kingdom,2021-02-28,4.0
United Kingdom,2021-03-07,4.0
United Kingdom,2021-03-14,5.0
United Kingdom,2021-03-21,6.0
United Kingdom,2021-03-28,7.0
United Kingdom,2021-04-04,4.0
United Kingdom,2021-04-11,7.0
United Kingdom,2021-04-18,6.0
United Kingdom,2021-04-25,5.0
United Kingdom,2021-05-02,5.0
United Kingdom,2021-05-09,6.0
United Kingdom,2021-05-16,8.0
United Kingdom,2021-05-23,5.0
United Kingdom,2021-05-30,5.0
United Kingdom,2021-06-06,4.0
United Kingdom,2021-06-13,8.0
United Kingdom,2021-06-20,6.0
United Kingdom,2021-06-27,4.0
United Kingdom,2021-07-04,6.0
United Kingdom,2021-07-11,4.0
United Kingdom,2021-07-18,4.0
United Kingdom,2021-07-25,3.0
United Kingdom,2021-08-01,3.0
United Kingdom,2021-08-08,3.0
United Kingdom,2021-08-15,3.0
United Kingdom,2021-08-22,4.0
United Kingdom,2021-08-29,3.0
United Kingdom,2021-09-05,3.0
United Kingdom,2021-09-12,3.0
United Kingdom,2021-09-19,3.0
United Kingdom,2021-09-26,2.0
United Kingdom,2021-10-03,2.0
United Kingdom,2021-10-10,2.0
United Kingdom,2021-10-17,2.0
United Kingdom,2021-10-24,2.0
United Kingdom,2021-10-31,2.0
United Kingdom,2021-11-07,2.0
United Kingdom,2021-11-14,2.0
United Kingdom,2021-11-21,2.0
United Kingdom,2021-11-28,2.0
United Kingdom,2021-12-05,4.0
United Kingdom,2021-12-12,5.0
United Kingdom,2021-12-19,2.0
United Kingdom,2021-12-26,2.0
United Kingdom,2022-01-02,2.0
United Kingdom,2022-01-09,3.0
United Kingdom,2022-01-16,2.0
United Kingdom,2022-01-23,3.0
United Kingdom,2022-01-30,2.0
United Kingdom,2022-02-06,1.0
United Kingdom,2022-02-13,1.0
United Kingdom,2022-02-20,2.0
United Kingdom,2022-02-27,2.0
United Kingdom,2022-03-06,1.0
United Kingdom,2022-03-13,1.0
United Kingdom,2022-03-20,1.0
United Kingdom,2022-03-27,2.0
United Kingdom,2022-04-03,1.0
United Kingdom,2022-04-10,1.0
