Country,Date,search_index
World,2020-01-26,1.0
World,2020-02-02,1.0
World,2020-02-09,2.0
World,2020-02-16,1.0
World,2020-02-23,1.0
World,2020-03-01,2.0
World,2020-03-08,18.0
World,2020-03-15,100.0
World,2020-03-22,88.0
World,2020-03-29,52.0
World,2020-04-05,40.0
World,2020-04-12,31.0
World,2020-04-19,27.0
World,2020-04-26,28.0
World,2020-05-03,24.0
World,2020-05-10,23.0
World,2020-05-17,23.0
World,2020-05-24,22.0
World,2020-05-31,18.0
World,2020-06-07,17.0
World,2020-06-14,15.0
World,2020-06-21,13.0
World,2020-06-28,13.0
World,2020-07-05,12.0
World,2020-07-12,12.0
World,2020-07-19,12.0
World,2020-07-26,10.0
World,2020-08-02,10.0
World,2020-08-09,10.0
World,2020-08-16,11.0
World,2020-08-23,10.0
World,2020-08-30,10.0
World,2020-09-06,10.0
World,2020-09-13,9.0
World,2020-09-20,9.0
World,2020-09-27,8.0
World,2020-10-04,8.0
World,2020-10-11,9.0
World,2020-10-18,10.0
World,2020-10-25,8.0
World,2020-11-01,6.0
World,2020-11-08,7.0
World,2020-11-15,6.0
World,2020-11-22,6.0
World,2020-11-29,7.0
World,2020-12-06,6.0
World,2020-12-13,6.0
World,2020-12-20,5.0
World,2020-12-27,5.0
World,2021-01-03,5.0
World,2021-01-10,5.0
World,2021-01-17,5.0
World,2021-01-24,4.0
World,2021-01-31,5.0
World,2021-02-07,4.0
World,2021-02-14,4.0
World,2021-02-21,5.0
World,2021-02-28,4.0
World,2021-03-07,4.0
World,2021-03-14,5.0
World,2021-03-21,4.0
World,2021-03-28,4.0
World,2021-04-04,4.0
World,2021-04-11,4.0
World,2021-04-18,4.0
World,2021-04-25,5.0
World,2021-05-02,4.0
World,2021-05-09,5.0
World,2021-05-16,5.0
World,2021-05-23,4.0
World,2021-05-30,4.0
World,2021-06-06,4.0
World,2021-06-13,4.0
World,2021-06-20,4.0
World,2021-06-27,3.0
World,2021-07-04,3.0
World,2021-07-11,3.0
World,2021-07-18,3.0
World,2021-07-25,3.0
World,2021-08-01,3.0
World,2021-08-08,3.0
World,2021-08-15,3.0
World,2021-08-22,4.0
World,2021-08-29,3.0
World,2021-09-05,3.0
World,2021-09-12,4.0
World,2021-09-19,4.0
World,2021-09-26,3.0
World,2021-10-03,3.0
World,2021-10-10,3.0
World,2021-10-17,3.0
World,2021-10-24,3.0
World,2021-10-31,3.0
World,2021-11-07,3.0
World,2021-11-14,3.0
World,2021-11-21,3.0
World,2021-11-28,3.0
World,2021-12-05,3.0
World,2021-12-12,3.0
World,2021-12-19,2.0
World,2021-12-26,2.0
World,2022-01-02,3.0
World,2022-01-09,4.0
World,2022-01-16,3.0
World,2022-01-23,3.0
World,2022-01-30,3.0
World,2022-02-06,2.0
World,2022-02-13,3.0
World,2022-02-20,3.0
World,2022-02-27,3.0
World,2022-03-06,3.0
World,2022-03-13,2.0
World,2022-03-20,2.0
World,2022-03-27,2.0
World,2022-04-03,3.0
World,2022-04-10,2.0
