Category: All categories

Week,Travel: (Australia)
2020-01-26,51
2020-02-02,52
2020-02-09,49
2020-02-16,47
2020-02-23,72
2020-03-01,80
2020-03-08,100
2020-03-15,95
2020-03-22,49
2020-03-29,29
2020-04-05,31
2020-04-12,27
2020-04-19,25
2020-04-26,26
2020-05-03,31
2020-05-10,40
2020-05-17,37
2020-05-24,35
2020-05-31,31
2020-06-07,29
2020-06-14,31
2020-06-21,31
2020-06-28,30
2020-07-05,31
2020-07-12,25
2020-07-19,26
2020-07-26,26
2020-08-02,28
2020-08-09,25
2020-08-16,25
2020-08-23,25
2020-08-30,24
2020-09-06,26
2020-09-13,26
2020-09-20,25
2020-09-27,31
2020-10-04,26
2020-10-11,28
2020-10-18,28
2020-10-25,27
2020-11-01,25
2020-11-08,26
2020-11-15,28
2020-11-22,27
2020-11-29,27
2020-12-06,38
2020-12-13,33
2020-12-20,35
2020-12-27,33
2021-01-03,34
2021-01-10,32
2021-01-17,36
2021-01-24,30
2021-01-31,32
2021-02-07,32
2021-02-14,29
2021-02-21,29
2021-02-28,27
2021-03-07,33
2021-03-14,28
2021-03-21,30
2021-03-28,41
2021-04-04,33
2021-04-11,30
2021-04-18,31
2021-04-25,30
2021-05-02,31
2021-05-09,30
2021-05-16,27
2021-05-23,35
2021-05-30,31
2021-06-06,37
2021-06-13,45
2021-06-20,67
2021-06-27,60
2021-07-04,45
2021-07-11,40
2021-07-18,36
2021-07-25,33
2021-08-01,33
2021-08-08,36
2021-08-15,40
2021-08-22,37
2021-08-29,34
2021-09-05,35
2021-09-12,36
2021-09-19,37
2021-09-26,48
2021-10-03,43
2021-10-10,51
2021-10-17,54
2021-10-24,56
2021-10-31,47
2021-11-07,41
2021-11-14,43
2021-11-21,50
2021-11-28,42
2021-12-05,41
2021-12-12,50
2021-12-19,45
2021-12-26,42
2022-01-02,38
2022-01-09,33
2022-01-16,35
2022-01-23,33
2022-01-30,34
2022-02-06,37
2022-02-13,34
2022-02-20,36
2022-02-27,34
2022-03-06,36
2022-03-13,40
2022-03-20,48
2022-03-27,44
2022-04-03,48
2022-04-10,46
