Category: All categories

Week,travel: (Israel)
2020-01-26,67
2020-02-02,72
2020-02-09,68
2020-02-16,71
2020-02-23,89
2020-03-01,76
2020-03-08,93
2020-03-15,44
2020-03-22,44
2020-03-29,23
2020-04-05,30
2020-04-12,39
2020-04-19,38
2020-04-26,41
2020-05-03,42
2020-05-10,39
2020-05-17,48
2020-05-24,45
2020-05-31,30
2020-06-07,43
2020-06-14,43
2020-06-21,39
2020-06-28,49
2020-07-05,43
2020-07-12,42
2020-07-19,43
2020-07-26,54
2020-08-02,49
2020-08-09,59
2020-08-16,57
2020-08-23,56
2020-08-30,54
2020-09-06,43
2020-09-13,53
2020-09-20,41
2020-09-27,39
2020-10-04,50
2020-10-11,47
2020-10-18,39
2020-10-25,54
2020-11-01,43
2020-11-08,47
2020-11-15,42
2020-11-22,39
2020-11-29,42
2020-12-06,41
2020-12-13,48
2020-12-20,42
2020-12-27,32
2021-01-03,37
2021-01-10,48
2021-01-17,30
2021-01-24,34
2021-01-31,40
2021-02-07,32
2021-02-14,27
2021-02-21,43
2021-02-28,41
2021-03-07,48
2021-03-14,48
2021-03-21,67
2021-03-28,67
2021-04-04,51
2021-04-11,67
2021-04-18,64
2021-04-25,66
2021-05-02,71
2021-05-09,45
2021-05-16,71
2021-05-23,67
2021-05-30,88
2021-06-06,81
2021-06-13,77
2021-06-20,76
2021-06-27,90
2021-07-04,80
2021-07-11,87
2021-07-18,95
2021-07-25,83
2021-08-01,79
2021-08-08,92
2021-08-15,70
2021-08-22,84
2021-08-29,100
2021-09-05,89
2021-09-12,92
2021-09-19,73
2021-09-26,92
2021-10-03,69
2021-10-10,71
2021-10-17,84
2021-10-24,80
2021-10-31,78
2021-11-07,83
2021-11-14,85
2021-11-21,76
2021-11-28,94
2021-12-05,76
2021-12-12,67
2021-12-19,66
2021-12-26,49
2022-01-02,47
2022-01-09,55
2022-01-16,58
2022-01-23,61
2022-01-30,62
2022-02-06,84
2022-02-13,77
2022-02-20,76
2022-02-27,79
2022-03-06,87
2022-03-13,71
2022-03-20,91
2022-03-27,91
2022-04-03,86
2022-04-10,88
