Category: All categories

Week,Travel: (Italy)
2020-01-26,77
2020-02-02,76
2020-02-09,76
2020-02-16,76
2020-02-23,78
2020-03-01,69
2020-03-08,46
2020-03-15,38
2020-03-22,34
2020-03-29,33
2020-04-05,35
2020-04-12,37
2020-04-19,39
2020-04-26,40
2020-05-03,39
2020-05-10,41
2020-05-17,42
2020-05-24,45
2020-05-31,46
2020-06-07,52
2020-06-14,58
2020-06-21,59
2020-06-28,69
2020-07-05,68
2020-07-12,73
2020-07-19,71
2020-07-26,76
2020-08-02,79
2020-08-09,68
2020-08-16,66
2020-08-23,59
2020-08-30,56
2020-09-06,53
2020-09-13,56
2020-09-20,48
2020-09-27,49
2020-10-04,49
2020-10-11,45
2020-10-18,40
2020-10-25,34
2020-11-01,32
2020-11-08,33
2020-11-15,38
2020-11-22,38
2020-11-29,41
2020-12-06,37
2020-12-13,41
2020-12-20,44
2020-12-27,37
2021-01-03,41
2021-01-10,38
2021-01-17,45
2021-01-24,46
2021-01-31,43
2021-02-07,44
2021-02-14,42
2021-02-21,43
2021-02-28,44
2021-03-07,38
2021-03-14,42
2021-03-21,43
2021-03-28,46
2021-04-04,48
2021-04-11,44
2021-04-18,54
2021-04-25,54
2021-05-02,60
2021-05-09,58
2021-05-16,69
2021-05-23,68
2021-05-30,74
2021-06-06,77
2021-06-13,82
2021-06-20,90
2021-06-27,89
2021-07-04,95
2021-07-11,86
2021-07-18,99
2021-07-25,98
2021-08-01,92
2021-08-08,91
2021-08-15,94
2021-08-22,79
2021-08-29,83
2021-09-05,72
2021-09-12,68
2021-09-19,78
2021-09-26,68
2021-10-03,68
2021-10-10,75
2021-10-17,68
2021-10-24,67
2021-10-31,66
2021-11-07,67
2021-11-14,66
2021-11-21,61
2021-11-28,66
2021-12-05,61
2021-12-12,71
2021-12-19,71
2021-12-26,74
2022-01-02,73
2022-01-09,59
2022-01-16,64
2022-01-23,64
2022-01-30,66
2022-02-06,73
2022-02-13,82
2022-02-20,74
2022-02-27,68
2022-03-06,76
2022-03-13,76
2022-03-20,80
2022-03-27,90
2022-04-03,92
2022-04-10,100
