Category: All categories

Week,travel: (Netherlands)
2020-01-26,60
2020-02-02,61
2020-02-09,55
2020-02-16,54
2020-02-23,67
2020-03-01,58
2020-03-08,94
2020-03-15,65
2020-03-22,39
2020-03-29,39
2020-04-05,35
2020-04-12,41
2020-04-19,43
2020-04-26,44
2020-05-03,45
2020-05-10,50
2020-05-17,48
2020-05-24,48
2020-05-31,59
2020-06-07,59
2020-06-14,60
2020-06-21,64
2020-06-28,68
2020-07-05,61
2020-07-12,67
2020-07-19,57
2020-07-26,63
2020-08-02,57
2020-08-09,64
2020-08-16,53
2020-08-23,57
2020-08-30,51
2020-09-06,52
2020-09-13,58
2020-09-20,51
2020-09-27,50
2020-10-04,49
2020-10-11,46
2020-10-18,40
2020-10-25,42
2020-11-01,40
2020-11-08,39
2020-11-15,40
2020-11-22,43
2020-11-29,44
2020-12-06,44
2020-12-13,52
2020-12-20,44
2020-12-27,42
2021-01-03,43
2021-01-10,40
2021-01-17,40
2021-01-24,40
2021-01-31,39
2021-02-07,41
2021-02-14,44
2021-02-21,43
2021-02-28,45
2021-03-07,47
2021-03-14,45
2021-03-21,44
2021-03-28,47
2021-04-04,46
2021-04-11,46
2021-04-18,50
2021-04-25,51
2021-05-02,58
2021-05-09,68
2021-05-16,66
2021-05-23,61
2021-05-30,75
2021-06-06,81
2021-06-13,82
2021-06-20,81
2021-06-27,88
2021-07-04,87
2021-07-11,100
2021-07-18,95
2021-07-25,89
2021-08-01,89
2021-08-08,85
2021-08-15,77
2021-08-22,80
2021-08-29,74
2021-09-05,77
2021-09-12,75
2021-09-19,67
2021-09-26,64
2021-10-03,76
2021-10-10,73
2021-10-17,66
2021-10-24,62
2021-10-31,60
2021-11-07,66
2021-11-14,61
2021-11-21,62
2021-11-28,75
2021-12-05,67
2021-12-12,79
2021-12-19,81
2021-12-26,67
2022-01-02,72
2022-01-09,67
2022-01-16,69
2022-01-23,69
2022-01-30,66
2022-02-06,69
2022-02-13,66
2022-02-20,68
2022-02-27,66
2022-03-06,69
2022-03-13,63
2022-03-20,71
2022-03-27,64
2022-04-03,73
2022-04-10,70
