Category: All categories

Week,travel: (Qatar)
2020-01-26,38
2020-02-02,37
2020-02-09,45
2020-02-16,42
2020-02-23,36
2020-03-01,45
2020-03-08,68
2020-03-15,41
2020-03-22,22
2020-03-29,19
2020-04-05,20
2020-04-12,18
2020-04-19,18
2020-04-26,21
2020-05-03,21
2020-05-10,23
2020-05-17,20
2020-05-24,27
2020-05-31,25
2020-06-07,25
2020-06-14,28
2020-06-21,30
2020-06-28,30
2020-07-05,25
2020-07-12,27
2020-07-19,33
2020-07-26,24
2020-08-02,29
2020-08-09,32
2020-08-16,30
2020-08-23,29
2020-08-30,35
2020-09-06,30
2020-09-13,26
2020-09-20,28
2020-09-27,30
2020-10-04,25
2020-10-11,31
2020-10-18,27
2020-10-25,25
2020-11-01,21
2020-11-08,25
2020-11-15,33
2020-11-22,30
2020-11-29,34
2020-12-06,37
2020-12-13,34
2020-12-20,38
2020-12-27,38
2021-01-03,34
2021-01-10,35
2021-01-17,36
2021-01-24,45
2021-01-31,38
2021-02-07,37
2021-02-14,36
2021-02-21,31
2021-02-28,43
2021-03-07,44
2021-03-14,41
2021-03-21,50
2021-03-28,49
2021-04-04,40
2021-04-11,37
2021-04-18,48
2021-04-25,53
2021-05-02,56
2021-05-09,46
2021-05-16,53
2021-05-23,65
2021-05-30,61
2021-06-06,59
2021-06-13,59
2021-06-20,68
2021-06-27,75
2021-07-04,89
2021-07-11,94
2021-07-18,76
2021-07-25,100
2021-08-01,91
2021-08-08,66
2021-08-15,66
2021-08-22,63
2021-08-29,59
2021-09-05,65
2021-09-12,59
2021-09-19,57
2021-09-26,55
2021-10-03,76
2021-10-10,56
2021-10-17,57
2021-10-24,56
2021-10-31,53
2021-11-07,62
2021-11-14,74
2021-11-21,59
2021-11-28,99
2021-12-05,78
2021-12-12,73
2021-12-19,80
2021-12-26,87
2022-01-02,93
2022-01-09,67
2022-01-16,64
2022-01-23,70
2022-01-30,73
2022-02-06,67
2022-02-13,79
2022-02-20,80
2022-02-27,78
2022-03-06,78
2022-03-13,82
2022-03-20,67
2022-03-27,61
2022-04-03,68
2022-04-10,70
