Category: All categories

Week,travel: (South Korea)
2020-01-26,48
2020-02-02,57
2020-02-09,55
2020-02-16,59
2020-02-23,100
2020-03-01,73
2020-03-08,63
2020-03-15,66
2020-03-22,47
2020-03-29,43
2020-04-05,38
2020-04-12,36
2020-04-19,44
2020-04-26,43
2020-05-03,41
2020-05-10,30
2020-05-17,40
2020-05-24,41
2020-05-31,37
2020-06-07,41
2020-06-14,45
2020-06-21,39
2020-06-28,46
2020-07-05,39
2020-07-12,38
2020-07-19,39
2020-07-26,42
2020-08-02,36
2020-08-09,34
2020-08-16,35
2020-08-23,38
2020-08-30,40
2020-09-06,32
2020-09-13,40
2020-09-20,37
2020-09-27,37
2020-10-04,39
2020-10-11,38
2020-10-18,40
2020-10-25,36
2020-11-01,39
2020-11-08,34
2020-11-15,38
2020-11-22,34
2020-11-29,40
2020-12-06,28
2020-12-13,34
2020-12-20,24
2020-12-27,32
2021-01-03,29
2021-01-10,33
2021-01-17,29
2021-01-24,28
2021-01-31,31
2021-02-07,29
2021-02-14,32
2021-02-21,31
2021-02-28,34
2021-03-07,48
2021-03-14,52
2021-03-21,61
2021-03-28,55
2021-04-04,58
2021-04-11,57
2021-04-18,50
2021-04-25,57
2021-05-02,53
2021-05-09,58
2021-05-16,51
2021-05-23,44
2021-05-30,56
2021-06-06,49
2021-06-13,63
2021-06-20,44
2021-06-27,55
2021-07-04,45
2021-07-11,50
2021-07-18,56
2021-07-25,57
2021-08-01,59
2021-08-08,50
2021-08-15,56
2021-08-22,49
2021-08-29,55
2021-09-05,39
2021-09-12,48
2021-09-19,41
2021-09-26,31
2021-10-03,30
2021-10-10,43
2021-10-17,46
2021-10-24,38
2021-10-31,39
2021-11-07,38
2021-11-14,37
2021-11-21,43
2021-11-28,56
2021-12-05,51
2021-12-12,44
2021-12-19,38
2021-12-26,36
2022-01-02,42
2022-01-09,34
2022-01-16,35
2022-01-23,50
2022-01-30,37
2022-02-06,34
2022-02-13,36
2022-02-20,40
2022-02-27,44
2022-03-06,35
2022-03-13,32
2022-03-20,41
2022-03-27,44
2022-04-03,45
2022-04-10,42
