Category: All categories

Week,Travel: (United Kingdom)
2020-01-26,44
2020-02-02,43
2020-02-09,47
2020-02-16,41
2020-02-23,59
2020-03-01,62
2020-03-08,100
2020-03-15,70
2020-03-22,28
2020-03-29,21
2020-04-05,22
2020-04-12,21
2020-04-19,22
2020-04-26,21
2020-05-03,23
2020-05-10,27
2020-05-17,28
2020-05-24,27
2020-05-31,27
2020-06-07,29
2020-06-14,31
2020-06-21,35
2020-06-28,49
2020-07-05,41
2020-07-12,37
2020-07-19,42
2020-07-26,45
2020-08-02,39
2020-08-09,41
2020-08-16,42
2020-08-23,37
2020-08-30,38
2020-09-06,36
2020-09-13,34
2020-09-20,34
2020-09-27,34
2020-10-04,33
2020-10-11,35
2020-10-18,34
2020-10-25,32
2020-11-01,29
2020-11-08,27
2020-11-15,27
2020-11-22,36
2020-11-29,35
2020-12-06,34
2020-12-13,43
2020-12-20,53
2020-12-27,33
2021-01-03,35
2021-01-10,31
2021-01-17,26
2021-01-24,27
2021-01-31,23
2021-02-07,27
2021-02-14,25
2021-02-21,33
2021-02-28,29
2021-03-07,30
2021-03-14,31
2021-03-21,36
2021-03-28,33
2021-04-04,33
2021-04-11,31
2021-04-18,33
2021-04-25,32
2021-05-02,49
2021-05-09,41
2021-05-16,46
2021-05-23,40
2021-05-30,50
2021-06-06,40
2021-06-13,41
2021-06-20,54
2021-06-27,48
2021-07-04,58
2021-07-11,62
2021-07-18,57
2021-07-25,58
2021-08-01,69
2021-08-08,55
2021-08-15,54
2021-08-22,75
2021-08-29,52
2021-09-05,50
2021-09-12,71
2021-09-19,56
2021-09-26,46
2021-10-03,59
2021-10-10,50
2021-10-17,45
2021-10-24,41
2021-10-31,39
2021-11-07,40
2021-11-14,39
2021-11-21,44
2021-11-28,62
2021-12-05,52
2021-12-12,56
2021-12-19,41
2021-12-26,41
2022-01-02,54
2022-01-09,56
2022-01-16,49
2022-01-23,53
2022-01-30,52
2022-02-06,55
2022-02-13,51
2022-02-20,48
2022-02-27,49
2022-03-06,47
2022-03-13,52
2022-03-20,50
2022-03-27,51
2022-04-03,55
2022-04-10,48
