Category: All categories

Week,travel: (Vietnam)
2020-01-26,76
2020-02-02,92
2020-02-09,86
2020-02-16,91
2020-02-23,93
2020-03-01,98
2020-03-08,96
2020-03-15,100
2020-03-22,92
2020-03-29,87
2020-04-05,72
2020-04-12,75
2020-04-19,74
2020-04-26,75
2020-05-03,62
2020-05-10,74
2020-05-17,91
2020-05-24,86
2020-05-31,70
2020-06-07,77
2020-06-14,89
2020-06-21,85
2020-06-28,90
2020-07-05,92
2020-07-12,85
2020-07-19,81
2020-07-26,79
2020-08-02,76
2020-08-09,74
2020-08-16,72
2020-08-23,69
2020-08-30,76
2020-09-06,78
2020-09-13,72
2020-09-20,65
2020-09-27,71
2020-10-04,62
2020-10-11,54
2020-10-18,49
2020-10-25,53
2020-11-01,51
2020-11-08,52
2020-11-15,45
2020-11-22,50
2020-11-29,51
2020-12-06,45
2020-12-13,50
2020-12-20,50
2020-12-27,39
2021-01-03,38
2021-01-10,41
2021-01-17,39
2021-01-24,41
2021-01-31,32
2021-02-07,29
2021-02-14,32
2021-02-21,43
2021-02-28,39
2021-03-07,44
2021-03-14,45
2021-03-21,44
2021-03-28,54
2021-04-04,49
2021-04-11,55
2021-04-18,55
2021-04-25,51
2021-05-02,48
2021-05-09,44
2021-05-16,43
2021-05-23,40
2021-05-30,45
2021-06-06,40
2021-06-13,39
2021-06-20,39
2021-06-27,40
2021-07-04,38
2021-07-11,41
2021-07-18,43
2021-07-25,36
2021-08-01,44
2021-08-08,38
2021-08-15,43
2021-08-22,32
2021-08-29,37
2021-09-05,37
2021-09-12,39
2021-09-19,41
2021-09-26,44
2021-10-03,47
2021-10-10,29
2021-10-17,32
2021-10-24,42
2021-10-31,41
2021-11-07,54
2021-11-14,40
2021-11-21,49
2021-11-28,53
2021-12-05,38
2021-12-12,34
2021-12-19,40
2021-12-26,47
2022-01-02,49
2022-01-09,45
2022-01-16,44
2022-01-23,44
2022-01-30,32
2022-02-06,34
2022-02-13,42
2022-02-20,45
2022-02-27,43
2022-03-06,43
2022-03-13,49
2022-03-20,50
2022-03-27,53
2022-04-03,48
2022-04-10,49
