Country,Date,search_index
Canada,2020-01-26,37.0
Canada,2020-02-02,37.0
Canada,2020-02-09,34.0
Canada,2020-02-16,36.0
Canada,2020-02-23,46.0
Canada,2020-03-01,53.0
Canada,2020-03-08,100.0
Canada,2020-03-15,50.0
Canada,2020-03-22,21.0
Canada,2020-03-29,17.0
Canada,2020-04-05,16.0
Canada,2020-04-12,17.0
Canada,2020-04-19,16.0
Canada,2020-04-26,17.0
Canada,2020-05-03,20.0
Canada,2020-05-10,21.0
Canada,2020-05-17,24.0
Canada,2020-05-24,23.0
Canada,2020-05-31,27.0
Canada,2020-06-07,29.0
Canada,2020-06-14,29.0
Canada,2020-06-21,30.0
Canada,2020-06-28,33.0
Canada,2020-07-05,27.0
Canada,2020-07-12,28.0
Canada,2020-07-19,26.0
Canada,2020-07-26,25.0
Canada,2020-08-02,27.0
Canada,2020-08-09,25.0
Canada,2020-08-16,22.0
Canada,2020-08-23,22.0
Canada,2020-08-30,21.0
Canada,2020-09-06,20.0
Canada,2020-09-13,20.0
Canada,2020-09-20,19.0
Canada,2020-09-27,20.0
Canada,2020-10-04,19.0
Canada,2020-10-11,20.0
Canada,2020-10-18,20.0
Canada,2020-10-25,19.0
Canada,2020-11-01,16.0
Canada,2020-11-08,19.0
Canada,2020-11-15,22.0
Canada,2020-11-22,20.0
Canada,2020-11-29,19.0
Canada,2020-12-06,21.0
Canada,2020-12-13,20.0
Canada,2020-12-20,20.0
Canada,2020-12-27,21.0
Canada,2021-01-03,22.0
Canada,2021-01-10,20.0
Canada,2021-01-17,22.0
Canada,2021-01-24,35.0
Canada,2021-01-31,22.0
Canada,2021-02-07,19.0
Canada,2021-02-14,18.0
Canada,2021-02-21,19.0
Canada,2021-02-28,19.0
Canada,2021-03-07,19.0
Canada,2021-03-14,20.0
Canada,2021-03-21,20.0
Canada,2021-03-28,20.0
Canada,2021-04-04,21.0
Canada,2021-04-11,22.0
Canada,2021-04-18,38.0
Canada,2021-04-25,23.0
Canada,2021-05-02,23.0
Canada,2021-05-09,23.0
Canada,2021-05-16,26.0
Canada,2021-05-23,31.0
Canada,2021-05-30,27.0
Canada,2021-06-06,38.0
Canada,2021-06-13,38.0
Canada,2021-06-20,45.0
Canada,2021-06-27,38.0
Canada,2021-07-04,45.0
Canada,2021-07-11,44.0
Canada,2021-07-18,49.0
Canada,2021-07-25,41.0
Canada,2021-08-01,41.0
Canada,2021-08-08,43.0
Canada,2021-08-15,40.0
Canada,2021-08-22,39.0
Canada,2021-08-29,37.0
Canada,2021-09-05,35.0
Canada,2021-09-12,37.0
Canada,2021-09-19,39.0
Canada,2021-09-26,40.0
Canada,2021-10-03,44.0
Canada,2021-10-10,44.0
Canada,2021-10-17,42.0
Canada,2021-10-24,40.0
Canada,2021-10-31,40.0
Canada,2021-11-07,39.0
Canada,2021-11-14,39.0
Canada,2021-11-21,40.0
Canada,2021-11-28,59.0
Canada,2021-12-05,45.0
Canada,2021-12-12,70.0
Canada,2021-12-19,44.0
Canada,2021-12-26,33.0
Canada,2022-01-02,39.0
Canada,2022-01-09,36.0
Canada,2022-01-16,34.0
Canada,2022-01-23,37.0
Canada,2022-01-30,38.0
Canada,2022-02-06,43.0
Canada,2022-02-13,47.0
Canada,2022-02-20,45.0
Canada,2022-02-27,46.0
Canada,2022-03-06,46.0
Canada,2022-03-13,47.0
Canada,2022-03-20,40.0
Canada,2022-03-27,40.0
Canada,2022-04-03,39.0
Canada,2022-04-10,38.0
