Country,Date,search_index
Cuba,2020-01-26,18.0
Cuba,2020-02-02,17.0
Cuba,2020-02-09,14.0
Cuba,2020-02-16,15.0
Cuba,2020-02-23,20.0
Cuba,2020-03-01,19.0
Cuba,2020-03-08,33.0
Cuba,2020-03-15,43.0
Cuba,2020-03-22,4.0
Cuba,2020-03-29,4.0
Cuba,2020-04-05,2.0
Cuba,2020-04-12,9.0
Cuba,2020-04-19,2.0
Cuba,2020-04-26,4.0
Cuba,2020-05-03,9.0
Cuba,2020-05-10,2.0
Cuba,2020-05-17,14.0
Cuba,2020-05-24,4.0
Cuba,2020-05-31,9.0
Cuba,2020-06-07,6.0
Cuba,2020-06-14,6.0
Cuba,2020-06-21,11.0
Cuba,2020-06-28,19.0
Cuba,2020-07-05,5.0
Cuba,2020-07-12,19.0
Cuba,2020-07-19,13.0
Cuba,2020-07-26,10.0
Cuba,2020-08-02,23.0
Cuba,2020-08-09,4.0
Cuba,2020-08-16,4.0
Cuba,2020-08-23,14.0
Cuba,2020-08-30,6.0
Cuba,2020-09-06,8.0
Cuba,2020-09-13,8.0
Cuba,2020-09-20,6.0
Cuba,2020-09-27,12.0
Cuba,2020-10-04,12.0
Cuba,2020-10-11,12.0
Cuba,2020-10-18,8.0
Cuba,2020-10-25,8.0
Cuba,2020-11-01,7.0
Cuba,2020-11-08,11.0
Cuba,2020-11-15,22.0
Cuba,2020-11-22,12.0
Cuba,2020-11-29,15.0
Cuba,2020-12-06,15.0
Cuba,2020-12-13,9.0
Cuba,2020-12-20,7.0
Cuba,2020-12-27,27.0
Cuba,2021-01-03,17.0
Cuba,2021-01-10,16.0
Cuba,2021-01-17,11.0
Cuba,2021-01-24,16.0
Cuba,2021-01-31,19.0
Cuba,2021-02-07,6.0
Cuba,2021-02-14,14.0
Cuba,2021-02-21,11.0
Cuba,2021-02-28,12.0
Cuba,2021-03-07,4.0
Cuba,2021-03-14,17.0
Cuba,2021-03-21,10.0
Cuba,2021-03-28,14.0
Cuba,2021-04-04,10.0
Cuba,2021-04-11,12.0
Cuba,2021-04-18,17.0
Cuba,2021-04-25,23.0
Cuba,2021-05-02,12.0
Cuba,2021-05-09,12.0
Cuba,2021-05-16,15.0
Cuba,2021-05-23,21.0
Cuba,2021-05-30,19.0
Cuba,2021-06-06,7.0
Cuba,2021-06-13,19.0
Cuba,2021-06-20,27.0
Cuba,2021-06-27,14.0
Cuba,2021-07-04,15.0
Cuba,2021-07-11,15.0
Cuba,2021-07-18,23.0
Cuba,2021-07-25,18.0
Cuba,2021-08-01,12.0
Cuba,2021-08-08,30.0
Cuba,2021-08-15,20.0
Cuba,2021-08-22,22.0
Cuba,2021-08-29,25.0
Cuba,2021-09-05,24.0
Cuba,2021-09-12,11.0
Cuba,2021-09-19,12.0
Cuba,2021-09-26,20.0
Cuba,2021-10-03,19.0
Cuba,2021-10-10,26.0
Cuba,2021-10-17,24.0
Cuba,2021-10-24,32.0
Cuba,2021-10-31,26.0
Cuba,2021-11-07,26.0
Cuba,2021-11-14,14.0
Cuba,2021-11-21,27.0
Cuba,2021-11-28,25.0
Cuba,2021-12-05,26.0
Cuba,2021-12-12,31.0
Cuba,2021-12-19,27.0
Cuba,2021-12-26,21.0
Cuba,2022-01-02,19.0
Cuba,2022-01-09,32.0
Cuba,2022-01-16,28.0
Cuba,2022-01-23,34.0
Cuba,2022-01-30,23.0
Cuba,2022-02-06,17.0
Cuba,2022-02-13,35.0
Cuba,2022-02-20,31.0
Cuba,2022-02-27,50.0
Cuba,2022-03-06,61.0
Cuba,2022-03-13,34.0
Cuba,2022-03-20,56.0
Cuba,2022-03-27,71.0
Cuba,2022-04-03,75.0
Cuba,2022-04-10,100.0
