Country,Date,search_index
France,2020-01-26,65.0
France,2020-02-02,58.0
France,2020-02-09,60.0
France,2020-02-16,60.0
France,2020-02-23,61.0
France,2020-03-01,67.0
France,2020-03-08,96.0
France,2020-03-15,56.0
France,2020-03-22,39.0
France,2020-03-29,38.0
France,2020-04-05,41.0
France,2020-04-12,36.0
France,2020-04-19,41.0
France,2020-04-26,39.0
France,2020-05-03,39.0
France,2020-05-10,42.0
France,2020-05-17,40.0
France,2020-05-24,38.0
France,2020-05-31,48.0
France,2020-06-07,47.0
France,2020-06-14,52.0
France,2020-06-21,53.0
France,2020-06-28,59.0
France,2020-07-05,56.0
France,2020-07-12,56.0
France,2020-07-19,58.0
France,2020-07-26,56.0
France,2020-08-02,58.0
France,2020-08-09,75.0
France,2020-08-16,56.0
France,2020-08-23,56.0
France,2020-08-30,52.0
France,2020-09-06,53.0
France,2020-09-13,53.0
France,2020-09-20,47.0
France,2020-09-27,46.0
France,2020-10-04,44.0
France,2020-10-11,45.0
France,2020-10-18,40.0
France,2020-10-25,40.0
France,2020-11-01,35.0
France,2020-11-08,36.0
France,2020-11-15,39.0
France,2020-11-22,43.0
France,2020-11-29,42.0
France,2020-12-06,41.0
France,2020-12-13,48.0
France,2020-12-20,58.0
France,2020-12-27,42.0
France,2021-01-03,45.0
France,2021-01-10,45.0
France,2021-01-17,45.0
France,2021-01-24,44.0
France,2021-01-31,41.0
France,2021-02-07,42.0
France,2021-02-14,43.0
France,2021-02-21,45.0
France,2021-02-28,48.0
France,2021-03-07,43.0
France,2021-03-14,43.0
France,2021-03-21,47.0
France,2021-03-28,45.0
France,2021-04-04,40.0
France,2021-04-11,43.0
France,2021-04-18,42.0
France,2021-04-25,48.0
France,2021-05-02,55.0
France,2021-05-09,55.0
France,2021-05-16,60.0
France,2021-05-23,64.0
France,2021-05-30,59.0
France,2021-06-06,71.0
France,2021-06-13,73.0
France,2021-06-20,74.0
France,2021-06-27,79.0
France,2021-07-04,91.0
France,2021-07-11,93.0
France,2021-07-18,96.0
France,2021-07-25,96.0
France,2021-08-01,94.0
France,2021-08-08,88.0
France,2021-08-15,83.0
France,2021-08-22,86.0
France,2021-08-29,79.0
France,2021-09-05,76.0
France,2021-09-12,78.0
France,2021-09-19,77.0
France,2021-09-26,67.0
France,2021-10-03,74.0
France,2021-10-10,74.0
France,2021-10-17,65.0
France,2021-10-24,65.0
France,2021-10-31,62.0
France,2021-11-07,61.0
France,2021-11-14,64.0
France,2021-11-21,59.0
France,2021-11-28,84.0
France,2021-12-05,85.0
France,2021-12-12,100.0
France,2021-12-19,81.0
France,2021-12-26,74.0
France,2022-01-02,84.0
France,2022-01-09,71.0
France,2022-01-16,68.0
France,2022-01-23,71.0
France,2022-01-30,75.0
France,2022-02-06,72.0
France,2022-02-13,79.0
France,2022-02-20,70.0
France,2022-02-27,65.0
France,2022-03-06,68.0
France,2022-03-13,76.0
France,2022-03-20,71.0
France,2022-03-27,69.0
France,2022-04-03,72.0
France,2022-04-10,76.0
