Country,Date,search_index
Netherlands,2020-01-26,60.0
Netherlands,2020-02-02,61.0
Netherlands,2020-02-09,55.0
Netherlands,2020-02-16,54.0
Netherlands,2020-02-23,67.0
Netherlands,2020-03-01,58.0
Netherlands,2020-03-08,94.0
Netherlands,2020-03-15,65.0
Netherlands,2020-03-22,39.0
Netherlands,2020-03-29,39.0
Netherlands,2020-04-05,35.0
Netherlands,2020-04-12,41.0
Netherlands,2020-04-19,43.0
Netherlands,2020-04-26,44.0
Netherlands,2020-05-03,45.0
Netherlands,2020-05-10,50.0
Netherlands,2020-05-17,48.0
Netherlands,2020-05-24,48.0
Netherlands,2020-05-31,59.0
Netherlands,2020-06-07,59.0
Netherlands,2020-06-14,60.0
Netherlands,2020-06-21,64.0
Netherlands,2020-06-28,68.0
Netherlands,2020-07-05,61.0
Netherlands,2020-07-12,67.0
Netherlands,2020-07-19,57.0
Netherlands,2020-07-26,63.0
Netherlands,2020-08-02,57.0
Netherlands,2020-08-09,64.0
Netherlands,2020-08-16,53.0
Netherlands,2020-08-23,57.0
Netherlands,2020-08-30,51.0
Netherlands,2020-09-06,52.0
Netherlands,2020-09-13,58.0
Netherlands,2020-09-20,51.0
Netherlands,2020-09-27,50.0
Netherlands,2020-10-04,49.0
Netherlands,2020-10-11,46.0
Netherlands,2020-10-18,40.0
Netherlands,2020-10-25,42.0
Netherlands,2020-11-01,40.0
Netherlands,2020-11-08,39.0
Netherlands,2020-11-15,40.0
Netherlands,2020-11-22,43.0
Netherlands,2020-11-29,44.0
Netherlands,2020-12-06,44.0
Netherlands,2020-12-13,52.0
Netherlands,2020-12-20,44.0
Netherlands,2020-12-27,42.0
Netherlands,2021-01-03,43.0
Netherlands,2021-01-10,40.0
Netherlands,2021-01-17,40.0
Netherlands,2021-01-24,40.0
Netherlands,2021-01-31,39.0
Netherlands,2021-02-07,41.0
Netherlands,2021-02-14,44.0
Netherlands,2021-02-21,43.0
Netherlands,2021-02-28,45.0
Netherlands,2021-03-07,47.0
Netherlands,2021-03-14,45.0
Netherlands,2021-03-21,44.0
Netherlands,2021-03-28,47.0
Netherlands,2021-04-04,46.0
Netherlands,2021-04-11,46.0
Netherlands,2021-04-18,50.0
Netherlands,2021-04-25,51.0
Netherlands,2021-05-02,58.0
Netherlands,2021-05-09,68.0
Netherlands,2021-05-16,66.0
Netherlands,2021-05-23,61.0
Netherlands,2021-05-30,75.0
Netherlands,2021-06-06,81.0
Netherlands,2021-06-13,82.0
Netherlands,2021-06-20,81.0
Netherlands,2021-06-27,88.0
Netherlands,2021-07-04,87.0
Netherlands,2021-07-11,100.0
Netherlands,2021-07-18,95.0
Netherlands,2021-07-25,89.0
Netherlands,2021-08-01,89.0
Netherlands,2021-08-08,85.0
Netherlands,2021-08-15,77.0
Netherlands,2021-08-22,80.0
Netherlands,2021-08-29,74.0
Netherlands,2021-09-05,77.0
Netherlands,2021-09-12,75.0
Netherlands,2021-09-19,67.0
Netherlands,2021-09-26,64.0
Netherlands,2021-10-03,76.0
Netherlands,2021-10-10,73.0
Netherlands,2021-10-17,66.0
Netherlands,2021-10-24,62.0
Netherlands,2021-10-31,60.0
Netherlands,2021-11-07,66.0
Netherlands,2021-11-14,61.0
Netherlands,2021-11-21,62.0
Netherlands,2021-11-28,75.0
Netherlands,2021-12-05,67.0
Netherlands,2021-12-12,79.0
Netherlands,2021-12-19,81.0
Netherlands,2021-12-26,67.0
Netherlands,2022-01-02,72.0
Netherlands,2022-01-09,67.0
Netherlands,2022-01-16,69.0
Netherlands,2022-01-23,69.0
Netherlands,2022-01-30,66.0
Netherlands,2022-02-06,69.0
Netherlands,2022-02-13,66.0
Netherlands,2022-02-20,68.0
Netherlands,2022-02-27,66.0
Netherlands,2022-03-06,69.0
Netherlands,2022-03-13,63.0
Netherlands,2022-03-20,71.0
Netherlands,2022-03-27,64.0
Netherlands,2022-04-03,73.0
Netherlands,2022-04-10,70.0
