Country,Date,search_index
Singapore,2020-01-26,64.0
Singapore,2020-02-02,69.0
Singapore,2020-02-09,71.0
Singapore,2020-02-16,56.0
Singapore,2020-02-23,62.0
Singapore,2020-03-01,73.0
Singapore,2020-03-08,83.0
Singapore,2020-03-15,98.0
Singapore,2020-03-22,36.0
Singapore,2020-03-29,23.0
Singapore,2020-04-05,18.0
Singapore,2020-04-12,18.0
Singapore,2020-04-19,19.0
Singapore,2020-04-26,22.0
Singapore,2020-05-03,22.0
Singapore,2020-05-10,24.0
Singapore,2020-05-17,27.0
Singapore,2020-05-24,26.0
Singapore,2020-05-31,27.0
Singapore,2020-06-07,25.0
Singapore,2020-06-14,27.0
Singapore,2020-06-21,25.0
Singapore,2020-06-28,27.0
Singapore,2020-07-05,23.0
Singapore,2020-07-12,25.0
Singapore,2020-07-19,24.0
Singapore,2020-07-26,22.0
Singapore,2020-08-02,26.0
Singapore,2020-08-09,24.0
Singapore,2020-08-16,28.0
Singapore,2020-08-23,27.0
Singapore,2020-08-30,24.0
Singapore,2020-09-06,23.0
Singapore,2020-09-13,24.0
Singapore,2020-09-20,24.0
Singapore,2020-09-27,26.0
Singapore,2020-10-04,26.0
Singapore,2020-10-11,31.0
Singapore,2020-10-18,29.0
Singapore,2020-10-25,28.0
Singapore,2020-11-01,25.0
Singapore,2020-11-08,32.0
Singapore,2020-11-15,31.0
Singapore,2020-11-22,26.0
Singapore,2020-11-29,25.0
Singapore,2020-12-06,24.0
Singapore,2020-12-13,24.0
Singapore,2020-12-20,21.0
Singapore,2020-12-27,20.0
Singapore,2021-01-03,23.0
Singapore,2021-01-10,23.0
Singapore,2021-01-17,22.0
Singapore,2021-01-24,22.0
Singapore,2021-01-31,21.0
Singapore,2021-02-07,18.0
Singapore,2021-02-14,21.0
Singapore,2021-02-21,20.0
Singapore,2021-02-28,22.0
Singapore,2021-03-07,29.0
Singapore,2021-03-14,28.0
Singapore,2021-03-21,26.0
Singapore,2021-03-28,26.0
Singapore,2021-04-04,28.0
Singapore,2021-04-11,27.0
Singapore,2021-04-18,29.0
Singapore,2021-04-25,39.0
Singapore,2021-05-02,27.0
Singapore,2021-05-09,24.0
Singapore,2021-05-16,21.0
Singapore,2021-05-23,21.0
Singapore,2021-05-30,21.0
Singapore,2021-06-06,23.0
Singapore,2021-06-13,23.0
Singapore,2021-06-20,26.0
Singapore,2021-06-27,25.0
Singapore,2021-07-04,27.0
Singapore,2021-07-11,30.0
Singapore,2021-07-18,21.0
Singapore,2021-07-25,24.0
Singapore,2021-08-01,26.0
Singapore,2021-08-08,27.0
Singapore,2021-08-15,34.0
Singapore,2021-08-22,30.0
Singapore,2021-08-29,31.0
Singapore,2021-09-05,30.0
Singapore,2021-09-12,33.0
Singapore,2021-09-19,34.0
Singapore,2021-09-26,31.0
Singapore,2021-10-03,52.0
Singapore,2021-10-10,68.0
Singapore,2021-10-17,54.0
Singapore,2021-10-24,55.0
Singapore,2021-10-31,53.0
Singapore,2021-11-07,68.0
Singapore,2021-11-14,64.0
Singapore,2021-11-21,92.0
Singapore,2021-11-28,80.0
Singapore,2021-12-05,67.0
Singapore,2021-12-12,84.0
Singapore,2021-12-19,75.0
Singapore,2021-12-26,79.0
Singapore,2022-01-02,83.0
Singapore,2022-01-09,90.0
Singapore,2022-01-16,67.0
Singapore,2022-01-23,59.0
Singapore,2022-01-30,79.0
Singapore,2022-02-06,64.0
Singapore,2022-02-13,90.0
Singapore,2022-02-20,90.0
Singapore,2022-02-27,71.0
Singapore,2022-03-06,83.0
Singapore,2022-03-13,84.0
Singapore,2022-03-20,100.0
Singapore,2022-03-27,96.0
Singapore,2022-04-03,87.0
Singapore,2022-04-10,75.0
