Country,Date,search_index
Belgium,2020-01-26,7.0
Belgium,2020-02-02,4.0
Belgium,2020-02-09,4.0
Belgium,2020-02-16,2.0
Belgium,2020-02-23,9.0
Belgium,2020-03-01,7.0
Belgium,2020-03-08,10.0
Belgium,2020-03-15,18.0
Belgium,2020-03-22,11.0
Belgium,2020-03-29,13.0
Belgium,2020-04-05,13.0
Belgium,2020-04-12,12.0
Belgium,2020-04-19,11.0
Belgium,2020-04-26,12.0
Belgium,2020-05-03,12.0
Belgium,2020-05-10,12.0
Belgium,2020-05-17,11.0
Belgium,2020-05-24,10.0
Belgium,2020-05-31,7.0
Belgium,2020-06-07,8.0
Belgium,2020-06-14,7.0
Belgium,2020-06-21,8.0
Belgium,2020-06-28,9.0
Belgium,2020-07-05,8.0
Belgium,2020-07-12,11.0
Belgium,2020-07-19,15.0
Belgium,2020-07-26,13.0
Belgium,2020-08-02,12.0
Belgium,2020-08-09,16.0
Belgium,2020-08-16,16.0
Belgium,2020-08-23,11.0
Belgium,2020-08-30,11.0
Belgium,2020-09-06,13.0
Belgium,2020-09-13,10.0
Belgium,2020-09-20,9.0
Belgium,2020-09-27,12.0
Belgium,2020-10-04,13.0
Belgium,2020-10-11,13.0
Belgium,2020-10-18,17.0
Belgium,2020-10-25,17.0
Belgium,2020-11-01,11.0
Belgium,2020-11-08,35.0
Belgium,2020-11-15,27.0
Belgium,2020-11-22,20.0
Belgium,2020-11-29,27.0
Belgium,2020-12-06,36.0
Belgium,2020-12-13,33.0
Belgium,2020-12-20,29.0
Belgium,2020-12-27,35.0
Belgium,2021-01-03,51.0
Belgium,2021-01-10,51.0
Belgium,2021-01-17,51.0
Belgium,2021-01-24,54.0
Belgium,2021-01-31,42.0
Belgium,2021-02-07,34.0
Belgium,2021-02-14,43.0
Belgium,2021-02-21,58.0
Belgium,2021-02-28,64.0
Belgium,2021-03-07,61.0
Belgium,2021-03-14,71.0
Belgium,2021-03-21,60.0
Belgium,2021-03-28,62.0
Belgium,2021-04-04,80.0
Belgium,2021-04-11,70.0
Belgium,2021-04-18,66.0
Belgium,2021-04-25,70.0
Belgium,2021-05-02,77.0
Belgium,2021-05-09,83.0
Belgium,2021-05-16,86.0
Belgium,2021-05-23,82.0
Belgium,2021-05-30,94.0
Belgium,2021-06-06,93.0
Belgium,2021-06-13,100.0
Belgium,2021-06-20,97.0
Belgium,2021-06-27,81.0
Belgium,2021-07-04,69.0
Belgium,2021-07-11,77.0
Belgium,2021-07-18,75.0
Belgium,2021-07-25,67.0
Belgium,2021-08-01,90.0
Belgium,2021-08-08,55.0
Belgium,2021-08-15,76.0
Belgium,2021-08-22,41.0
Belgium,2021-08-29,37.0
Belgium,2021-09-05,35.0
Belgium,2021-09-12,30.0
Belgium,2021-09-19,35.0
Belgium,2021-09-26,30.0
Belgium,2021-10-03,24.0
Belgium,2021-10-10,26.0
Belgium,2021-10-17,33.0
Belgium,2021-10-24,42.0
Belgium,2021-10-31,37.0
Belgium,2021-11-07,37.0
Belgium,2021-11-14,47.0
Belgium,2021-11-21,48.0
Belgium,2021-11-28,44.0
Belgium,2021-12-05,40.0
Belgium,2021-12-12,45.0
Belgium,2021-12-19,39.0
Belgium,2021-12-26,38.0
Belgium,2022-01-02,43.0
Belgium,2022-01-09,49.0
Belgium,2022-01-16,43.0
Belgium,2022-01-23,27.0
Belgium,2022-01-30,22.0
Belgium,2022-02-06,21.0
Belgium,2022-02-13,21.0
Belgium,2022-02-20,17.0
Belgium,2022-02-27,17.0
Belgium,2022-03-06,9.0
Belgium,2022-03-13,13.0
Belgium,2022-03-20,13.0
Belgium,2022-03-27,8.0
Belgium,2022-04-03,9.0
Belgium,2022-04-10,9.0
