Country,Date,search_index
France,2020-01-26,2.0
France,2020-02-02,2.0
France,2020-02-09,2.0
France,2020-02-16,2.0
France,2020-02-23,3.0
France,2020-03-01,3.0
France,2020-03-08,4.0
France,2020-03-15,5.0
France,2020-03-22,4.0
France,2020-03-29,6.0
France,2020-04-05,3.0
France,2020-04-12,4.0
France,2020-04-19,4.0
France,2020-04-26,4.0
France,2020-05-03,4.0
France,2020-05-10,4.0
France,2020-05-17,4.0
France,2020-05-24,3.0
France,2020-05-31,2.0
France,2020-06-07,3.0
France,2020-06-14,3.0
France,2020-06-21,2.0
France,2020-06-28,3.0
France,2020-07-05,2.0
France,2020-07-12,3.0
France,2020-07-19,5.0
France,2020-07-26,3.0
France,2020-08-02,4.0
France,2020-08-09,6.0
France,2020-08-16,4.0
France,2020-08-23,4.0
France,2020-08-30,4.0
France,2020-09-06,5.0
France,2020-09-13,4.0
France,2020-09-20,4.0
France,2020-09-27,4.0
France,2020-10-04,4.0
France,2020-10-11,4.0
France,2020-10-18,5.0
France,2020-10-25,5.0
France,2020-11-01,4.0
France,2020-11-08,12.0
France,2020-11-15,8.0
France,2020-11-22,7.0
France,2020-11-29,9.0
France,2020-12-06,12.0
France,2020-12-13,12.0
France,2020-12-20,12.0
France,2020-12-27,20.0
France,2021-01-03,27.0
France,2021-01-10,31.0
France,2021-01-17,30.0
France,2021-01-24,26.0
France,2021-01-31,21.0
France,2021-02-07,21.0
France,2021-02-14,23.0
France,2021-02-21,26.0
France,2021-02-28,31.0
France,2021-03-07,32.0
France,2021-03-14,37.0
France,2021-03-21,39.0
France,2021-03-28,37.0
France,2021-04-04,34.0
France,2021-04-11,36.0
France,2021-04-18,30.0
France,2021-04-25,35.0
France,2021-05-02,36.0
France,2021-05-09,42.0
France,2021-05-16,40.0
France,2021-05-23,39.0
France,2021-05-30,39.0
France,2021-06-06,37.0
France,2021-06-13,31.0
France,2021-06-20,28.0
France,2021-06-27,31.0
France,2021-07-04,35.0
France,2021-07-11,100.0
France,2021-07-18,86.0
France,2021-07-25,71.0
France,2021-08-01,68.0
France,2021-08-08,50.0
France,2021-08-15,39.0
France,2021-08-22,38.0
France,2021-08-29,28.0
France,2021-09-05,24.0
France,2021-09-12,21.0
France,2021-09-19,19.0
France,2021-09-26,16.0
France,2021-10-03,16.0
France,2021-10-10,15.0
France,2021-10-17,17.0
France,2021-10-24,16.0
France,2021-10-31,17.0
France,2021-11-07,19.0
France,2021-11-14,25.0
France,2021-11-21,30.0
France,2021-11-28,33.0
France,2021-12-05,36.0
France,2021-12-12,51.0
France,2021-12-19,42.0
France,2021-12-26,45.0
France,2022-01-02,64.0
France,2022-01-09,47.0
France,2022-01-16,61.0
France,2022-01-23,30.0
France,2022-01-30,23.0
France,2022-02-06,17.0
France,2022-02-13,13.0
France,2022-02-20,11.0
France,2022-02-27,9.0
France,2022-03-06,9.0
France,2022-03-13,10.0
France,2022-03-20,9.0
France,2022-03-27,7.0
France,2022-04-03,8.0
France,2022-04-10,7.0
