Country,Date,search_index
Germany,2020-01-26,4.0
Germany,2020-02-02,2.0
Germany,2020-02-09,3.0
Germany,2020-02-16,2.0
Germany,2020-02-23,6.0
Germany,2020-03-01,6.0
Germany,2020-03-08,10.0
Germany,2020-03-15,16.0
Germany,2020-03-22,11.0
Germany,2020-03-29,9.0
Germany,2020-04-05,10.0
Germany,2020-04-12,9.0
Germany,2020-04-19,11.0
Germany,2020-04-26,9.0
Germany,2020-05-03,10.0
Germany,2020-05-10,8.0
Germany,2020-05-17,7.0
Germany,2020-05-24,6.0
Germany,2020-05-31,5.0
Germany,2020-06-07,5.0
Germany,2020-06-14,6.0
Germany,2020-06-21,6.0
Germany,2020-06-28,6.0
Germany,2020-07-05,6.0
Germany,2020-07-12,9.0
Germany,2020-07-19,10.0
Germany,2020-07-26,7.0
Germany,2020-08-02,7.0
Germany,2020-08-09,14.0
Germany,2020-08-16,9.0
Germany,2020-08-23,7.0
Germany,2020-08-30,7.0
Germany,2020-09-06,7.0
Germany,2020-09-13,7.0
Germany,2020-09-20,8.0
Germany,2020-09-27,7.0
Germany,2020-10-04,7.0
Germany,2020-10-11,9.0
Germany,2020-10-18,10.0
Germany,2020-10-25,9.0
Germany,2020-11-01,6.0
Germany,2020-11-08,28.0
Germany,2020-11-15,18.0
Germany,2020-11-22,14.0
Germany,2020-11-29,20.0
Germany,2020-12-06,26.0
Germany,2020-12-13,27.0
Germany,2020-12-20,30.0
Germany,2020-12-27,32.0
Germany,2021-01-03,26.0
Germany,2021-01-10,27.0
Germany,2021-01-17,25.0
Germany,2021-01-24,27.0
Germany,2021-01-31,24.0
Germany,2021-02-07,20.0
Germany,2021-02-14,23.0
Germany,2021-02-21,26.0
Germany,2021-02-28,30.0
Germany,2021-03-07,32.0
Germany,2021-03-14,37.0
Germany,2021-03-21,30.0
Germany,2021-03-28,36.0
Germany,2021-04-04,39.0
Germany,2021-04-11,39.0
Germany,2021-04-18,37.0
Germany,2021-04-25,48.0
Germany,2021-05-02,50.0
Germany,2021-05-09,54.0
Germany,2021-05-16,53.0
Germany,2021-05-23,57.0
Germany,2021-05-30,52.0
Germany,2021-06-06,58.0
Germany,2021-06-13,50.0
Germany,2021-06-20,50.0
Germany,2021-06-27,50.0
Germany,2021-07-04,43.0
Germany,2021-07-11,37.0
Germany,2021-07-18,33.0
Germany,2021-07-25,34.0
Germany,2021-08-01,53.0
Germany,2021-08-08,31.0
Germany,2021-08-15,29.0
Germany,2021-08-22,29.0
Germany,2021-08-29,46.0
Germany,2021-09-05,24.0
Germany,2021-09-12,25.0
Germany,2021-09-19,22.0
Germany,2021-09-26,17.0
Germany,2021-10-03,20.0
Germany,2021-10-10,18.0
Germany,2021-10-17,18.0
Germany,2021-10-24,18.0
Germany,2021-10-31,20.0
Germany,2021-11-07,23.0
Germany,2021-11-14,30.0
Germany,2021-11-21,39.0
Germany,2021-11-28,35.0
Germany,2021-12-05,68.0
Germany,2021-12-12,31.0
Germany,2021-12-19,29.0
Germany,2021-12-26,25.0
Germany,2022-01-02,26.0
Germany,2022-01-09,26.0
Germany,2022-01-16,100.0
Germany,2022-01-23,20.0
Germany,2022-01-30,16.0
Germany,2022-02-06,15.0
Germany,2022-02-13,12.0
Germany,2022-02-20,11.0
Germany,2022-02-27,9.0
Germany,2022-03-06,7.0
Germany,2022-03-13,8.0
Germany,2022-03-20,6.0
Germany,2022-03-27,8.0
Germany,2022-04-03,8.0
Germany,2022-04-10,5.0
