Country,Date,search_index
Israel,2020-01-26,3.0
Israel,2020-02-02,4.0
Israel,2020-02-09,2.0
Israel,2020-02-16,2.0
Israel,2020-02-23,5.0
Israel,2020-03-01,4.0
Israel,2020-03-08,8.0
Israel,2020-03-15,7.0
Israel,2020-03-22,4.0
Israel,2020-03-29,7.0
Israel,2020-04-05,6.0
Israel,2020-04-12,6.0
Israel,2020-04-19,4.0
Israel,2020-04-26,6.0
Israel,2020-05-03,6.0
Israel,2020-05-10,4.0
Israel,2020-05-17,6.0
Israel,2020-05-24,5.0
Israel,2020-05-31,5.0
Israel,2020-06-07,5.0
Israel,2020-06-14,5.0
Israel,2020-06-21,5.0
Israel,2020-06-28,7.0
Israel,2020-07-05,7.0
Israel,2020-07-12,9.0
Israel,2020-07-19,9.0
Israel,2020-07-26,6.0
Israel,2020-08-02,6.0
Israel,2020-08-09,8.0
Israel,2020-08-16,6.0
Israel,2020-08-23,6.0
Israel,2020-08-30,6.0
Israel,2020-09-06,8.0
Israel,2020-09-13,7.0
Israel,2020-09-20,8.0
Israel,2020-09-27,9.0
Israel,2020-10-04,5.0
Israel,2020-10-11,6.0
Israel,2020-10-18,6.0
Israel,2020-10-25,6.0
Israel,2020-11-01,6.0
Israel,2020-11-08,16.0
Israel,2020-11-15,12.0
Israel,2020-11-22,8.0
Israel,2020-11-29,12.0
Israel,2020-12-06,25.0
Israel,2020-12-13,34.0
Israel,2020-12-20,38.0
Israel,2020-12-27,55.0
Israel,2021-01-03,47.0
Israel,2021-01-10,40.0
Israel,2021-01-17,44.0
Israel,2021-01-24,44.0
Israel,2021-01-31,41.0
Israel,2021-02-07,39.0
Israel,2021-02-14,39.0
Israel,2021-02-21,41.0
Israel,2021-02-28,33.0
Israel,2021-03-07,28.0
Israel,2021-03-14,28.0
Israel,2021-03-21,19.0
Israel,2021-03-28,21.0
Israel,2021-04-04,18.0
Israel,2021-04-11,19.0
Israel,2021-04-18,15.0
Israel,2021-04-25,16.0
Israel,2021-05-02,16.0
Israel,2021-05-09,10.0
Israel,2021-05-16,8.0
Israel,2021-05-23,11.0
Israel,2021-05-30,11.0
Israel,2021-06-06,10.0
Israel,2021-06-13,12.0
Israel,2021-06-20,12.0
Israel,2021-06-27,11.0
Israel,2021-07-04,12.0
Israel,2021-07-11,12.0
Israel,2021-07-18,10.0
Israel,2021-07-25,15.0
Israel,2021-08-01,36.0
Israel,2021-08-08,18.0
Israel,2021-08-15,100.0
Israel,2021-08-22,41.0
Israel,2021-08-29,76.0
Israel,2021-09-05,16.0
Israel,2021-09-12,17.0
Israel,2021-09-19,16.0
Israel,2021-09-26,15.0
Israel,2021-10-03,16.0
Israel,2021-10-10,12.0
Israel,2021-10-17,11.0
Israel,2021-10-24,11.0
Israel,2021-10-31,10.0
Israel,2021-11-07,7.0
Israel,2021-11-14,10.0
Israel,2021-11-21,9.0
Israel,2021-11-28,9.0
Israel,2021-12-05,8.0
Israel,2021-12-12,41.0
Israel,2021-12-19,11.0
Israel,2021-12-26,8.0
Israel,2022-01-02,11.0
Israel,2022-01-09,11.0
Israel,2022-01-16,8.0
Israel,2022-01-23,8.0
Israel,2022-01-30,6.0
Israel,2022-02-06,4.0
Israel,2022-02-13,4.0
Israel,2022-02-20,5.0
Israel,2022-02-27,4.0
Israel,2022-03-06,5.0
Israel,2022-03-13,3.0
Israel,2022-03-20,3.0
Israel,2022-03-27,4.0
Israel,2022-04-03,4.0
Israel,2022-04-10,3.0
