Country,Date,search_index
Italy,2020-01-26,4.0
Italy,2020-02-02,3.0
Italy,2020-02-09,2.0
Italy,2020-02-16,2.0
Italy,2020-02-23,6.0
Italy,2020-03-01,6.0
Italy,2020-03-08,8.0
Italy,2020-03-15,11.0
Italy,2020-03-22,7.0
Italy,2020-03-29,7.0
Italy,2020-04-05,7.0
Italy,2020-04-12,9.0
Italy,2020-04-19,7.0
Italy,2020-04-26,8.0
Italy,2020-05-03,8.0
Italy,2020-05-10,6.0
Italy,2020-05-17,7.0
Italy,2020-05-24,4.0
Italy,2020-05-31,4.0
Italy,2020-06-07,5.0
Italy,2020-06-14,4.0
Italy,2020-06-21,3.0
Italy,2020-06-28,5.0
Italy,2020-07-05,5.0
Italy,2020-07-12,5.0
Italy,2020-07-19,6.0
Italy,2020-07-26,5.0
Italy,2020-08-02,6.0
Italy,2020-08-09,9.0
Italy,2020-08-16,7.0
Italy,2020-08-23,6.0
Italy,2020-08-30,6.0
Italy,2020-09-06,8.0
Italy,2020-09-13,6.0
Italy,2020-09-20,5.0
Italy,2020-09-27,5.0
Italy,2020-10-04,5.0
Italy,2020-10-11,12.0
Italy,2020-10-18,9.0
Italy,2020-10-25,9.0
Italy,2020-11-01,6.0
Italy,2020-11-08,19.0
Italy,2020-11-15,15.0
Italy,2020-11-22,12.0
Italy,2020-11-29,14.0
Italy,2020-12-06,20.0
Italy,2020-12-13,21.0
Italy,2020-12-20,26.0
Italy,2020-12-27,44.0
Italy,2021-01-03,34.0
Italy,2021-01-10,30.0
Italy,2021-01-17,25.0
Italy,2021-01-24,22.0
Italy,2021-01-31,21.0
Italy,2021-02-07,20.0
Italy,2021-02-14,23.0
Italy,2021-02-21,27.0
Italy,2021-02-28,29.0
Italy,2021-03-07,40.0
Italy,2021-03-14,42.0
Italy,2021-03-21,35.0
Italy,2021-03-28,36.0
Italy,2021-04-04,38.0
Italy,2021-04-11,37.0
Italy,2021-04-18,31.0
Italy,2021-04-25,32.0
Italy,2021-05-02,34.0
Italy,2021-05-09,39.0
Italy,2021-05-16,40.0
Italy,2021-05-23,41.0
Italy,2021-05-30,47.0
Italy,2021-06-06,54.0
Italy,2021-06-13,47.0
Italy,2021-06-20,44.0
Italy,2021-06-27,38.0
Italy,2021-07-04,36.0
Italy,2021-07-11,37.0
Italy,2021-07-18,48.0
Italy,2021-07-25,52.0
Italy,2021-08-01,67.0
Italy,2021-08-08,45.0
Italy,2021-08-15,63.0
Italy,2021-08-22,41.0
Italy,2021-08-29,56.0
Italy,2021-09-05,29.0
Italy,2021-09-12,31.0
Italy,2021-09-19,29.0
Italy,2021-09-26,22.0
Italy,2021-10-03,20.0
Italy,2021-10-10,20.0
Italy,2021-10-17,21.0
Italy,2021-10-24,19.0
Italy,2021-10-31,21.0
Italy,2021-11-07,21.0
Italy,2021-11-14,20.0
Italy,2021-11-21,26.0
Italy,2021-11-28,29.0
Italy,2021-12-05,24.0
Italy,2021-12-12,57.0
Italy,2021-12-19,32.0
Italy,2021-12-26,37.0
Italy,2022-01-02,37.0
Italy,2022-01-09,29.0
Italy,2022-01-16,100.0
Italy,2022-01-23,25.0
Italy,2022-01-30,23.0
Italy,2022-02-06,16.0
Italy,2022-02-13,16.0
Italy,2022-02-20,10.0
Italy,2022-02-27,11.0
Italy,2022-03-06,10.0
Italy,2022-03-13,9.0
Italy,2022-03-20,10.0
Italy,2022-03-27,7.0
Italy,2022-04-03,7.0
Italy,2022-04-10,8.0
