Country,Date,search_index
Mexico,2020-01-26,2.0
Mexico,2020-02-02,1.0
Mexico,2020-02-09,2.0
Mexico,2020-02-16,2.0
Mexico,2020-02-23,4.0
Mexico,2020-03-01,3.0
Mexico,2020-03-08,4.0
Mexico,2020-03-15,12.0
Mexico,2020-03-22,7.0
Mexico,2020-03-29,8.0
Mexico,2020-04-05,6.0
Mexico,2020-04-12,6.0
Mexico,2020-04-19,5.0
Mexico,2020-04-26,5.0
Mexico,2020-05-03,4.0
Mexico,2020-05-10,6.0
Mexico,2020-05-17,7.0
Mexico,2020-05-24,4.0
Mexico,2020-05-31,4.0
Mexico,2020-06-07,4.0
Mexico,2020-06-14,5.0
Mexico,2020-06-21,4.0
Mexico,2020-06-28,6.0
Mexico,2020-07-05,5.0
Mexico,2020-07-12,9.0
Mexico,2020-07-19,10.0
Mexico,2020-07-26,9.0
Mexico,2020-08-02,8.0
Mexico,2020-08-09,13.0
Mexico,2020-08-16,5.0
Mexico,2020-08-23,4.0
Mexico,2020-08-30,4.0
Mexico,2020-09-06,6.0
Mexico,2020-09-13,4.0
Mexico,2020-09-20,4.0
Mexico,2020-09-27,4.0
Mexico,2020-10-04,3.0
Mexico,2020-10-11,4.0
Mexico,2020-10-18,3.0
Mexico,2020-10-25,4.0
Mexico,2020-11-01,4.0
Mexico,2020-11-08,9.0
Mexico,2020-11-15,8.0
Mexico,2020-11-22,8.0
Mexico,2020-11-29,9.0
Mexico,2020-12-06,14.0
Mexico,2020-12-13,14.0
Mexico,2020-12-20,18.0
Mexico,2020-12-27,24.0
Mexico,2021-01-03,20.0
Mexico,2021-01-10,24.0
Mexico,2021-01-17,26.0
Mexico,2021-01-24,31.0
Mexico,2021-01-31,30.0
Mexico,2021-02-07,29.0
Mexico,2021-02-14,28.0
Mexico,2021-02-21,28.0
Mexico,2021-02-28,36.0
Mexico,2021-03-07,45.0
Mexico,2021-03-14,49.0
Mexico,2021-03-21,49.0
Mexico,2021-03-28,61.0
Mexico,2021-04-04,72.0
Mexico,2021-04-11,63.0
Mexico,2021-04-18,50.0
Mexico,2021-04-25,51.0
Mexico,2021-05-02,51.0
Mexico,2021-05-09,49.0
Mexico,2021-05-16,46.0
Mexico,2021-05-23,39.0
Mexico,2021-05-30,32.0
Mexico,2021-06-06,29.0
Mexico,2021-06-13,34.0
Mexico,2021-06-20,33.0
Mexico,2021-06-27,29.0
Mexico,2021-07-04,35.0
Mexico,2021-07-11,36.0
Mexico,2021-07-18,41.0
Mexico,2021-07-25,42.0
Mexico,2021-08-01,59.0
Mexico,2021-08-08,35.0
Mexico,2021-08-15,28.0
Mexico,2021-08-22,25.0
Mexico,2021-08-29,23.0
Mexico,2021-09-05,19.0
Mexico,2021-09-12,17.0
Mexico,2021-09-19,19.0
Mexico,2021-09-26,21.0
Mexico,2021-10-03,20.0
Mexico,2021-10-10,20.0
Mexico,2021-10-17,21.0
Mexico,2021-10-24,21.0
Mexico,2021-10-31,24.0
Mexico,2021-11-07,24.0
Mexico,2021-11-14,23.0
Mexico,2021-11-21,25.0
Mexico,2021-11-28,26.0
Mexico,2021-12-05,27.0
Mexico,2021-12-12,66.0
Mexico,2021-12-19,26.0
Mexico,2021-12-26,30.0
Mexico,2022-01-02,31.0
Mexico,2022-01-09,31.0
Mexico,2022-01-16,100.0
Mexico,2022-01-23,20.0
Mexico,2022-01-30,17.0
Mexico,2022-02-06,16.0
Mexico,2022-02-13,14.0
Mexico,2022-02-20,11.0
Mexico,2022-02-27,9.0
Mexico,2022-03-06,9.0
Mexico,2022-03-13,10.0
Mexico,2022-03-20,8.0
Mexico,2022-03-27,8.0
Mexico,2022-04-03,7.0
Mexico,2022-04-10,9.0
