Country,Date,search_index
Russia,2020-01-26,11.0
Russia,2020-02-02,9.0
Russia,2020-02-09,4.0
Russia,2020-02-16,10.0
Russia,2020-02-23,11.0
Russia,2020-03-01,10.0
Russia,2020-03-08,14.0
Russia,2020-03-15,23.0
Russia,2020-03-22,23.0
Russia,2020-03-29,25.0
Russia,2020-04-05,16.0
Russia,2020-04-12,12.0
Russia,2020-04-19,21.0
Russia,2020-04-26,14.0
Russia,2020-05-03,14.0
Russia,2020-05-10,16.0
Russia,2020-05-17,18.0
Russia,2020-05-24,13.0
Russia,2020-05-31,12.0
Russia,2020-06-07,12.0
Russia,2020-06-14,16.0
Russia,2020-06-21,14.0
Russia,2020-06-28,13.0
Russia,2020-07-05,4.0
Russia,2020-07-12,19.0
Russia,2020-07-19,12.0
Russia,2020-07-26,12.0
Russia,2020-08-02,16.0
Russia,2020-08-09,44.0
Russia,2020-08-16,21.0
Russia,2020-08-23,11.0
Russia,2020-08-30,12.0
Russia,2020-09-06,17.0
Russia,2020-09-13,16.0
Russia,2020-09-20,11.0
Russia,2020-09-27,11.0
Russia,2020-10-04,10.0
Russia,2020-10-11,15.0
Russia,2020-10-18,17.0
Russia,2020-10-25,14.0
Russia,2020-11-01,14.0
Russia,2020-11-08,28.0
Russia,2020-11-15,23.0
Russia,2020-11-22,21.0
Russia,2020-11-29,25.0
Russia,2020-12-06,29.0
Russia,2020-12-13,17.0
Russia,2020-12-20,23.0
Russia,2020-12-27,25.0
Russia,2021-01-03,26.0
Russia,2021-01-10,32.0
Russia,2021-01-17,30.0
Russia,2021-01-24,31.0
Russia,2021-01-31,33.0
Russia,2021-02-07,29.0
Russia,2021-02-14,29.0
Russia,2021-02-21,28.0
Russia,2021-02-28,33.0
Russia,2021-03-07,26.0
Russia,2021-03-14,26.0
Russia,2021-03-21,32.0
Russia,2021-03-28,25.0
Russia,2021-04-04,36.0
Russia,2021-04-11,37.0
Russia,2021-04-18,27.0
Russia,2021-04-25,31.0
Russia,2021-05-02,44.0
Russia,2021-05-09,32.0
Russia,2021-05-16,24.0
Russia,2021-05-23,32.0
Russia,2021-05-30,23.0
Russia,2021-06-06,33.0
Russia,2021-06-13,64.0
Russia,2021-06-20,81.0
Russia,2021-06-27,79.0
Russia,2021-07-04,83.0
Russia,2021-07-11,55.0
Russia,2021-07-18,58.0
Russia,2021-07-25,58.0
Russia,2021-08-01,100.0
Russia,2021-08-08,47.0
Russia,2021-08-15,56.0
Russia,2021-08-22,94.0
Russia,2021-08-29,38.0
Russia,2021-09-05,31.0
Russia,2021-09-12,36.0
Russia,2021-09-19,33.0
Russia,2021-09-26,25.0
Russia,2021-10-03,28.0
Russia,2021-10-10,34.0
Russia,2021-10-17,44.0
Russia,2021-10-24,45.0
Russia,2021-10-31,49.0
Russia,2021-11-07,57.0
Russia,2021-11-14,53.0
Russia,2021-11-21,48.0
Russia,2021-11-28,52.0
Russia,2021-12-05,48.0
Russia,2021-12-12,52.0
Russia,2021-12-19,43.0
Russia,2021-12-26,36.0
Russia,2022-01-02,46.0
Russia,2022-01-09,60.0
Russia,2022-01-16,52.0
Russia,2022-01-23,69.0
Russia,2022-01-30,54.0
Russia,2022-02-06,44.0
Russia,2022-02-13,41.0
Russia,2022-02-20,36.0
Russia,2022-02-27,35.0
Russia,2022-03-06,42.0
Russia,2022-03-13,31.0
Russia,2022-03-20,35.0
Russia,2022-03-27,41.0
Russia,2022-04-03,29.0
Russia,2022-04-10,30.0
