Country,Date,search_index
South Korea,2020-01-26,13.0
South Korea,2020-02-02,9.0
South Korea,2020-02-09,6.0
South Korea,2020-02-16,8.0
South Korea,2020-02-23,18.0
South Korea,2020-03-01,12.0
South Korea,2020-03-08,16.0
South Korea,2020-03-15,14.0
South Korea,2020-03-22,14.0
South Korea,2020-03-29,13.0
South Korea,2020-04-05,13.0
South Korea,2020-04-12,12.0
South Korea,2020-04-19,11.0
South Korea,2020-04-26,14.0
South Korea,2020-05-03,13.0
South Korea,2020-05-10,11.0
South Korea,2020-05-17,20.0
South Korea,2020-05-24,11.0
South Korea,2020-05-31,13.0
South Korea,2020-06-07,14.0
South Korea,2020-06-14,14.0
South Korea,2020-06-21,12.0
South Korea,2020-06-28,12.0
South Korea,2020-07-05,15.0
South Korea,2020-07-12,23.0
South Korea,2020-07-19,19.0
South Korea,2020-07-26,17.0
South Korea,2020-08-02,14.0
South Korea,2020-08-09,17.0
South Korea,2020-08-16,16.0
South Korea,2020-08-23,19.0
South Korea,2020-08-30,14.0
South Korea,2020-09-06,18.0
South Korea,2020-09-13,16.0
South Korea,2020-09-20,22.0
South Korea,2020-09-27,13.0
South Korea,2020-10-04,17.0
South Korea,2020-10-11,18.0
South Korea,2020-10-18,24.0
South Korea,2020-10-25,17.0
South Korea,2020-11-01,15.0
South Korea,2020-11-08,32.0
South Korea,2020-11-15,30.0
South Korea,2020-11-22,29.0
South Korea,2020-11-29,27.0
South Korea,2020-12-06,38.0
South Korea,2020-12-13,44.0
South Korea,2020-12-20,43.0
South Korea,2020-12-27,39.0
South Korea,2021-01-03,34.0
South Korea,2021-01-10,33.0
South Korea,2021-01-17,32.0
South Korea,2021-01-24,29.0
South Korea,2021-01-31,29.0
South Korea,2021-02-07,25.0
South Korea,2021-02-14,35.0
South Korea,2021-02-21,39.0
South Korea,2021-02-28,40.0
South Korea,2021-03-07,43.0
South Korea,2021-03-14,43.0
South Korea,2021-03-21,36.0
South Korea,2021-03-28,28.0
South Korea,2021-04-04,40.0
South Korea,2021-04-11,46.0
South Korea,2021-04-18,45.0
South Korea,2021-04-25,63.0
South Korea,2021-05-02,53.0
South Korea,2021-05-09,50.0
South Korea,2021-05-16,50.0
South Korea,2021-05-23,61.0
South Korea,2021-05-30,85.0
South Korea,2021-06-06,66.0
South Korea,2021-06-13,76.0
South Korea,2021-06-20,93.0
South Korea,2021-06-27,51.0
South Korea,2021-07-04,51.0
South Korea,2021-07-11,59.0
South Korea,2021-07-18,58.0
South Korea,2021-07-25,68.0
South Korea,2021-08-01,90.0
South Korea,2021-08-08,100.0
South Korea,2021-08-15,82.0
South Korea,2021-08-22,73.0
South Korea,2021-08-29,73.0
South Korea,2021-09-05,78.0
South Korea,2021-09-12,83.0
South Korea,2021-09-19,67.0
South Korea,2021-09-26,67.0
South Korea,2021-10-03,49.0
South Korea,2021-10-10,57.0
South Korea,2021-10-17,50.0
South Korea,2021-10-24,53.0
South Korea,2021-10-31,44.0
South Korea,2021-11-07,38.0
South Korea,2021-11-14,31.0
South Korea,2021-11-21,32.0
South Korea,2021-11-28,33.0
South Korea,2021-12-05,44.0
South Korea,2021-12-12,98.0
South Korea,2021-12-19,39.0
South Korea,2021-12-26,33.0
South Korea,2022-01-02,39.0
South Korea,2022-01-09,38.0
South Korea,2022-01-16,72.0
South Korea,2022-01-23,33.0
South Korea,2022-01-30,19.0
South Korea,2022-02-06,31.0
South Korea,2022-02-13,25.0
South Korea,2022-02-20,16.0
South Korea,2022-02-27,17.0
South Korea,2022-03-06,17.0
South Korea,2022-03-13,15.0
South Korea,2022-03-20,15.0
South Korea,2022-03-27,12.0
South Korea,2022-04-03,12.0
South Korea,2022-04-10,15.0
