Country,Date,search_index
United Arab Emirates,2020-01-26,3.0
United Arab Emirates,2020-02-02,2.0
United Arab Emirates,2020-02-09,2.0
United Arab Emirates,2020-02-16,2.0
United Arab Emirates,2020-02-23,3.0
United Arab Emirates,2020-03-01,5.0
United Arab Emirates,2020-03-08,10.0
United Arab Emirates,2020-03-15,14.0
United Arab Emirates,2020-03-22,13.0
United Arab Emirates,2020-03-29,11.0
United Arab Emirates,2020-04-05,10.0
United Arab Emirates,2020-04-12,8.0
United Arab Emirates,2020-04-19,10.0
United Arab Emirates,2020-04-26,9.0
United Arab Emirates,2020-05-03,13.0
United Arab Emirates,2020-05-10,11.0
United Arab Emirates,2020-05-17,12.0
United Arab Emirates,2020-05-24,9.0
United Arab Emirates,2020-05-31,8.0
United Arab Emirates,2020-06-07,7.0
United Arab Emirates,2020-06-14,7.0
United Arab Emirates,2020-06-21,6.0
United Arab Emirates,2020-06-28,8.0
United Arab Emirates,2020-07-05,9.0
United Arab Emirates,2020-07-12,13.0
United Arab Emirates,2020-07-19,10.0
United Arab Emirates,2020-07-26,8.0
United Arab Emirates,2020-08-02,9.0
United Arab Emirates,2020-08-09,15.0
United Arab Emirates,2020-08-16,10.0
United Arab Emirates,2020-08-23,8.0
United Arab Emirates,2020-08-30,7.0
United Arab Emirates,2020-09-06,9.0
United Arab Emirates,2020-09-13,11.0
United Arab Emirates,2020-09-20,9.0
United Arab Emirates,2020-09-27,8.0
United Arab Emirates,2020-10-04,9.0
United Arab Emirates,2020-10-11,8.0
United Arab Emirates,2020-10-18,9.0
United Arab Emirates,2020-10-25,8.0
United Arab Emirates,2020-11-01,8.0
United Arab Emirates,2020-11-08,12.0
United Arab Emirates,2020-11-15,12.0
United Arab Emirates,2020-11-22,11.0
United Arab Emirates,2020-11-29,13.0
United Arab Emirates,2020-12-06,28.0
United Arab Emirates,2020-12-13,34.0
United Arab Emirates,2020-12-20,34.0
United Arab Emirates,2020-12-27,29.0
United Arab Emirates,2021-01-03,60.0
United Arab Emirates,2021-01-10,86.0
United Arab Emirates,2021-01-17,100.0
United Arab Emirates,2021-01-24,83.0
United Arab Emirates,2021-01-31,72.0
United Arab Emirates,2021-02-07,54.0
United Arab Emirates,2021-02-14,40.0
United Arab Emirates,2021-02-21,39.0
United Arab Emirates,2021-02-28,40.0
United Arab Emirates,2021-03-07,45.0
United Arab Emirates,2021-03-14,47.0
United Arab Emirates,2021-03-21,47.0
United Arab Emirates,2021-03-28,41.0
United Arab Emirates,2021-04-04,37.0
United Arab Emirates,2021-04-11,35.0
United Arab Emirates,2021-04-18,52.0
United Arab Emirates,2021-04-25,52.0
United Arab Emirates,2021-05-02,49.0
United Arab Emirates,2021-05-09,33.0
United Arab Emirates,2021-05-16,52.0
United Arab Emirates,2021-05-23,49.0
United Arab Emirates,2021-05-30,39.0
United Arab Emirates,2021-06-06,38.0
United Arab Emirates,2021-06-13,43.0
United Arab Emirates,2021-06-20,47.0
United Arab Emirates,2021-06-27,38.0
United Arab Emirates,2021-07-04,33.0
United Arab Emirates,2021-07-11,29.0
United Arab Emirates,2021-07-18,22.0
United Arab Emirates,2021-07-25,32.0
United Arab Emirates,2021-08-01,40.0
United Arab Emirates,2021-08-08,34.0
United Arab Emirates,2021-08-15,40.0
United Arab Emirates,2021-08-22,35.0
United Arab Emirates,2021-08-29,36.0
United Arab Emirates,2021-09-05,25.0
United Arab Emirates,2021-09-12,23.0
United Arab Emirates,2021-09-19,23.0
United Arab Emirates,2021-09-26,19.0
United Arab Emirates,2021-10-03,19.0
United Arab Emirates,2021-10-10,17.0
United Arab Emirates,2021-10-17,16.0
United Arab Emirates,2021-10-24,14.0
United Arab Emirates,2021-10-31,14.0
United Arab Emirates,2021-11-07,13.0
United Arab Emirates,2021-11-14,14.0
United Arab Emirates,2021-11-21,13.0
United Arab Emirates,2021-11-28,18.0
United Arab Emirates,2021-12-05,16.0
United Arab Emirates,2021-12-12,16.0
United Arab Emirates,2021-12-19,17.0
United Arab Emirates,2021-12-26,16.0
United Arab Emirates,2022-01-02,21.0
United Arab Emirates,2022-01-09,17.0
United Arab Emirates,2022-01-16,18.0
United Arab Emirates,2022-01-23,14.0
United Arab Emirates,2022-01-30,13.0
United Arab Emirates,2022-02-06,10.0
United Arab Emirates,2022-02-13,9.0
United Arab Emirates,2022-02-20,9.0
United Arab Emirates,2022-02-27,9.0
United Arab Emirates,2022-03-06,7.0
United Arab Emirates,2022-03-13,8.0
United Arab Emirates,2022-03-20,7.0
United Arab Emirates,2022-03-27,6.0
United Arab Emirates,2022-04-03,6.0
United Arab Emirates,2022-04-10,6.0
