Country,Date,search_index
World,2020-01-26,4.0
World,2020-02-02,4.0
World,2020-02-09,3.0
World,2020-02-16,3.0
World,2020-02-23,5.0
World,2020-03-01,6.0
World,2020-03-08,10.0
World,2020-03-15,15.0
World,2020-03-22,13.0
World,2020-03-29,11.0
World,2020-04-05,11.0
World,2020-04-12,9.0
World,2020-04-19,11.0
World,2020-04-26,10.0
World,2020-05-03,12.0
World,2020-05-10,10.0
World,2020-05-17,11.0
World,2020-05-24,8.0
World,2020-05-31,7.0
World,2020-06-07,8.0
World,2020-06-14,9.0
World,2020-06-21,9.0
World,2020-06-28,10.0
World,2020-07-05,10.0
World,2020-07-12,16.0
World,2020-07-19,14.0
World,2020-07-26,12.0
World,2020-08-02,11.0
World,2020-08-09,17.0
World,2020-08-16,11.0
World,2020-08-23,9.0
World,2020-08-30,10.0
World,2020-09-06,10.0
World,2020-09-13,10.0
World,2020-09-20,9.0
World,2020-09-27,9.0
World,2020-10-04,9.0
World,2020-10-11,9.0
World,2020-10-18,9.0
World,2020-10-25,9.0
World,2020-11-01,7.0
World,2020-11-08,19.0
World,2020-11-15,17.0
World,2020-11-22,14.0
World,2020-11-29,20.0
World,2020-12-06,31.0
World,2020-12-13,36.0
World,2020-12-20,29.0
World,2020-12-27,37.0
World,2021-01-03,45.0
World,2021-01-10,61.0
World,2021-01-17,60.0
World,2021-01-24,62.0
World,2021-01-31,58.0
World,2021-02-07,58.0
World,2021-02-14,56.0
World,2021-02-21,63.0
World,2021-02-28,83.0
World,2021-03-07,93.0
World,2021-03-14,91.0
World,2021-03-21,84.0
World,2021-03-28,93.0
World,2021-04-04,90.0
World,2021-04-11,81.0
World,2021-04-18,68.0
World,2021-04-25,91.0
World,2021-05-02,73.0
World,2021-05-09,76.0
World,2021-05-16,74.0
World,2021-05-23,66.0
World,2021-05-30,67.0
World,2021-06-06,61.0
World,2021-06-13,61.0
World,2021-06-20,76.0
World,2021-06-27,57.0
World,2021-07-04,52.0
World,2021-07-11,53.0
World,2021-07-18,58.0
World,2021-07-25,64.0
World,2021-08-01,87.0
World,2021-08-08,68.0
World,2021-08-15,69.0
World,2021-08-22,67.0
World,2021-08-29,71.0
World,2021-09-05,58.0
World,2021-09-12,56.0
World,2021-09-19,53.0
World,2021-09-26,46.0
World,2021-10-03,43.0
World,2021-10-10,47.0
World,2021-10-17,48.0
World,2021-10-24,38.0
World,2021-10-31,39.0
World,2021-11-07,39.0
World,2021-11-14,38.0
World,2021-11-21,34.0
World,2021-11-28,40.0
World,2021-12-05,35.0
World,2021-12-12,58.0
World,2021-12-19,39.0
World,2021-12-26,35.0
World,2022-01-02,44.0
World,2022-01-09,40.0
World,2022-01-16,100.0
World,2022-01-23,26.0
World,2022-01-30,21.0
World,2022-02-06,20.0
World,2022-02-13,18.0
World,2022-02-20,15.0
World,2022-02-27,14.0
World,2022-03-06,13.0
World,2022-03-13,12.0
World,2022-03-20,12.0
World,2022-03-27,12.0
World,2022-04-03,12.0
World,2022-04-10,11.0
