Category: All categories

Week,WFH: (Israel)
2020-01-26,0
2020-02-02,26
2020-02-09,0
2020-02-16,0
2020-02-23,9
2020-03-01,0
2020-03-08,60
2020-03-15,64
2020-03-22,100
2020-03-29,73
2020-04-05,54
2020-04-12,9
2020-04-19,24
2020-04-26,17
2020-05-03,8
2020-05-10,42
2020-05-17,8
2020-05-24,9
2020-05-31,8
2020-06-07,0
2020-06-14,0
2020-06-21,8
2020-06-28,8
2020-07-05,25
2020-07-12,17
2020-07-19,17
2020-07-26,0
2020-08-02,42
2020-08-09,0
2020-08-16,43
2020-08-23,26
2020-08-30,35
2020-09-06,17
2020-09-13,17
2020-09-20,8
2020-09-27,18
2020-10-04,36
2020-10-11,35
2020-10-18,0
2020-10-25,9
2020-11-01,9
2020-11-08,27
2020-11-15,9
2020-11-22,17
2020-11-29,27
2020-12-06,18
2020-12-13,0
2020-12-20,0
2020-12-27,18
2021-01-03,36
2021-01-10,26
2021-01-17,9
2021-01-24,35
2021-01-31,35
2021-02-07,36
2021-02-14,26
2021-02-21,10
2021-02-28,9
2021-03-07,0
2021-03-14,18
2021-03-21,0
2021-03-28,30
2021-04-04,18
2021-04-11,0
2021-04-18,9
2021-04-25,0
2021-05-02,0
2021-05-09,9
2021-05-16,9
2021-05-23,19
2021-05-30,9
2021-06-06,19
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,29
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,11
2021-09-12,11
2021-09-19,11
2021-09-26,21
2021-10-03,10
2021-10-10,0
2021-10-17,10
2021-10-24,0
2021-10-31,0
2021-11-07,20
2021-11-14,0
2021-11-21,10
2021-11-28,10
2021-12-05,10
2021-12-12,20
2021-12-19,0
2021-12-26,20
2022-01-02,10
2022-01-09,10
2022-01-16,19
2022-01-23,28
2022-01-30,0
2022-02-06,0
2022-02-13,10
2022-02-20,0
2022-02-27,0
2022-03-06,10
2022-03-13,0
2022-03-20,0
2022-03-27,9
2022-04-03,17
2022-04-10,10
