Category: All categories

Week,WFH: (Italy)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,8
2020-02-23,7
2020-03-01,7
2020-03-08,43
2020-03-15,100
2020-03-22,40
2020-03-29,76
2020-04-05,51
2020-04-12,43
2020-04-19,35
2020-04-26,42
2020-05-03,29
2020-05-10,14
2020-05-17,44
2020-05-24,29
2020-05-31,15
2020-06-07,36
2020-06-14,54
2020-06-21,32
2020-06-28,16
2020-07-05,24
2020-07-12,32
2020-07-19,0
2020-07-26,34
2020-08-02,25
2020-08-09,36
2020-08-16,9
2020-08-23,33
2020-08-30,39
2020-09-06,32
2020-09-13,16
2020-09-20,8
2020-09-27,24
2020-10-04,48
2020-10-11,25
2020-10-18,32
2020-10-25,24
2020-11-01,23
2020-11-08,23
2020-11-15,0
2020-11-22,16
2020-11-29,15
2020-12-06,8
2020-12-13,8
2020-12-20,45
2020-12-27,17
2021-01-03,23
2021-01-10,8
2021-01-17,16
2021-01-24,8
2021-01-31,40
2021-02-07,24
2021-02-14,25
2021-02-21,0
2021-02-28,8
2021-03-07,16
2021-03-14,15
2021-03-21,16
2021-03-28,17
2021-04-04,26
2021-04-11,0
2021-04-18,40
2021-04-25,24
2021-05-02,42
2021-05-09,16
2021-05-16,8
2021-05-23,17
2021-05-30,17
2021-06-06,17
2021-06-13,27
2021-06-20,36
2021-06-27,45
2021-07-04,18
2021-07-11,9
2021-07-18,19
2021-07-25,27
2021-08-01,0
2021-08-08,29
2021-08-15,0
2021-08-22,19
2021-08-29,18
2021-09-05,19
2021-09-12,9
2021-09-19,0
2021-09-26,37
2021-10-03,0
2021-10-10,0
2021-10-17,10
2021-10-24,0
2021-10-31,10
2021-11-07,19
2021-11-14,19
2021-11-21,19
2021-11-28,0
2021-12-05,10
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,12
2022-01-09,0
2022-01-16,22
2022-01-23,0
2022-01-30,22
2022-02-06,23
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,36
2022-03-13,34
2022-03-20,12
2022-03-27,11
2022-04-03,21
2022-04-10,12
