Category: All categories

Week,WFH: (Netherlands)
2020-01-26,0
2020-02-02,12
2020-02-09,6
2020-02-16,0
2020-02-23,6
2020-03-01,0
2020-03-08,78
2020-03-15,100
2020-03-22,77
2020-03-29,58
2020-04-05,51
2020-04-12,11
2020-04-19,27
2020-04-26,22
2020-05-03,44
2020-05-10,16
2020-05-17,28
2020-05-24,16
2020-05-31,31
2020-06-07,36
2020-06-14,32
2020-06-21,17
2020-06-28,27
2020-07-05,22
2020-07-12,18
2020-07-19,30
2020-07-26,37
2020-08-02,12
2020-08-09,18
2020-08-16,6
2020-08-23,28
2020-08-30,34
2020-09-06,17
2020-09-13,29
2020-09-20,23
2020-09-27,23
2020-10-04,12
2020-10-11,19
2020-10-18,12
2020-10-25,12
2020-11-01,12
2020-11-08,6
2020-11-15,18
2020-11-22,12
2020-11-29,0
2020-12-06,18
2020-12-13,18
2020-12-20,7
2020-12-27,13
2021-01-03,0
2021-01-10,18
2021-01-17,23
2021-01-24,23
2021-01-31,12
2021-02-07,19
2021-02-14,6
2021-02-21,6
2021-02-28,18
2021-03-07,11
2021-03-14,15
2021-03-21,17
2021-03-28,17
2021-04-04,17
2021-04-11,17
2021-04-18,23
2021-04-25,23
2021-05-02,17
2021-05-09,29
2021-05-16,16
2021-05-23,29
2021-05-30,24
2021-06-06,18
2021-06-13,6
2021-06-20,6
2021-06-27,0
2021-07-04,6
2021-07-11,6
2021-07-18,13
2021-07-25,13
2021-08-01,13
2021-08-08,7
2021-08-15,13
2021-08-22,27
2021-08-29,33
2021-09-05,7
2021-09-12,13
2021-09-19,13
2021-09-26,19
2021-10-03,26
2021-10-10,26
2021-10-17,7
2021-10-24,32
2021-10-31,0
2021-11-07,33
2021-11-14,25
2021-11-21,18
2021-11-28,19
2021-12-05,13
2021-12-12,7
2021-12-19,0
2021-12-26,8
2022-01-02,7
2022-01-09,21
2022-01-16,7
2022-01-23,48
2022-01-30,28
2022-02-06,28
2022-02-13,41
2022-02-20,7
2022-02-27,15
2022-03-06,43
2022-03-13,21
2022-03-20,21
2022-03-27,21
2022-04-03,38
2022-04-10,14
