Category: All categories

Week,WFH: (Poland)
2020-01-26,16
2020-02-02,46
2020-02-09,32
2020-02-16,24
2020-02-23,7
2020-03-01,15
2020-03-08,59
2020-03-15,100
2020-03-22,54
2020-03-29,26
2020-04-05,52
2020-04-12,43
2020-04-19,42
2020-04-26,36
2020-05-03,27
2020-05-10,35
2020-05-17,72
2020-05-24,43
2020-05-31,22
2020-06-07,53
2020-06-14,30
2020-06-21,31
2020-06-28,0
2020-07-05,32
2020-07-12,8
2020-07-19,0
2020-07-26,17
2020-08-02,25
2020-08-09,26
2020-08-16,34
2020-08-23,49
2020-08-30,16
2020-09-06,25
2020-09-13,33
2020-09-20,24
2020-09-27,56
2020-10-04,33
2020-10-11,8
2020-10-18,8
2020-10-25,16
2020-11-01,46
2020-11-08,16
2020-11-15,30
2020-11-22,0
2020-11-29,8
2020-12-06,8
2020-12-13,23
2020-12-20,9
2020-12-27,17
2021-01-03,24
2021-01-10,16
2021-01-17,30
2021-01-24,0
2021-01-31,15
2021-02-07,15
2021-02-14,8
2021-02-21,31
2021-02-28,23
2021-03-07,15
2021-03-14,29
2021-03-21,0
2021-03-28,8
2021-04-04,16
2021-04-11,23
2021-04-18,16
2021-04-25,24
2021-05-02,16
2021-05-09,8
2021-05-16,24
2021-05-23,25
2021-05-30,0
2021-06-06,0
2021-06-13,8
2021-06-20,9
2021-06-27,9
2021-07-04,18
2021-07-11,18
2021-07-18,19
2021-07-25,9
2021-08-01,9
2021-08-08,9
2021-08-15,0
2021-08-22,0
2021-08-29,10
2021-09-05,0
2021-09-12,19
2021-09-19,0
2021-09-26,20
2021-10-03,10
2021-10-10,20
2021-10-17,10
2021-10-24,30
2021-10-31,10
2021-11-07,50
2021-11-14,19
2021-11-21,37
2021-11-28,19
2021-12-05,20
2021-12-12,11
2021-12-19,0
2021-12-26,13
2022-01-02,0
2022-01-09,34
2022-01-16,0
2022-01-23,22
2022-01-30,23
2022-02-06,34
2022-02-13,23
2022-02-20,35
2022-02-27,34
2022-03-06,23
2022-03-13,55
2022-03-20,11
2022-03-27,11
2022-04-03,30
2022-04-10,11
