Category: All categories

Week,WFH: (Singapore)
2020-01-26,3
2020-02-02,8
2020-02-09,20
2020-02-16,15
2020-02-23,8
2020-03-01,10
2020-03-08,16
2020-03-15,44
2020-03-22,67
2020-03-29,83
2020-04-05,100
2020-04-12,57
2020-04-19,41
2020-04-26,34
2020-05-03,21
2020-05-10,29
2020-05-17,34
2020-05-24,26
2020-05-31,29
2020-06-07,25
2020-06-14,17
2020-06-21,14
2020-06-28,18
2020-07-05,10
2020-07-12,24
2020-07-19,19
2020-07-26,19
2020-08-02,22
2020-08-09,23
2020-08-16,24
2020-08-23,14
2020-08-30,26
2020-09-06,20
2020-09-13,10
2020-09-20,27
2020-09-27,20
2020-10-04,22
2020-10-11,18
2020-10-18,21
2020-10-25,11
2020-11-01,11
2020-11-08,11
2020-11-15,18
2020-11-22,12
2020-11-29,17
2020-12-06,9
2020-12-13,17
2020-12-20,14
2020-12-27,17
2021-01-03,14
2021-01-10,14
2021-01-17,10
2021-01-24,23
2021-01-31,17
2021-02-07,11
2021-02-14,8
2021-02-21,15
2021-02-28,10
2021-03-07,11
2021-03-14,13
2021-03-21,34
2021-03-28,16
2021-04-04,27
2021-04-11,20
2021-04-18,17
2021-04-25,17
2021-05-02,30
2021-05-09,29
2021-05-16,63
2021-05-23,48
2021-05-30,44
2021-06-06,52
2021-06-13,33
2021-06-20,29
2021-06-27,30
2021-07-04,31
2021-07-11,29
2021-07-18,29
2021-07-25,28
2021-08-01,27
2021-08-08,22
2021-08-15,29
2021-08-22,24
2021-08-29,12
2021-09-05,40
2021-09-12,30
2021-09-19,63
2021-09-26,63
2021-10-03,36
2021-10-10,31
2021-10-17,43
2021-10-24,24
2021-10-31,26
2021-11-07,37
2021-11-14,54
2021-11-21,39
2021-11-28,11
2021-12-05,10
2021-12-12,26
2021-12-19,12
2021-12-26,13
2022-01-02,26
2022-01-09,20
2022-01-16,12
2022-01-23,14
2022-01-30,13
2022-02-06,23
2022-02-13,13
2022-02-20,21
2022-02-27,11
2022-03-06,11
2022-03-13,18
2022-03-20,13
2022-03-27,13
2022-04-03,10
2022-04-10,20
