Category: All categories

Week,WFH: (South Korea)
2020-01-26,11
2020-02-02,11
2020-02-09,0
2020-02-16,0
2020-02-23,9
2020-03-01,37
2020-03-08,28
2020-03-15,83
2020-03-22,100
2020-03-29,63
2020-04-05,53
2020-04-12,44
2020-04-19,34
2020-04-26,18
2020-05-03,45
2020-05-10,8
2020-05-17,52
2020-05-24,18
2020-05-31,51
2020-06-07,17
2020-06-14,0
2020-06-21,17
2020-06-28,35
2020-07-05,0
2020-07-12,18
2020-07-19,26
2020-07-26,9
2020-08-02,9
2020-08-09,44
2020-08-16,46
2020-08-23,17
2020-08-30,40
2020-09-06,32
2020-09-13,57
2020-09-20,25
2020-09-27,20
2020-10-04,0
2020-10-11,10
2020-10-18,10
2020-10-25,40
2020-11-01,29
2020-11-08,10
2020-11-15,0
2020-11-22,29
2020-11-29,28
2020-12-06,46
2020-12-13,18
2020-12-20,19
2020-12-27,19
2021-01-03,28
2021-01-10,47
2021-01-17,28
2021-01-24,9
2021-01-31,10
2021-02-07,31
2021-02-14,19
2021-02-21,19
2021-02-28,9
2021-03-07,18
2021-03-14,16
2021-03-21,26
2021-03-28,17
2021-04-04,17
2021-04-11,8
2021-04-18,26
2021-04-25,17
2021-05-02,18
2021-05-09,25
2021-05-16,26
2021-05-23,42
2021-05-30,25
2021-06-06,17
2021-06-13,8
2021-06-20,36
2021-06-27,27
2021-07-04,35
2021-07-11,25
2021-07-18,9
2021-07-25,9
2021-08-01,18
2021-08-08,18
2021-08-15,9
2021-08-22,0
2021-08-29,52
2021-09-05,18
2021-09-12,9
2021-09-19,21
2021-09-26,19
2021-10-03,0
2021-10-10,19
2021-10-17,9
2021-10-24,10
2021-10-31,0
2021-11-07,9
2021-11-14,9
2021-11-21,9
2021-11-28,0
2021-12-05,9
2021-12-12,9
2021-12-19,0
2021-12-26,10
2022-01-02,19
2022-01-09,19
2022-01-16,0
2022-01-23,19
2022-01-30,10
2022-02-06,9
2022-02-13,38
2022-02-20,27
2022-02-27,0
2022-03-06,0
2022-03-13,44
2022-03-20,18
2022-03-27,9
2022-04-03,26
2022-04-10,18
