Country,Date,search_index
Saudi Arabia,2020-01-26,0.0
Saudi Arabia,2020-02-02,9.0
Saudi Arabia,2020-02-09,9.0
Saudi Arabia,2020-02-16,9.0
Saudi Arabia,2020-02-23,0.0
Saudi Arabia,2020-03-01,9.0
Saudi Arabia,2020-03-08,17.0
Saudi Arabia,2020-03-15,100.0
Saudi Arabia,2020-03-22,68.0
Saudi Arabia,2020-03-29,17.0
Saudi Arabia,2020-04-05,24.0
Saudi Arabia,2020-04-12,24.0
Saudi Arabia,2020-04-19,25.0
Saudi Arabia,2020-04-26,18.0
Saudi Arabia,2020-05-03,9.0
Saudi Arabia,2020-05-10,17.0
Saudi Arabia,2020-05-17,27.0
Saudi Arabia,2020-05-24,0.0
Saudi Arabia,2020-05-31,9.0
Saudi Arabia,2020-06-07,9.0
Saudi Arabia,2020-06-14,18.0
Saudi Arabia,2020-06-21,18.0
Saudi Arabia,2020-06-28,18.0
Saudi Arabia,2020-07-05,18.0
Saudi Arabia,2020-07-12,18.0
Saudi Arabia,2020-07-19,9.0
Saudi Arabia,2020-07-26,10.0
Saudi Arabia,2020-08-02,20.0
Saudi Arabia,2020-08-09,9.0
Saudi Arabia,2020-08-16,0.0
Saudi Arabia,2020-08-23,0.0
Saudi Arabia,2020-08-30,23.0
Saudi Arabia,2020-09-06,14.0
Saudi Arabia,2020-09-13,0.0
Saudi Arabia,2020-09-20,16.0
Saudi Arabia,2020-09-27,22.0
Saudi Arabia,2020-10-04,7.0
Saudi Arabia,2020-10-11,22.0
Saudi Arabia,2020-10-18,0.0
Saudi Arabia,2020-10-25,0.0
Saudi Arabia,2020-11-01,21.0
Saudi Arabia,2020-11-08,0.0
Saudi Arabia,2020-11-15,15.0
Saudi Arabia,2020-11-22,22.0
Saudi Arabia,2020-11-29,0.0
Saudi Arabia,2020-12-06,8.0
Saudi Arabia,2020-12-13,0.0
Saudi Arabia,2020-12-20,8.0
Saudi Arabia,2020-12-27,9.0
Saudi Arabia,2021-01-03,10.0
Saudi Arabia,2021-01-10,9.0
Saudi Arabia,2021-01-17,0.0
Saudi Arabia,2021-01-24,8.0
Saudi Arabia,2021-01-31,0.0
Saudi Arabia,2021-02-07,14.0
Saudi Arabia,2021-02-14,15.0
Saudi Arabia,2021-02-21,0.0
Saudi Arabia,2021-02-28,0.0
Saudi Arabia,2021-03-07,15.0
Saudi Arabia,2021-03-14,0.0
Saudi Arabia,2021-03-21,8.0
Saudi Arabia,2021-03-28,0.0
Saudi Arabia,2021-04-04,8.0
Saudi Arabia,2021-04-11,0.0
Saudi Arabia,2021-04-18,0.0
Saudi Arabia,2021-04-25,0.0
Saudi Arabia,2021-05-02,9.0
Saudi Arabia,2021-05-09,0.0
Saudi Arabia,2021-05-16,10.0
Saudi Arabia,2021-05-23,0.0
Saudi Arabia,2021-05-30,18.0
Saudi Arabia,2021-06-06,9.0
Saudi Arabia,2021-06-13,0.0
Saudi Arabia,2021-06-20,9.0
Saudi Arabia,2021-06-27,0.0
Saudi Arabia,2021-07-04,0.0
Saudi Arabia,2021-07-11,0.0
Saudi Arabia,2021-07-18,0.0
Saudi Arabia,2021-07-25,0.0
Saudi Arabia,2021-08-01,19.0
Saudi Arabia,2021-08-08,9.0
Saudi Arabia,2021-08-15,0.0
Saudi Arabia,2021-08-22,9.0
Saudi Arabia,2021-08-29,8.0
Saudi Arabia,2021-09-05,0.0
Saudi Arabia,2021-09-12,8.0
Saudi Arabia,2021-09-19,0.0
Saudi Arabia,2021-09-26,0.0
Saudi Arabia,2021-10-03,0.0
Saudi Arabia,2021-10-10,0.0
Saudi Arabia,2021-10-17,9.0
Saudi Arabia,2021-10-24,0.0
Saudi Arabia,2021-10-31,8.0
Saudi Arabia,2021-11-07,0.0
Saudi Arabia,2021-11-14,0.0
Saudi Arabia,2021-11-21,0.0
Saudi Arabia,2021-11-28,10.0
Saudi Arabia,2021-12-05,0.0
Saudi Arabia,2021-12-12,0.0
Saudi Arabia,2021-12-19,0.0
Saudi Arabia,2021-12-26,0.0
Saudi Arabia,2022-01-02,0.0
Saudi Arabia,2022-01-09,9.0
Saudi Arabia,2022-01-16,0.0
Saudi Arabia,2022-01-23,9.0
Saudi Arabia,2022-01-30,9.0
Saudi Arabia,2022-02-06,17.0
Saudi Arabia,2022-02-13,0.0
Saudi Arabia,2022-02-20,9.0
Saudi Arabia,2022-02-27,9.0
Saudi Arabia,2022-03-06,0.0
Saudi Arabia,2022-03-13,19.0
Saudi Arabia,2022-03-20,0.0
Saudi Arabia,2022-03-27,17.0
Saudi Arabia,2022-04-03,0.0
Saudi Arabia,2022-04-10,0.0
